gene	spl	degree	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	triangles	pagerank	load_centrality	harmonic_centrality	markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	lobby	mnc	dmnc	geokpath	laplacian	leverage	lincent	semilocal	topocoefficient	clusterrank	ego_size	coreness	hub_score	constraint	eccentricity	local_scan	subgraph_centrality	transitivity	zi	pc	gc	prestige	stresscent	gilschmidt
AATF	3.79367104759474	10	0.001276	24.5	7989.889307	0.000534	0.022222	1	0.000144	17878.588188	2017.438095	2.69733390601822e-05	2017.4380952381	584.5849609375	0	255	8	2	0	2236	600	-0.246744665659879	1911.18509300057	109306	0.111267605633803	5.66666666666667	11	7	0.0033426892603249	0.102677965546067	10	11	8526489585878712	0.0222222222222222	0.198230710787405	0.46	0.460011281986153	10	79287	0.267635725024931
AATK	5.58785249457701	1	0.000128	5	0	0	0	0	4.9e-05	0	1327.516342	7.95419679544452e-06	1327.51634199134	160.4912109375	0	6	1	1	0	16	12	-0.666666666666667	1297.53023383266	292	1	NA	2	1	6.65800844852304e-07	1	11	1	338935737.295026	NA	-0.577350269189626	0	0.000257097545396046	1	0	0.17610988882879
ABAT	4.14648462421845	2	0.000255	42	7537	6.6e-05	0	0	7.8e-05	15074	1826.136147	1.07311101489377e-05	1826.13614718615	452.10888671875	0	86	2	1	0	1069	174	-0.309803921568627	1748.56733136386	36523	0.5	0	3	1	0.000410777830496152	0.5	11	2	128767828230386	0	0	0.5	0.50461580225175	2	59647	0.242257382221552
ABCA1	3.84254178894985	6	0.000766	20.666667	11222.016428	0.000105	0	0	0.000129	24068.316428	1975.750794	2.26394769137612e-05	1975.75079365079	553.841796875	0	130	6	1	1	1966	290	-0.189775910364146	1886.87799694494	54941	0.171014492753623	0	7	4	0.000659190760589548	0.166666666666667	10	6	331664903723553	0	-0.291408279913282	0.666666666666667	0.694446875639426	6	87158	0.262105438266204
ABCA2	6.58198290162052	2	0.000255	1.5	7537	0	0	0	0.000132	15074	1122.413575	4.54559989546039e-06	1122.41357531358	80.9549560546875	1	5	2	1	0	4	12	0.166666666666667	1101.55369016924	32	0.5	0	3	1	1.23556416132008e-08	0.5	13	2	116900.958024885	0	0	0.5	0.500181533747571	2	60526	0.148900713095453
ABCA6	4.94870486155417	1	0.000128	27	0	1e-06	0	0	4.1e-05	0	1514.269877	1.03336348139107e-05	1514.26987734488	258.548583984375	0	28	1	1	0	198	56	-0.928571428571429	1465.11213676095	3101	1	NA	2	1	7.23067025034118e-06	1	12	1	39897887585.7046	NA	-0.417391647807461	0	0.000174021159854432	1	0	0.200884833821306
ABCB6	7.54370294755646	1	0.000128	2	0	0	0	0	7.4e-05	0	974.881094	3.54764313400218e-06	974.881093906094	41.2274780273438	0	3	1	1	0	3	6	-0.333333333333333	961.12050067659	6	1	NA	2	1	2.38737426491857e-10	1	14	1	45.3123846707108	NA	0	0	0.000181582563485327	1	0	0.129328879531177
ABCB7	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1	1.25595213047773e-06	1	1.5	0	2	1	1	0	1	4	0	1	1	NA	NA	2	1	1.05980442412014e-16	1	1	1	1.54308063481525	NA	0	0	0	1	0	1
ABCB8	4.59678448385862	2	0.000255	14	1077.147579	6e-06	0	0	5.8e-05	2900.132136	1637.461111	1.46643821284499e-05	1637.46111111111	331.0654296875	0	30	2	1	0	394	62	-0.58974358974359	1577.27811242193	5955	0.5	0	3	2	3.68152290006726e-05	0.5	10	2	1035539037225.45	0	-0.577350269189626	0.5	0.500770043699908	2	5388	0.217227528669561
ABCC2	4.48411381906342	2	0.000255	18	713.735685	5e-06	0	0	5.2e-05	1689.044354	1675.348052	1.56799247200739e-05	1675.34805194805	352.75537109375	0	38	2	1	0	434	78	-0.799498746867168	1616.90979454783	7784	0.5	0	3	2	3.10428969999968e-05	0.5	11	2	735464333902.792	0	-0.217167152332948	0	0.00010033811124599	2	4368	0.222253655074035
ABCC6	4.28212326145209	1	0.000128	62	0	0.000222	0	0	3.3e-05	0	1762.441667	1.06914784776366e-05	1762.44166666667	409.5419921875	0	63	1	1	0	779	126	-0.968253968253968	1693.18048809559	21504	1	NA	2	1	0.00139297037980089	1	10	1	1480604579820990	NA	-0.547680114565817	0	3.51991756442072e-06	1	0	0.233807597063761
ABCC9	5.06660712007146	3	0.000383	6.666667	2668.31881	1e-06	0.333333	1	9.3e-05	6288.135596	1477.578644	1.37744269566595e-05	1477.57864357864	238.096923828125	2.3	23	3	2	0	135	52	-0.155555555555556	1431.01830911426	1953	0.372549019607843	7.66666666666667	4	2	5.03746038443116e-06	0.558641975308642	12	4	19392661921.9764	0.333333333333333	0	0.444444444444444	0.44474662292906	3	18204	0.196017331331758
ABCD2	6.20441495470205	1	0.000128	11	0	0	0	0	5.7e-05	0	1194.724614	7.47955163838479e-06	1194.72461427461	107.033813476562	0	12	1	1	0	20	24	-0.833333333333333	1168.58843369529	187	1	NA	2	1	6.22736917971623e-08	1	13	1	2962009.14034596	NA	-0.333333333333333	0	0.000198988716325621	1	0	0.158493581092408
ABCD3	4.28646165624601	8	0.001021	9.375	80640.854701	2.6e-05	0	0	0.000183	163069.983869	1768.864322	2.41977063654239e-05	1768.86432178932	414.50244140625	1	83	6	1	2	838	222	0.044462292093871	1691.46679367725	17569	0.132936507936508	0	9	4	0.000165426797037695	0.125	11	8	20890922056833.8	0	-0.735446728356001	0.75	0.750075192985578	8	649958	0.234659634092502
ABCD4	5.62051805537833	2	0.000255	2	15072	0	0	0	0.00011	30144	1322.895743	6.32435930855248e-06	1322.89574314574	159.659912109375	0	6	2	1	0	27	14	0	1289.98919360697	335	0.5	0	3	1	6.39216686068472e-07	0.5	12	2	312507545.332433	0	0	0.5	0.500226925586717	2	121050	0.175496914718202
ABCF3	6.02947556462932	2	0.000255	2	30136	0	0	0	0.000106	60272	1230.003186	6.03855795291619e-06	1230.00318570319	120.057983398438	0	6	2	1	0	13	14	0	1202.49389456754	120	0.5	0	3	1	1.47450173800528e-07	0.5	13	2	16605206.9759373	0	0	0.5	0.500499056350082	2	303420	0.163173678124591
ABCG1	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1	1.25595213047773e-06	1	1.5	0	2	1	1	0	1	4	0	1	1	NA	NA	2	1	1.05980442412014e-16	1	1	1	1.54308063481524	NA	0	0	0	1	0	1
ABCG4	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1	1.25595213047773e-06	1	1.5	0	2	1	1	0	1	4	0	1	1	NA	NA	2	1	1.05980442412014e-16	1	1	1	1.54308063481524	NA	0	0	0	1	0	1
ABCG5	4.10616307260431	2	0.000255	57.5	7537	3.8e-05	0	0	7.6e-05	15074	1847.488492	1.07718218007788e-05	1847.48849206349	466.748046875	0	117	2	1	0	1172	236	-0.316091954022989	1765.73784959602	51166	0.5	0	3	1	0.000239109194283205	0.5	10	2	43631157546229.7	0	0	0.5	0.506520957823901	2	78851	0.245090009560015
ABCG8	5.06788311854026	1	0.000128	2	0	1e-06	0	0	5.1e-05	0	1472.405628	6.4633251678148e-06	1472.40562770563	234.1240234375	12.6487459290556	3	1	1	0	115	6	-0.333333333333333	1430.65800538812	1174	1	NA	2	1	4.62009915464097e-06	1	11	1	16290471488.3224	NA	0	0	0.000181582563485327	1	0	0.195331072924619
ABHD16A	4.60967206839352	3	0.000383	5.666667	262.817515	2.1e-05	0	0	6.5e-05	787.353847	1627.382576	1.7354618602221e-05	1627.38257575758	323.13525390625	1	20	3	1	0	319	46	-0.227106227106227	1572.86840502685	5821	0.333333333333333	0	4	3	0.000128452085707458	0.333333333333333	11	3	12600695845161.1	0	-0.413818027588454	0.444444444444444	0.444444692363757	3	2115	0.215890498243251
ABI1	3.75768789077453	13	0.001659	20.230769	14882.583107	0.000471	0.038462	3	0.000216	31614.239725	2035.794841	2.74233230248283e-05	2035.79484126984	596.666015625	0	276	9	3	0	2332	708	0.152266143186859	1929.48636626031	124590	0.0891608391608392	10.6153846153846	14	7	0.00295107878915173	0.0814104400121145	10	16	6645349578242725	0.0384615384615385	0.36139781424547	0.378698224852071	0.378771129909407	13	137429	0.270070952675733
ABI2	3.88579813704224	8	0.001021	22.25	5907.790544	0.000405	0.035714	1	0.000124	14424.220084	1961.005556	2.58443526214893e-05	1961.00555555556	544.2001953125	1	186	8	2	0	1827	428	-0.345509229332759	1865.87344432404	73562	0.133540372670807	6.64285714285714	9	7	0.00253811152691533	0.1298011247323	10	9	4915602572721705	0.0357142857142857	0.0583718379750408	0.21875	0.218777015538464	8	58201	0.260149317531894
ABI3	3.99425800689039	8	0.001021	14.125	18186.506437	0.001327	0.035714	1	0.000165	37844.241311	1901.132143	2.37833349053007e-05	1901.13214285714	502.21484375	1.33333333333333	121	6	2	0	1460	298	0.0326817710276357	1815.20761588346	48740	0.129854368932039	4.32142857142857	9	5	0.00831869703328554	0.133355034722222	10	9	52803245102648160	0.0357142857142857	-0.0426368207817688	0.40625	0.406261875330646	8	156565	0.252206439752855
ABI3BP	4.95597805282634	1	0.000128	8	0	2.6e-05	0	0	3.7e-05	0	1505.905628	9.62180868521968e-06	1505.90562770563	251.857421875	1	9	1	1	0	109	18	-0.777777777777778	1462.96199794027	1833	1	NA	2	1	0.000160734953106128	1	11	1	19713821712786.7	NA	-0.547680114565817	0	2.28567668347779e-07	1	0	0.199775222566431
ABL1	3.01518438177874	130	0.01659	21.130769	918472.2623	0.004884	0.019559	164	0.002143	1769915.541631	2633.86627	3.23192846165573e-05	2633.86626984127	1021.1015625	0	2878	29	89	0.0805168342717622	5252	22526	0.772180456275447	2404.63157003809	1423480	0.0132342879483921	56.2900417412045	131	11	0.0305788532671401	0.0111535542167436	9	294	713541914631578752	0.0195587358378056	5.91687404587	0.701301775147929	0.702395083339955	130	9108835	0.349411816110528
ABL2	3.74709710348348	8	0.001021	43	3985.501175	0.000294	0.178571	5	0.000136	9966.31167	2042.838889	2.57728709266343e-05	2042.83888888889	602.2080078125	1	353	8	6	0	2310	762	-0.407065549185114	1934.93986242593	152696	0.154332129963899	63.0357142857143	9	6	0.00184339941589342	0.141665919694847	10	13	2593042688313996	0.178571428571429	0.0583718379750408	0.21875	0.218862695895931	8	58083	0.271005424368364
ABLIM1	4.51142018629578	3	0.000383	11.666667	1294.123747	1.2e-05	0	0	7.5e-05	3637.248943	1669.181818	1.72261757765713e-05	1669.18181818182	350	0	38	3	1	0	434	82	-0.331034482758621	1607.12309084738	7924	0.333333333333333	0	4	2	7.35695135096092e-05	0.333333333333333	11	3	4136488610587.09	0	0.110535266375858	0.444444444444444	0.444545317044016	3	7978	0.221435635205869
ABR	3.91603930075284	2	0.000255	71.5	2054.892159	9.5e-05	0	0	4.6e-05	3695.566928	1942.006746	1.59212647031076e-05	1942.00674603175	531.705078125	0	145	2	1	0	1781	292	-0.851515151515152	1851.46445096123	60865	0.503571428571429	0	3	2	0.000594983687968119	0.5	10	2	270148223979397	0	-0.612514982111587	0.5	0.500201291105536	2	41522	0.257628912978457
ABRAXAS2	4.38841393390328	1	0.000128	39	0	2.4e-05	0	0	3.3e-05	0	1716.504004	1.06014508734686e-05	1716.504004329	379.77001953125	0	40	1	1	0	589	80	-0.95	1652.17038846243	13541	1	NA	2	1	0.000148047782009974	1	11	1	16781717163244.7	NA	-0.536227775263626	0	6.34870518156916e-07	1	0	0.22771345241828
ABT1	4.33265280081664	1	0.000128	70	0	4.8e-05	0	0	2.9e-05	0	1748.280195	1.07248871924699e-05	1748.24686147186	402.19775390625	0	71	1	1	0	791	142	-0.971830985915493	1673.43378000295	29642	1	NA	2	1	0.000295984790292077	1	11	1	67204216849817.3	NA	-0.726923919075498	0	1.09879411558378e-06	1	0	0.23192449740937
ABTB1	4.23172132193441	1	0.000128	57	0	0.000131	0	0	3.1e-05	0	1786.865909	1.06972836882966e-05	1786.86590909091	426.29345703125	0	58	1	1	0	906	116	-0.96551724137931	1713.3471233868	22469	1	NA	2	1	0.000817648655112496	1	11	1	510249676082270	NA	-0.536227775263626	0	1.03125416395233e-06	1	0	0.237047745965885
ACACA	4.04465994640806	1	0.000128	96	0	7.1e-05	0	0	2.9e-05	0	1876.998413	1.07640777946707e-05	1876.99841269841	487.4033203125	0	97	1	1	0	1420	194	-0.979381443298969	1792.58767114644	53259	1	NA	2	1	0.000441923188941397	1	10	1	149159034890577	NA	-0.536227775263626	0	2.07722115752595e-06	1	0	0.249004830551644
ACACB	5.74964910042108	1	0.000128	5	0	0	0	0	4.3e-05	0	1291.203283	8.56126096527685e-06	1291.20328282828	145.287109375	0	6	1	1	0	18	12	-0.666666666666667	1261.01739902352	248	1	NA	2	1	2.93641887623398e-06	1	12	1	6588770671.43088	NA	-1	0	3.30904873765414e-05	1	0	0.171292555429599
ACAD9	5.11101186678576	3	0.000383	20.666667	7537	3e-06	0.333333	1	6.3e-05	15074	1464.72904	1.52489465057138e-05	1464.72904040404	231.107421875	0	65	3	2	0	105	136	-0.380357142857143	1418.5855448758	4406	0.580952380952381	21.6666666666667	4	2	1.81548821078679e-05	0.348181237820386	11	4	251548689524.875	0.333333333333333	0	0.444444444444444	0.445867720105838	3	60626	0.194312687769197
ACADM	4.53209136149037	2	0.000255	12	50.916824	9e-05	0	0	5.3e-05	185.974417	1662.785354	1.42990101190629e-05	1662.78535353535	346.89111328125	1	26	2	1	0	480	54	-0.51304347826087	1599.79289374402	8190	0.5	0	3	2	0.000560197036411352	0.5	11	2	239556180247062	0	-0.413818027588454	0	5.06362354157908e-07	2	314	0.220587072636691
ACAN	4.57789970652035	14	0.001787	8.357143	32991.706863	4e-06	0.054945	5	0.000327	68404.165918	1657.935354	2.65727710010125e-05	1657.93535353535	344.58642578125	0	131	8	4	0.0987551639829222	480	444	0.371697918972788	1583.7847088664	14882	0.0982142857142857	7.1978021978022	15	5	2.4745303128387e-05	0.0844653124855384	11	19	467292656002.212	0.0549450549450549	2.19089023002066	0.744897959183674	0.745150922476659	14	349814	0.219943665897505
ACAP1	3.97537322955212	2	0.000255	66	2201.918298	9.5e-05	0	0	5.7e-05	5102.0018	1913.382143	1.37965406062589e-05	1913.38214285714	512.26953125	0	134	2	1	0	1619	270	-0.484848484848485	1823.83065318568	58364	0.5	0	3	2	0.000592063487585438	0.5	10	2	267502740882951	0	0	0.5	0.510942889504546	2	16496	0.253831539248741
ACAP3	0.000127599846880184	1	0.000128	1	0	0	0	0	0.000128	0	1	1.25595213047773e-06	1	1.5	0	2	1	1	0	1	4	0	1	1	NA	NA	2	1	1.05980442412014e-16	1	1	1	1.54308063481525	NA	0	0	0	1	0	1
ACAT2	3.90914890902131	4	0.00051	42.75	1334.228435	0.00014	0	0	6.8e-05	2933.080078	1949.95	2.15366017873217e-05	1949.95	537.46875	0	175	4	1	0	1796	362	-0.760752099306316	1854.72790181486	64521	0.256134969325153	0	5	4	0.000874999497418284	0.25	10	4	584502926771355	0	-0.16899853223811	0	1.06737181383432e-05	4	15632	0.258682674449438
ACBD3	5.5248181702182	1	0.000128	3	0	0	0	0	4.6e-05	0	1344.782612	7.86405010464867e-06	1344.78261183261	169.061767578125	0	4	1	1	0	26	8	-0.5	1312.33414938334	372	1	NA	2	1	1.15635565018819e-06	1	12	1	1020518441.36476	NA	0	0	0.000187893331935918	1	0	0.178400452617764
ACD	4.86104376674748	1	0.000128	13	0	4.3e-05	0	0	3.5e-05	0	1541.062734	1.0088278583889e-05	1541.06273448773	273.19091796875	0	14	1	1	0	162	28	-0.857142857142857	1491.53307433851	2708	1	NA	2	1	0.000271304967573228	1	11	1	56164936484735.2	NA	-0.536227775263626	0	1.39550805577926e-07	1	0	0.204439205954874
ACE	5.54982774020671	1	0.000128	4	0	0	0	0	4.3e-05	0	1335.491775	8.26150875713614e-06	1335.49177489177	163.544677734375	0	5	1	1	0	17	10	-0.6	1306.4202878558	350	1	NA	2	1	6.77212957599927e-07	1	12	1	350189041.015387	NA	-0.577350269189626	0	9.39332878414634e-05	1	0	0.177167919194993
ACHE	4.35676917187699	1	0.000128	46	0	2.7e-05	0	0	3.6e-05	0	1728.683369	1.06221529033112e-05	1728.68336940837	387.21826171875	0	47	1	1	0	620	94	-0.957446808510638	1664.17068884724	11668	1	NA	2	1	0.000167520882283705	1	11	1	21414159759349.3	NA	-0.536227775263626	0	1.62737764664023e-06	1	0	0.22932918140201
ACIN1	5.06877631746842	2	0.000255	5.5	37665	1e-06	0	0	8.5e-05	75330	1476.080195	9.63774875589924e-06	1476.08019480519	237.209716796875	0	13	2	1	0	110	28	-0.318181818181818	1430.40590071493	1795	0.5	0	3	1	7.62830476281626e-06	0.5	12	2	44430426457.0187	0	0	0.5	0.500872142774428	2	379270	0.195818545344301
ACKR1	5.22304453234656	4	0.00051	6	7550.965538	2e-06	0	0	0.000104	15105.348288	1432.66829	1.80374918274415e-05	1432.66829004329	214.69287109375	2.4	28	4	1	0	97	68	-0.0626262626262626	1388.15733027142	4052	0.416666666666667	0	5	3	1.17248519779839e-05	0.25	11	4	104905718091.443	0	0	0.375	0.376000352413335	4	174011	0.190059470687641
ACKR2	4.66683679979584	8	0.001021	6.625	19372.541809	1.2e-05	0	0	0.000175	40855.183487	1614.784163	2.39225812904621e-05	1614.78416305916	316.92724609375	0	61	6	1	2	358	178	0.159919406359035	1553.60212172582	10025	0.181451612903226	0	9	5	7.19653776846466e-05	0.125	11	8	3969703067812.05	0	0.638669388481863	0.40625	0.406277569048168	8	272632	0.214219177906504
ACKR4	5.35766237080515	1	0.000128	6	0	1e-06	0	0	3.6e-05	0	1390.066306	9.40777390412539e-06	1390.06630591631	191.77001953125	0	7	1	1	0	55	14	-0.714285714285714	1353.27817471659	1105	1	NA	2	1	3.31710641199365e-06	1	11	1	8396597364.72312	NA	0	0	-Inf	1	0	0.184407841060815
ACLY	3.94640806431032	3	0.000383	52	2070.981424	0.000615	0	0	6.2e-05	4683.184378	1930.995238	1.87296650999737e-05	1930.99523809524	524.65625	1	159	3	1	0	1688	324	-0.652142154797022	1837.21689084325	64721	0.34	0	4	3	0.00384698641480788	0.333333333333333	10	3	11293294358233630	0	-0.536686707161553	0.444444444444444	0.445394755739991	3	18995	0.256168113305268
ACOT13	4.01965037641955	1	0.000128	148	0	0.000253	0	0	3.3e-05	0	1894.503968	1.07762887386292e-05	1894.50396825397	499.8916015625	1	149	1	1	0	1470	298	-0.986577181208054	1803.74084185131	54727	1	NA	2	1	0.00157567067438504	1	10	1	1896621339144827	NA	-0.536227775263626	0	5.12851990608354e-06	1	0	0.251327138266629
ACOX1	5.13449023861171	2	0.000255	5.5	2943.957408	4.2e-05	0	0	8.3e-05	6078.087415	1457.131421	1.1754733586333e-05	1457.13142135642	227.3935546875	0	13	2	1	0	114	28	-0.318181818181818	1412.09880961256	1203	0.5	0	3	2	0.000264333030718067	0.5	11	2	53315421148042.2	0	-0.866025403784439	0.5	0.500704429439889	2	27220	0.19330477863579
ACP1	3.52660456807452	10	0.001276	60.2	28610.615913	0.000938	0.088889	4	0.000143	61045.319359	2188.150794	2.70493279069548e-05	2188.15079365079	707.17578125	2.75	612	9	3	0	3226	1314	-0.464260408330851	2055.91736015631	241931	0.114312977099237	54.4	11	8	0.00576645425530442	0.108641383496836	9	14	25834430348272500	0.0888888888888889	-0.244654138295388	0.66	0.660093799451928	10	323619	0.290282673607136
ACP5	4.09455148653822	7	0.000893	8.571429	17706.113735	0.000119	0	0	0.000152	36796.384805	1850.636905	2.31281914677086e-05	1850.6369047619	468.126953125	1	67	5	1	2	1253	176	0.0621794871794872	1770.7452398018	24730	0.142857142857143	0	8	4	0.000742081202704961	0.142857142857143	9	7	420249760462597	0	-0.413818027588454	0.775510204081633	0.795926503659786	7	130208	0.24550768171422
ACP6	4.39045553145336	4	0.00051	5.5	15373.713839	3.3e-05	0	0	0.000104	31046.011934	1713.427381	1.81291961597784e-05	1713.42738095238	376.8623046875	0	26	4	1	0	581	64	-0.103030303030303	1651.40211578703	9438	0.25	0	5	3	0.000204391970276189	0.25	10	4	31879585348062.9	0	-0.413818027588454	0.625	0.6250234658128	4	123901	0.227305303920453
ACPP	4.94844966186041	1	0.000128	12	0	3e-06	0	0	4.6e-05	0	1508.235786	9.47067727485783e-06	1508.23578643579	253.1005859375	0	13	1	1	0	91	26	-0.846153846153846	1465.18769500529	2301	1	NA	2	1	1.67471737473129e-05	1	11	1	214016575561.943	NA	-0.353553390593274	0	0.000259375878908341	1	0	0.200084344180939
ACSL6	5.31951001658798	1	0.000128	6	0	1e-06	0	0	4.2e-05	0	1398.92031	9.17537533187749e-06	1398.92031024531	195.489501953125	0	7	1	1	0	48	14	-0.714285714285714	1362.98409652426	714	1	NA	2	1	3.30401599265767e-06	1	12	1	8331514533.7025	NA	0	0	-Inf	1	0	0.185582423752381
ACTA1	3.7939262472885	13	0.001659	17.461538	21302.786416	0.000165	0.038462	3	0.000239	44269.520882	2014.584127	2.72023454489206e-05	2014.58412698413	581.544921875	0	240	8	3	0.159664183576095	2184	636	0.224791569573956	1911.05653650826	102452	0.0846540394279088	9.23076923076923	14	7	0.00103586805664548	0.0845684680593042	10	16	818802497745650	0.0384615384615385	0.198230710787405	0.603550295857988	0.603567500070382	13	174243	0.267257114219152
ACTA2	3.87354855174174	17	0.002169	14.823529	18250.325496	0.000498	0.176471	24	0.000272	39249.699797	1972.929762	2.85569819912285e-05	1972.92976190476	552.0263671875	1	269	10	11	0.0547010257795201	1910	810	0.204460217631956	1871.77402246599	94057	0.0893246187363834	47.4705882352941	18	8	0.00311970673866199	0.100726689945645	10	41	7426546138203978	0.176470588235294	1.83404892196602	0.608996539792388	0.60920546504217	17	188444	0.261731196856543
ACTC1	3.99732040321552	9	0.001149	10.666667	2417.407381	0.000159	0.027778	1	0.000145	5511.391354	1897.482143	2.60467716213086e-05	1897.48214285714	499.37890625	0	105	6	2	0	1470	282	0.0225967586951569	1813.81696300316	53437	0.128427128427128	2.91666666666667	10	6	0.000995988018157783	0.113803873599468	10	10	756956666243033	0.0277777777777778	0.320640458462577	0.197530864197531	0.197534912896893	9	23775	0.251722226433672
ACTG2	3.55212453745056	10	0.001276	52.9	8241.040728	0.002403	0.444444	20	0.000148	14533.387918	2161.043651	2.68068480605948e-05	2161.04365079365	686.5830078125	3.02777777777778	539	9	10	0.064138862685067	3101	1168	-0.338854332619062	2041.14677778576	254343	0.126555023923445	239.555555555556	11	8	0.015053226654582	0.160403926363725	10	30	172907148946644960	0.444444444444444	0.942497362676982	0.46	0.460461234576282	10	140857	0.286686607958801
ACTL6A	3.6226872527753	34	0.004339	18.294118	48705.963824	0.000725	0.122995	69	0.000453	99900.811401	2132.715079	3.06584555006376e-05	2132.71507936508	664.61328125	0	656	14	30	0.0580305151612926	2911	2434	0.417517199207401	2001.38931351485	272985	0.0503503340394329	80.6844919786096	35	9	0.0045318039279146	0.0574902342029467	9	103	15686859745029704	0.122994652406417	2.81171773379184	0.558823529411765	0.559968506250595	34	536842	0.28292850615082
ACTL6B	3.92752328697206	5	0.000638	27.2	215.84975	0.000172	0.2	2	7.4e-05	453.030849	1933.30119	2.30706176888115e-05	1933.30119047619	525.095703125	0	141	5	3	0.159664183576095	1757	302	-0.654829192546584	1846.05081221572	79872	0.294505494505495	28.2	6	5	0.00107659560913332	0.210918355238489	9	7	885057475391326	0.2	-0.0465887845629385	0	7.25375189547517e-06	5	4941	0.256474023676844
