name	Gene2
ELANE	SERPING1
ELANE	SERPIND1
ELANE	TGFA
ELANE	ELN
ELANE	TFPI
ELANE	CXCR4
ELANE	CSF3R
EZR	IKBKE
EZR	ADORA2B
EZR	PTPRC
EZR	ROCK1
EZR	CLIC5
EZR	LCK
EZR	CFTR
EZR	PRKCA
EZR	FAS
EZR	PTK2
EZR	PRKAR2A
EZR	SLC9A3R1
EZR	ICAM1
EZR	ICAM3
EZR	TSC1
EZR	SYK
EZR	SPN
EZR	CTNNB1
EZR	CDK5
EZR	CD44
EZR	RIPK2
EZR	S100P
EZR	RDX
EZR	SELL
EZR	ARHGDIB
EZR	SDC2
EZR	CDH1
EZR	FASLG
EZR	PIK3R1
EZR	ADRA1B
EZR	EGFR
EZR	VCAM1
EZR	MCC
EZR	VHL
EZR	SLC9A3R2
EZR	SELP
EZR	ACTA1
EZR	L1CAM
EZR	MSN
EZR	NF2
EZR	DLG1
EZR	ACTC1
F12	SERPING1
F12	APP
F12	GP1BA
FASN	CASP8
FASN	LRIF1
FASN	CASP10
FASN	MAPK8
FASN	ERG28
FASN	BID
FASN	BTK
FASN	IGHG1
FASN	MAP3K1
FASN	FAS
FASN	EEF1A1
FASN	FYN
FASN	FAF1
FASN	IKBKG
FASN	RIPK1
FASN	PDCD6
FASN	ARHGDIA
FASN	ARRB1
FASN	MSN
FASN	UBE2I
FASN	LCK
FASN	TRADD
FASN	EWSR1
FASN	FAIM2
FASN	ARRB2
FASN	HIPK3
FASN	CASP8AP2
FASN	FASLG
FASN	CRMP1
FASN	DAXX
FASN	MAP3K3
FASN	FADD
FASN	RHOA
FASN	SUMO1
FASN	CFLAR
FASN	TNFRSF10B
FASN	NFKB2
FGF13	SDC1
FGF13	SCN8A
FGF13	CSNK2A2
FGF13	FGFBP1
FGF13	SDC3
FGF13	FGFR2
FGF13	CD44
FGF13	FGFR1
FGF13	CXCL13
FGF13	PF4
FGF13	RPS19
FGF13	GPC4
FGF13	SDC2
FGF13	GPC3
FGF13	CSNK2A1
FGF13	CSNK2B
FGF13	FGFR4
FGF13	RPL6
FGF13	SDC4
FGF13	MAPK8IP2
FGFR1	SOS1
FGFR1	CRK
FGFR1	KPNB1
FGFR1	GRB2
FGFR1	CREBBP
FGFR1	SHC1
FGFR1	BNIP2
FGFR2	PTK2B
FGFR2	SOS1
FGFR4	PIK3R1
FGFR4	UBC
FGFR4	FGF9
FGFR4	FGF1
FGFR4	FGF3
FGFR4	STAT1
FGFR4	SOS1
FGFR4	GAB1
FGFR4	STAT3
FGFR4	CDH2
FGFR4	FGF2
FGFR4	FGF8
FGFR4	UBA52
FGFR4	RPS27A
FGFR4	EPHA4
FGFR4	PLCG1
FN1	C1QA
FN1	TAC1
FN1	ITGB1
FN1	VHL
FN1	ITGB7
FN1	TF
FN1	COL1A2
FN1	COL4A5
FN1	BCAR1
FN1	ITGA3
FN1	AMBP
FN1	DCN
FN1	COL7A1
FN1	TSHR
FN1	APCS
FN1	GSN
FN1	COL4A2
FN1	FBLN2
FN1	NRAS
FN1	CRP
FN1	F13A1
FN1	ALB
FN1	PXN
FN1	IGFBP5
FN1	PTK2
FN1	PRPF40A
FN1	ITGB3
FN1	COL2A1
FN1	KRAS
FN1	TGM2
FN1	ITGA2B
FN1	PKD1
FN1	SMAD9
FN1	ITGA8
FN1	SMAD4
FN1	COL4A3
FN1	TLN1
FN1	APOA1
FN1	HGF
FN1	COL4A1
FN1	FBLN1
FN1	FASLG
FN1	HRAS
FN1	COL4A6
FN1	COL1A1
FN1	CRK
FN1	COL4A4
FN1	CTSD
FN1	FLT4
GAK	AP1S1
GAK	AXIN1
GAK	CLTC
GAK	ITSN1
GAK	RPS27A
GAK	CCNG1
GAK	AP2S1
GAK	ITSN2
GAK	CREBBP
GAK	UBC
GAK	AP1M2
GAK	EPN1
GAK	ARPC2
GAK	AP1B1
GAK	HSPA8
GAK	WASL
GAK	ARF1
GAK	TRIP10
GAK	DVL2
GAK	ACTR2
GAK	AP2B1
GAK	AP1G1
GAK	DNM2
GAK	AP2M1
GAK	CDK5
GAK	AR
GAK	EPS15
GAK	FNBP1
GAK	AMPH
GAK	UBA52
GAK	AP2A2
GAK	AP2A1
GAK	DNM1
GIPC1	DRD2
GIPC1	NRP1
GIPC1	SDC4
GIPC1	NTRK1
GIPC1	ITGA6
GIPC1	IGF1R
GIPC1	ADRB1
GIPC1	DRD3
GIPC1	RGS19
GIPC1	MCM7
GPC3	FGF2
GRB2	ALOX5
GRB2	CBLB
GRB2	BRCA2
GRB2	ERBB4
GRB2	CDKN1B
GRB2	ERBB2
GRB2	CBL
GRB2	EGF
GRB2	CRKL
GRB2	CRK
GRB2	AP2M1
GRB2	EGFR
GRB2	GHR
GRB2	FGFR3
GRB2	APP
GRB2	EPHB1
GRB2	DOCK1
GRB2	ABL1
GRB2	FANCA
GRB2	EPS15
GRIN1	EPHB1
GRIN1	DLG4
GRIN1	FYN
GRIN1	CTNNB1
GRIN1	EPHB2
GRIN1	CLTC
GRIN1	SP1
GRIN1	HRAS
GRIN1	ERBB4
GRIN1	DNM1
GRIN1	MAP2K2
HACD3	CASP4
HACD3	NEK6
HACD3	SERINC3
HACD3	PTP4A3
HACD3	RAC1
HACD3	TSC22D1
HACD3	TNFRSF1B
HACD3	BRF2
HRAS	ABL2
HRAS	GRB2
HRAS	EPHB1
HRAS	BRAF
HRAS	ARAF
HRAS	BCL2
HSPA5	EGFR
HSPA5	MAP3K8
HSPA5	NFKBIA
HSPA5	ARRB2
HSPA5	GRB2
HSPA5	IKBKB
HSPA5	MAP3K7
HSPA5	TRAF2
HSPA5	RAF1
HSPA5	CFTR
HSPA5	MAP3K14
HSPA5	TANK
HSPA5	BRAF
HSPA5	PDIA3
HSPA5	IKBKG
HSPA5	ARRB1
HSPA5	GRIA1
HSPA5	RELA
IGF1R	CRKL
IGF1R	CRK
IGF1R	EGFR
IGF1R	CTNNB1
IGF1R	GRB2
IGHG1	ELN
IGHG1	SERPIND1
IGHG1	FN1
IGHG1	TTN
IGHG1	PDPK1
IGHG1	IKBKG
IGHG1	FCGR3B
IGHG1	CLU
IGHG1	TF
IGHG1	EGFR
IGHG1	FGFR1
IGHG1	TRAF1
IGHG1	ALB
IGHG1	APOA1
IGHG1	ADRA1B
IKBKG	CREBBP
IKBKG	NFKBIA
IKBKG	COPA
IKBKG	NFKB1
IKBKG	MSH2
IKBKG	VIM
IKBKG	RPL11
IKBKG	PRKCQ
IKBKG	DDB1
IKBKG	MAP3K7
IKBKG	TRAF2
IKBKG	IKBKB
IKBKG	SRC
IKBKG	BIRC2
IKBKG	CHUK
IKBKG	CASP8
IKBKG	NCOA3
ITGB1	IGF1R
ITGB1	ITGA6
ITGB1	FLNA
ITGB1	ITGAL
ITGB1	PTK2
ITGB1	CD47
ITGB1	CSK
ITGB1	NF2
ITGB1	DOK1
ITGB1	ITGA9
ITGB1	ITGA3
ITGB1	TGFB1
ITGB1	ITGAV
ITGB1	CD9
ITGB1	EPS8
ITGB1	COL4A1
ITGB1	FHL2
ITGB1	DMD
ITGB1	SHC1
KRT1	ALB
KRT1	FANCC
KRT1	KNG1
KRT1	IGHG1
KRT1	F12
KRT1	LOR
KRT1	MDM2
KRT1	CDH1
KRT1	APC
KRT1	APOA1
KRT1	IGHM
KRT1	EGFR
KRT1	CSTA
KRT1	TANK
KRT1	YWHAQ
KRT1	MAPK11
KRT1	FANCA
KRT1	DSP
KRT9	APOA1
KRT9	MDM2
KRT9	YWHAQ
KRT9	IGHM
KRT9	IGHG1
KRT9	CDH1
KRT9	TANK
KRT9	SH3GL3
KRT9	APC
KRT9	ALB
LDLR	HSPA5
LRP2	LPA
LRP2	GPRASP1
LRP2	GIPC1
LRP2	APBB1
LRP2	DAB2
LRP2	DLG1
LRP2	DLG3
LRP2	DLG2
LRP2	ATN1
LRP2	ALB
LRP2	DLG4
LRP2	APOE
LRP2	LCN2
LRP2	APBA2
LRP2	LPL
LRP2	CLU
LRP2	ABL1
LRP2	DAB1
LRP2	TLN1
LRP2	MAPK8IP1
LRP2	GAK
LRP2	GC
LRP2	LLGL1
LRP8	GRIN1
LRP8	GIPC1
LRP8	APOE
LRP8	MAPK8IP1
LRP8	LRPAP1
LRP8	LLGL1
LRP8	APBA2
LRP8	CLU
LRP8	DAB1
LRP8	DLG4
LTBP1	FBN1
LTBP1	ITGB5
LTBP1	TGM2
LTBP1	ATN1
LTBP1	FBN2
LTBP1	TGFB1
LTBP1	FN1
MAGI1	RPS6KA2
MAGI1	CDH1
MAGI1	SFN
MAGI1	ASIC3
MAGI1	ADGRB1
MAGI1	CTNNB1
MAGI1	BRCA1
MAGI1	TFAP2A
MAGI1	ATN1
MAGI1	FZR1
MAGI1	IL6R
MAGI1	RASA1
MAGI1	LRP2
MAGI1	DAG1
MAGI1	RPS6KA3
MAGI1	TP53BP2
MAGI1	RPS6KA1
MAPK8	CASP8
MAPK8	CRK
MAPK8	BCL2
MAPK8	RHOA
MAPK8	CDC42
MAPK8	CDKN2A
MAPK8	SMAD2
MAPK8	IRAK1
MAPK8	BCL2L1
MAPK8	MAPK3
MAPK8	MYC
MAPK8	ARHGDIA
MAPK8	MSN
MAPK8	BID
MAPK8	CDKN1A
MAPK8	FAS
MAPK8	HRAS
MAPK8	SMAD3
MAPK8IP2	PRSS23
MAPK8IP2	MAP3K10
MAPK8IP2	MAPK8
MAPK8IP2	MAPK8IP3
MAPK8IP2	LRP1
MAPK8IP2	TIAM1
MAPK8IP2	MAP2K7
MAPK8IP2	LRP2
MAPK8IP2	MAPK9
MAPK8IP2	MAPK8IP1
MAPK8IP2	MAP3K11
MAPK8IP2	LRP8
MAPK8IP2	MAPK13
MAPK9	JUND
MAPK9	CEP126
MAPK9	MAP2K4
MAPK9	BCL2L11
MAPK9	RB1
MAPK9	TRAF2
MAPK9	ATF2
MAPK9	MAP2K7
MAPK9	SMAD3
MAPK9	JUN
MAPK9	SMAD2
MAPK9	CDC42
MAPK9	IRS1
MET	HGS
MET	HGF
MET	GRB2
MET	CRKL
MET	DAPK3
MET	CTNNB1
MET	CBL
MET	GAB1
MET	CRK
MET	NCK1
MET	PLXNB1
MET	BAG1
MET	SHC1
MET	SRC
MET	INPP5D
MET	STAT3
MET	SOS1
MET	IL6
MET	FAS
MET	EGFR
MET	CDH1
MET	RAC1
MET	CTTN
MFAP5	FBN1
MFAP5	FBN2
MFAP5	FBLN2
MFAP5	FBLN1
NAGPA	AP2A1
NAGPA	EPS15
NAGPA	FURIN
NRAS	MAPK3
NRAS	MAP2K2
NRAS	CSK
NRAS	CNKSR1
NRAS	ARAF
NRAS	BRAF
NRAS	MAP2K1
NRAS	RASA1
NRAS	BCL2
NRAS	SMAD4
NRAS	RAF1
PBX2	PBX1
PBX2	MEIS1
PCDH9	BCL6
PDPK1	MTOR
PDPK1	AKT2
PDPK1	AKT1
PDPK1	PTK2B
PDPK1	IRS1
PDPK1	PKN1
PDPK1	RHOA
PDPK1	PAK1
PDPK1	SRC
PDPK1	HSP90AA1
PDPK1	PRKCQ
PDPK1	ITGB3
PDPK1	MAP3K7
PDPK1	PRKCI
PDPK1	INSR
PDPK1	SLC9A3R2
PDPK1	DLAT
PF4	CXCL8
PF4	LDLR
PF4	FGF2
PF4	CXCR3
PF4	THBD
PIK3CA	RHOA
PIK3CA	PIK3R1
PIK3CA	NFKBIA
PIK3CA	GNAQ
PIK3CA	EPHA2
PIK3CA	RHOG
PIK3CA	NRAS
PIK3CA	NFKB1
PIK3CA	LCK
PIK3CA	KIT
PIK3CA	IL3
PIK3CA	GNA15
PIK3CA	KDR
PIK3CA	CBL
PIK3CA	YWHAZ
PIK3CA	YWHAQ
PIK3CA	FGFR4
PIK3CA	PRKCD
PIK3CA	JAK1
PIK3CA	RAC2
PIK3CA	NOTCH1
PIK3CA	YWHAH
PIK3CA	SLC9A3R1
PIK3CA	CDC42
PIK3CA	ERBB2
PIK3CA	FGFR2
PIK3CA	TEK
PIK3CA	FGFR1
PIK3CA	SYK
PIK3CA	HRAS
PIK3CA	IRS1
PIK3CA	RASGRP3
PIK3CA	SOS1
PIK3CA	KRAS
PIK3CA	JAK2
PIK3CA	GNA11
PIK3CA	GRIN2B
PIK3CA	AXL
PIK3CA	FGFR3
PIK3CA	PDGFRB
PIK3CA	RAC1
PIK3CA	SRC
PIK3CA	GSN
PIK3CA	RET
PIK3CA	JAK3
PIK3CA	PDGFRA
PIK3CA	IRS4
PIK3CA	SLC9A3R2
PIK3CA	SH3KBP1
PIK3CA	EGFR
PIK3CA	SHC1
PIK3CA	LYN
PIK3CA	FYN
PIK3CA	HCK
PIK3CA	ATR
PIK3CA	GRB2
PON1	APOA1
PON1	CLU
PON1	ALB
PRKCA	ITGB1
PRKCA	ANXA2
PRKCA	PEBP1
PRKCA	ITPKB
PRKCA	FAS
PRKCA	GSK3B
PRKCA	RAC1
PRKCA	CD9
PRKCA	INSR
PRKCA	EEF1D
PRKCA	BTK
PRKCA	GJA1
PRKCA	BCL2
PRKCA	KIT
PRKCA	MBP
PRKCA	PTPN6
PRKCA	LMNA
PRKCA	DNM1
PRKCA	RARA
PRKCA	GFAP
PRKCA	C1QBP
PRKCA	SHC1
PRKCA	CREM
PRKCA	FLNA
PRKCA	ITGB2
PRKCA	DVL2
PRKCA	EIF4E
PRKCA	HSPB8
PRKCA	CDC42
PRKCA	CBL
PRKCA	EWSR1
PRKCA	HMGB1
PRKCA	GNA15
PRKCA	ATP2B2
PRKCA	GRIA1
PRKCA	RAF1
PRKCA	HSPA1A
PRKCA	SRC
PRKCA	RHOA
PRKCA	LCK
PRKCA	DLG4
PRKCA	CFTR
PRKCA	EGFR
PRKCD	IL6ST
PRKCD	EP300
PRKCD	C1QBP
PRKCD	ITGB2
PRKCD	PEBP1
PRKCD	PTK2B
PRKCD	EGFR
PRKCD	MAPK3
PRKCD	SRC
PRKCD	RAF1
PRKCD	STAT1
PRKCD	KCNJ1
PRKCD	STAT3
PRKCD	SHC1
PRKCD	MTOR
PRKCD	ITGB7
PRKCD	INPP5D
PRKCD	LCK
PRKCD	MBP
PRKCD	GAP43
PRKCD	LYN
PRKCD	FYN
PRKCD	PAK1
PRKCD	CREBBP
PRKCD	PDPK1
PRKCD	ITGA6
PRKCD	IGF1R
PRKCD	INSR
PRKCD	GSK3B
PRKCD	PTPN6
PRKCD	PPP2CA
PRKCD	PLSCR1
PRKCD	IRS1
PRKCD	HNRNPK
PRKCD	MUC1
PRKCD	EEF1A1
PSMB9	PSMB10
PSMB9	PSMA2
PTEN	ESR1
PTEN	CSNK2A1
PTEN	CHGB
PTEN	MAGI3
PTEN	PXN
PTEN	STK11
PTEN	AKT1
PTEN	DLG1
PTEN	UBE2L3
PTEN	CSNK2A2
PTEN	HSPA5
PTEN	ROCK1
PTEN	UBE2I
PTEN	PTK2
PTEN	CAV1
PTEN	AR
PXN	MYL6
PXN	FLNA
PXN	RASA1
PXN	HSPA5
PXN	COL4A1
PXN	PIK3R1
PXN	CTTN
PXN	LMNA
PXN	HSP90AA1
PXN	FAU
PXN	DDX1
PXN	PKM
PXN	MYH9
PXN	PTK2
PXN	FYN
PXN	ITGA6
PXN	PDIA3
PXN	EPHB1
PXN	PAK2
PXN	ITGB7
PXN	PPP2CA
PXN	PTBP1
PXN	VIM
PXN	PAK1
PXN	NF2
PXN	ITGA2B
PXN	ITGB1
PXN	PKD1
PXN	GSN
PXN	GSK3B
PXN	SERPINH1
PXN	ITGB3
PXN	ANXA2
PXN	CLTC
PXN	MAPK3
PXN	LCK
PXN	NONO
PXN	EMD
PXN	CRKL
PXN	EWSR1
PXN	CSK
PXN	AR
PXN	ITGA9
PXN	MAPK1
PXN	CBL
PXN	GRB2
PXN	HNRNPM
PXN	IGF1R
PXN	DMD
PXN	XRCC5
PXN	SRC
PXN	SFPQ
PXN	MAPK8
PXN	NCK1
PXN	CRK
PXN	RPL11
PXN	PTK2B
PXN	PDPK1
PXN	ABL1
PXN	LIMS1
PXN	EGFR
PXN	HSPA8
RAC1	DOCK1
RAC1	PKN1
RAC1	PRKCI
RAC1	ERBB2
RAC1	PAK1
RAC1	PLXNB1
RAC1	ARHGDIA
RAC1	CDC42
RAC1	EPHB1
RAC1	NCK1
RAC1	ABL2
RAC1	AKT1
RB1	CDK2
RB1	PRMT2
RB1	CCND2
RB1	AHR
RB1	BRCA1
RB1	HDAC1
RB1	CASP8
RB1	CCNA2
RB1	EP300
RB1	CDK1
RB1	PML
RB1	CDK6
RB1	CDK4
RB1	PAX5
RB1	CEBPB
RB1	CCND3
RB1	CDKN1A
RB1	E2F1
RB1	ABL1
RB1	HDAC2
RB1	RAF1
RB1	MDM2
RB1	E2F4
RB1	MYC
RELA	CEBPB
RELA	EP300
RELA	CREBBP
RELA	HDAC2
RELA	HDAC1
RELA	AHR
RELA	RARA
RELA	PML
RELA	CHUK
RELA	BARD1
RELA	MYC
RELA	NFKB1
RELA	ATF3
RELA	BRCA1
RELA	PCNA
RELA	IKBKB
RELA	CSNK2A2
RELA	NFKBIA
RING1	E2F1
RING1	RB1
SCAF1	IGHG1
SCAF1	ALB
SCAF1	UBQLN4
SDC4	PRKCD
SDC4	PRKCA
SDC4	PXN
SDCBP	NF2
SDCBP	GRIK1
SDCBP	TGFA
SDCBP	EFNB2
SDCBP	PTPRJ
SDCBP	EPHA7
SDCBP	GRIK3
SDCBP	GRIK5
SDCBP	RAB5A
SDCBP	SDC4
SDCBP	GRIA4
SDCBP	GRIA2
SDCBP	EFNB1
SDCBP	STX1A
SDCBP	GRM7
SDCBP	NRXN1
SDCBP	SDC1
SDCBP	GRIA1
SDCBP	GRIA3
SDCBP	EPHB2
SDCBP	GRIK2
SDCBP	SDC2
SDCBP	IL5RA
SDCBP	RNF11
SDCBP	GRM3
SELP	FUT4
SELP	SELPLG
SELP	AP2M1
SELP	VCAN
SELP	GP1BA
SELP	SERPING1
SERPINB8	FURIN
SERPINB8	PRPF40A
SERPINB8	BCL2
SERPINB8	F2
SERPINB8	F10
SMAD2	AKT1
SMAD2	CREBBP
SMAD2	CDK2
SMAD2	CTNNB1
SMAD2	BRCA1
SMAD2	IRAK2
SMAD2	E2F4
SMAD2	HDAC1
SMAD2	KPNB1
SMAD2	BRCA2
SMAD2	CDK4
SMAD2	EP300
SMAD3	GRB2
SMAD3	CREBBP
SMAD3	CEBPB
SMAD3	CTNNB1
SMAD3	EP300
SMAD3	E2F4
SMAD3	KPNB1
SMAD3	CDK2
SMAD3	ATF3
SMAD3	SMAD2
SMAD3	BRCA2
SMAD3	AKT1
SMAD3	BRCA1
SMAD3	CDK4
SMAD4	EP300
SMAD4	CREBBP
SMAD4	BRCA1
SMAD4	SMAD2
SMAD4	KPNB1
SMAD4	CEBPB
SMAD4	SMAD3
SMAD4	CTNNB1
SMAD4	AKT1
SMC1A	ATR
SMC1A	SMARCA5
SMC1A	HSPA2
SMC1A	MSH2
SMC1A	MSH6
SMC1A	BRCA1
SMC1A	MCM7
SMC1A	ATM
SMC1A	PPP2CA
SMC1A	MCM6
SMC1A	RANBP2
SMC1A	BLM
SMC1A	BUB1
SMC1A	MET
SMC1A	SUMO1
SMC1A	PLK1
SMC1A	CDK4
SMC1A	MAD2L1
SMC1A	BUB1B
SMYD3	PBX2
SMYD3	TLN1
SMYD3	POLR2K
SMYD3	HSP90AA1
SORL1	GGA2
SORL1	LRPAP1
SORL1	GGA1
SORL1	CFTR
SORL1	FURIN
SPP1	PRKCA
SPP1	CD44
SPP1	F2
SPP1	ITGB1
SPP1	ITGA9
SPP1	IGFBP5
SPP1	CSNK2A1
SPP1	SGTA
SPP1	CSNK2A2
