gene_select	Gene2
RB1	CDK2
RB1	AHR
RB1	E2F1
RB1	CDKN1A
RB1	MDM2
RB1	CDK4
RB1	CDK6
RB1	CCND2
RB1	ABL1
RB1	BRCA1
RING1	E2F1
RING1	RB1
SCAF1	IGHG1
SCAF1	UBQLN4
SCAF1	ALB
SDC4	PRKCA
SDC4	PXN
SDC4	PRKCD
SELP	FUT4
SELP	VCAN
SELP	SERPING1
SELP	GP1BA
SELP	SELPLG
SELP	AP2M1
SERPINB8	FURIN
SERPINB8	BCL2
SERPINB8	PRPF40A
SERPINB8	F10
SERPINB8	F2
SORL1	FURIN
SORL1	GGA1
SORL1	CFTR
SORL1	GGA2
SORL1	LRPAP1
SPP1	ITGB1
SPP1	CD44
SPP1	IGFBP5
SPP1	ITGA9
SPP1	PRKCA
SPP1	SGTA
SPP1	CSNK2A1
SPP1	F2
SPP1	CSNK2A2
SPP1	ITGAV
SPTBN2	ANK3
SPTBN2	ACTA1
SPTBN2	MINK1
SPTBN2	NCAM1
SPTBN2	DCTN1
SPTBN2	RAB1A
SPTBN2	ANK1
SPTBN2	SPTA1
SPTBN2	SPTAN1
SPTBN2	DYNLL1
SPTBN2	FYN
SPTBN2	CELSR3
STYXL1	SMC1A
STYXL1	TGFBR1
STYXL1	AES
STYXL1	SRPRB
TERT	SMARCA4
TERT	DKC1
TERT	NCL
TERT	CTNNB1
TERT	HSP90AA1
TERT	PRKCA
TERT	MTOR
TERT	AKT1
TERT	RELA
TERT	ABL1
TERT	XRCC5
TERT	SRC
TGFA	EGFR
TGFA	ERBB4
TGFA	ERBB2
TGFBR2	TGFB1I1
TGFBR2	AP2B1
TGFBR2	TGFB3
TGFBR2	PIK3R2
TGFBR2	CDK1
TGFBR2	SMAD3
TGFBR2	SMAD2
TGFBR2	PAK1
TGFBR2	CCNB1
TGFBR2	ARHGEF6
TGFBR2	SMAD4
TGFBR2	ACVRL1
TGFBR2	DAB2
TGFBR2	CD44
TGFBR2	SMAD7
TGFBR2	DAXX
TGFBR2	TGFBR1
TGFBR2	TGFB1
TGFBR2	ENG
TGFBR2	CTNNB1
TGFBR2	TGFB2
TGFBR2	PML
TGFBR2	ZFYVE9
TGFBR2	SCRIB
TGFBR2	PIK3R1
TGFBR2	CLU
THSD7A	ASAP2
TNFAIP6	THBS1
TNFAIP6	ACAN
VCAN	CD44
VCAN	FBN1
VCAN	SELPLG
VCAN	ADAMTS1
VCAN	ITGB1
VCAN	ACAN
VLDLR	DAB1
VLDLR	AP2B1
VLDLR	CLU
VLDLR	CD36
VLDLR	LPL
VLDLR	APOE
VLDLR	CLTC
VLDLR	LRPAP1
YWHAH	PARD6A
YWHAH	NCOA2
YWHAH	PDPK1
YWHAH	PARD6B
YWHAH	IRS1
YWHAH	SRC
YWHAH	ABL1
YWHAH	MAP3K3
YWHAH	KCNK3
YWHAH	MARK3
YWHAH	ESR1
YWHAH	BRAF
YWHAH	RAF1
YWHAH	MED1
YWHAH	TSC2
YWHAH	CGN
YWHAH	CDC25B
YWHAH	NCOA1
YWHAH	ESR2
YWHAH	PARD3
YWHAH	NEK1
YWHAH	C1QBP
YWHAH	NR3C1
YWHAH	HSPA8
YWHAH	CDK16
YWHAH	SNRPE
YWHAH	YWHAB
YWHAH	HNRNPD
YWHAH	TSC1
YWHAH	CDKN1B
YWHAH	MAP3K5
YWHAH	JUN
YWHAH	YWHAG
YWHAH	ARRB2
YWHAH	RABEP1
YWHAH	SLC25A6
YWHAH	CREBBP
YWHAH	ARAF
YWHAH	MTOR
YWHAH	NCOA3
YWHAH	TP53BP2
YWHAH	FOXO3
YWHAH	PRKCI
YWHAH	ABLIM1
YWHAH	THRA
YWHAH	IGF1R
YWHAH	ARRB1
ZHX3	ZHX1
ZHX3	ZHX2
ZHX3	ATXN1
ZHX3	NFYA
ZNF8	SMAD4
ZNF8	SMAD2
ZNF8	SMAD3
ZNF8	SMAD5
ZNF8	SMAD1
ACAN	FBLN2
ACAN	MMP3
ACAN	MMP2
ACAN	MMP20
ACAN	TNR
ACAN	ADAMTS4
ACAN	LUM
ACAN	MMP14
ACAN	TNFAIP6
ACAN	FBLN1
ACAN	ADAMTS5
ACAN	MMP19
ACAN	MMP1
ACAN	HAPLN1
ACAN	VCAN
ACAN	MMP8
APC	CSNK2A1
APC	TCF7
APC	PRKACA
APC	MAPRE2
APC	PPP2CA
APC	TRIM28
APC	SEC23A
APC	MCM5
APC	DLG1
APC	TCF7L1
APC	KRT1
APC	GSK3A
APC	DVL1
APC	IQGAP1
APC	PPP2R5A
APC	AXIN2
APC	CSNK1E
APC	ZRANB1
APC	SFN
APC	AXIN1
APC	RP1
APC	TFAP2A
APC	GSK3B
APC	DLGAP1
APC	XPO1
APC	DVL2
APC	DLG3
APC	ARHGEF4
APC	KIFAP3
APC	DVL3
APC	UBA52
APC	BUB1
APC	SIAH1
APC	LEF1
APC	PTPN13
APC	CDC20
APC	CTBP1
APC	CAPZA2
APC	MUC1
APC	CTNNA1
APC	KRT9
APC	MAPRE1
ARID1A	SMARCD2
ARID2	SMARCC1
ARID2	SMARCC2
AXIN1	CSNK1E
AXIN1	FZD2
AXIN1	PPP2R5C
AXIN1	FZD1
AXIN1	CDH2
AXIN1	MAP3K4
AXIN1	CSNK1A1
AXIN1	APC2
AXIN1	DAB2
AXIN1	ANP32A
AXIN1	GSK3A
AXIN1	NCK2
AXIN1	LRP6
AXIN1	GAK
AXIN1	DIXDC1
AXIN1	WNT8B
AXIN1	PPP2R5B
AXIN1	RUNX2
AXIN1	DVL1
AXIN1	LRP5
AXIN1	CRMP1
AXIN1	SMYD2
AXIN1	WNT1
AXIN1	FZD5
AXIN1	WNT8A
AXIN1	WNT3A
AXIN1	MAP3K1
AXIN1	SENP2
AXIN1	PPP2CB
CASP8	STK24
CASP8	HIP1
CASP8	CTNNB1
CASP8	PYCARD
CASP8	DNAJC7
CASP8	TRIM28
CASP8	IQGAP1
CASP8	AR
CASP8	RYBP
CASP8	NOD1
CASP8	PIAS1
CASP8	PLEC
CASP8	CASP7
CASP8	SUMO1
CASP8	RB1
CASP8	CASP3
CASP8	TRAF1
CASP8	RIPK2
CASP8	MAP4K4
CASP8	FASLG
CASP8	EDA2R
CASP8	BFAR
CASP8	PARP2
CASP8	PICALM
CASP8	MAPK8
CASP8	DEDD
CASP8	TNFRSF10A
CASP8	RALBP1
CASP8	FADD
CASP8	KARS
CASP8	MAP3K14
CASP8	PSEN1
CASP8	DEDD2
CASP8	CDH3
CASP8	USO1
CASP8	TLR4
CASP8	ATN1
CASP8	CHUK
CASP8	PCYT1A
CASP8	CRADD
CASP8	SRF
CASP8	CASP8AP2
CASP8	PSEN2
CASP8	EIF2AK2
CASP8	IKBKB
CASP8	MSN
CASP8	IKBKG
CASP8	ACIN1
CASP8	CHD3
CASP8	FZR1
CASP8	RIPK1
CASP8	FYN
CASP8	GMEB1
CASP8	TLR3
CASP8	MAPT
CASP8	PEA15
CASP8	NOL3
CASP8	NR1H4
CASP8	TNFRSF10B
CASP8	CASP10
CASP8	TRAF2
CASP8	IFT57
CASP8	CFLAR
CASP8	VIM
CASP8	TRADD
CASP8	GRIA1
CASP8	HTT
CASP8	CDKN1B
CASP8	TNFSF10
CASP8	FAF1
CASP8	CDH15
CASP8	BCAP31
CASP8	CASP14
CASP8	SYF2
CASP8	FASN
CASP8	CDH1
CASP8	PRKN
CASP8	TFCP2
CCL2	ACKR1
CCL5	CNOT6
CCL5	SDC1
CCL5	PIGR
CCL5	ACKR1
CDK5RAP3	UFL1
CDK5RAP3	KHK
CDK5RAP3	AKR1B10
CDK5RAP3	ARL1
CDK5RAP3	DDRGK1
CTNNB1	NCOA2
CTNNB1	PSEN1
CTNNB1	MAGI1
CTNNB1	CDH7
CTNNB1	RNMT
CTNNB1	GPI
CTNNB1	PTPN6
CTNNB1	CDK5R1
CTNNB1	NFKB1
CTNNB1	PITX2
CTNNB1	CEBPA
CTNNB1	FYN
CTNNB1	FSCN2
CTNNB1	CBY1
CTNNB1	FOXO3
CTNNB1	CDH6
CTNNB1	NF2
CTNNB1	CDH18
CTNNB1	CDH19
CTNNB1	SMAD4
CTNNB1	IGF1R
CTNNB1	CTNNA3
CTNNB1	PTPN14
CTNNB1	SPN
CTNNB1	TCF3
CTNNB1	FHL2
CTNNB1	AXIN1
CTNNB1	IKBKB
CTNNB1	AXIN2
CTNNB1	SRY
CTNNB1	SMAD3
CTNNB1	CHD8
CTNNB1	EP300
CTNNB1	BCL9L
CTNNB1	BCL9
CTNNB1	IQGAP1
CTNNB1	CACYBP
CTNNB1	HNF1A
CTNNB1	SLC9A3R1
CTNNB1	MAPK12
CTNNB1	FER
CTNNB1	RXRA
CTNNB1	CDH24
CTNNB1	ANAPC2
CTNNB1	NR5A2
CTNNB1	DVL1
CTNNB1	SMARCA4
CTNNB1	SMAD2
CTNNB1	MAGI2
CTNNB1	AKR1B1
CTNNB1	GSK3B
CTNNB1	DLG5
CTNNB1	PTPN1
CTNNB1	MET
CTNNB1	RAB8B
CTNNB1	NLK
CTNNB1	AES
CTNNB1	CTNND2
CTNNB1	EGFR
CTNNB1	NEURL2
CTNNB1	SRC
CTNNB1	CDH15
CTNNB1	EZR
CTNNB1	PTPRZ1
CTNNB1	SMAD7
CTNNB1	PTPRF
CTNNB1	MAPK11
CTNNB1	MYO7A
CTNNB1	PTPRJ
CTNNB1	TCF7L1
CTNNB1	DLGAP5
CTNNB1	PCSK1
CTNNB1	RUVBL1
CTNNB1	SOX2
CTNNB1	APC
CTNNB1	LRP5
CTNNB1	FBXW11
CTNNB1	CCND1
CTNNB1	KDR
CTNNB1	SOX3
CTNNB1	GRIN2D
CTNNB1	BCL3
CTNNB1	AR
CTNNB1	SOX17
CTNNB1	GSK3A
CTNNB1	CDH17
CTNNB1	ERBB2
CTNNB1	GRIK2
CTNNB1	LRP6
CTNNB1	SOX9
CTNNB1	ZFYVE9
CTNNB1	HNF4A
CTNNB1	PTPRM
CTNNB1	MAPK14
CTNNB1	TLE1
CTNNB1	PIN1
CTNNB1	CDH2
CTNNB1	CSNK1D
CTNNB1	UBA1
CTNNB1	PKD1
CTNNB1	DLGAP1
CTNNB1	LEF1
CTNNB1	USP9X
CTNNB1	DSC3
CTNNB1	DVL2
CTNNB1	CTNNA2
CTNNB1	UBE2D2
CTNNB1	FLT1
CTNNB1	TCF7
CTNNB1	RAPGEF2
CTNNB1	CDH16
CTNNB1	GRIN1
CTNNB1	CDH5
CTNNB1	TERT
CTNNB1	PECAM1
CTNNB1	PKP2
CTNNB1	ESR1
CTNNB1	PIK3R1
CTNNB1	CDON
CTNNB1	PTPRU
CTNNB1	JUN
CTNNB1	PTN
CTNNB1	MUC1
CTNNB1	BOC
CTNNB1	CASP3
CTNNB1	TGFBR1
CTNNB1	CDH8
CTNNB1	SLC25A23
CTNNB1	FZR1
CTNNB1	JUP
CTNNB1	NR5A1
CTNNB1	APC2
CTNNB1	CTNNBIP1
CTNNB1	BTRC
CTNNB1	FOS
CTNNB1	CDH4
CTNNB1	PPM1A
CTNNB1	GNA13
CTNNB1	SOX1
CTNNB1	PSEN2
CTNNB1	TGFBR2
CTNNB1	TCF7L2
CTNNB1	CDH11
CTNNB1	WNT3A
CTNNB1	CUL1
CTNNB1	CDK5
CTNNB1	CTNND1
CTNNB1	CTNNA1
CTNNB1	PTPN13
CTNNB1	CDH1
CTNNB1	CSNK1A1
CTNNB1	CSNK2A1
CTNNB1	DVL3
CTNNB1	CDH9
CTNNB1	FOXO4
CTNNB1	AJAP1
CTNNB1	DLG1
CTNNB1	ACP1
CTNNB1	TBL1X
CTNNB1	PYGO1
CTNNB1	RUVBL2
CTNNB1	FOXO1
CTNNB1	ARHGAP32
CTNNB1	TFAP2A
CTNNB1	TRIP10
CTNNB1	FSCN1
CTNNB1	VCL
CTNNB1	CDH3
CTNNB1	PTPRK
CTNNB1	TCF4
CTNNB1	CA9
EGF	MAPKAPK2
EGF	ADAM12
EGF	FNBP1
EGF	PIK3R2
EGF	ERBB2
EGF	DUSP3
EGF	ERBB3
EGF	GRB2
EGF	LMNA
EGF	EGFR
EGF	RPS6KA5
EGF	CPM
EGF	NRG1
ELN	MFAP2
ELN	FBN2
ELN	FKBP10
ELN	FBLN1
ELN	SPINK1
ELN	FCN1
ELN	LOXL1
ELN	PRTN3
ELN	FBN1
ELN	LGALS3
ELN	DCN
ELN	LOX
ELN	FBLN2
ELN	IGHG1
ELN	ASS1
ELN	NID2
ELN	ELANE
F12	MMP14
F12	KRT1
F12	KLKB1
F12	CD93
F12	MMP12
F12	MMP13
GPC3	FGF13
GPC3	SHH
GPC3	WNT3A
GPC3	WNT7B
HACD3	TSPAN17
HACD3	RAB5IF
HACD3	ARPC1A
HACD3	PELO
HACD3	TMBIM4
HRAS	RAP1GDS1
HRAS	VAV1
HRAS	MAP2K1
HRAS	FNTB
HRAS	SRC
HRAS	CLSTN1
HRAS	TLR9
HRAS	CDC25A
HRAS	RASGRP1
HRAS	PIK3CA
HRAS	RASIP1
HRAS	RGL4
HRAS	EPHB2
HRAS	ERBIN
HRAS	CAV1
HRAS	RGL2
HRAS	DGKZ
HRAS	SOS2
HRAS	EPHB6
HRAS	IRAK2
HRAS	RAF1
HRAS	KSR2
HRAS	HNRNPC
HRAS	RASSF5
HRAS	RGL1
HRAS	ICMT
HRAS	TLR2
HRAS	FYN
HRAS	PIK3CG
HRAS	PIK3CD
HRAS	GPSM2
HRAS	NF1
HRAS	RASA3
HRAS	PRKCI
HRAS	FNTA
HRAS	TIAM1
HRAS	AFDN
HRAS	APBB1IP
HRAS	TTC1
HRAS	EPHB4
HRAS	ITSN1
HRAS	RARRES3
HRAS	PDE6D
HRAS	RAPGEF1
HRAS	PIK3R1
HRAS	IRAK1
HRAS	LGALS1
HRAS	MAPK1
HRAS	SYNGAP1
HRAS	TP73
HRAS	INSR
HRAS	ARHGEF1
HRAS	RALGDS
HRAS	FN1
HRAS	RALA
HRAS	RASSF2
HRAS	IQGAP1
HRAS	RASSF1
HRAS	CNKSR1
HRAS	GRIN2D
HRAS	IL3
HRAS	RABAC1
HRAS	IKZF3
HRAS	PLCE1
HRAS	EPHB3
HRAS	MAPK3
HRAS	SHOC2
HRAS	SOS1
HRAS	RASA2
HRAS	MAP2K2
HRAS	RIT2
HRAS	PDGFB
HRAS	RHOD
HRAS	RHEB
HRAS	KSR1
HRAS	BRAP
HRAS	YWHAB
HRAS	MAPK8
HRAS	GRIN1
HRAS	ZBTB12
HRAS	RASA1
HRAS	RASAL1
HRAS	AGTR1
HRAS	RASGRP4
HRAS	CSK
HRAS	RIN1
HRAS	RASGRF1
IGF1R	PTPN1
IGF1R	IGF1
IGF1R	NCK2
IGF1R	CSK
IGF1R	SOCS3
IGF1R	GIPC1
IGF1R	INSR
IGF1R	PXN
IGF1R	IRS4
IGF1R	EHD1
IGF1R	PIK3R1
IGF1R	PIK3R3
IGF1R	PRKCD
IGF1R	STAT3
IGF1R	DOK5
IGF1R	PXDN
IGF1R	SHC1
IGF1R	SOS1
IGF1R	YWHAG
IGF1R	MDM2
IGF1R	PTK2
IGF1R	IRS1
IGF1R	JAK2
IGF1R	WISP2
IGF1R	ARHGEF12
IGF1R	PIK3R2
IGF1R	JAK1
IGF1R	SRC
IGF1R	YWHAB
IGF1R	IRS2
IGF1R	GRB10
IGF1R	SOCS1
IGF1R	NEDD4
IGF1R	GNAI2
IGF1R	YWHAH
IGF1R	NAMPT
IGF1R	GNAI1
IGF1R	SOCS2
IGF1R	ITGB1
IGF1R	RASA1
IGF1R	VAV3
IGF1R	SYNGAP1
IGF1R	YWHAZ
IGF1R	SNAP29
IGF1R	DOK4
IGF1R	MAP3K5
IGF1R	ESR1
IGF1R	PRKD1
IGF1R	KRT27
IGHG1	FGA
IGHG1	QTRT2
IGHG1	OR8D2
IGHG1	SAA4
IGHG1	APOC1
IGHG1	RTKN2
IGHG1	AOAH
IGHG1	SLC48A1
IGHG1	LTBP4
IGHG1	TGM4
IGHG1	KRT1
IGHG1	CTR9
IGHG1	IGLL1
IGHG1	PAPPA
IGHG1	SLC6A9
IGHG1	RFX7
IGHG1	SETDB2
IGHG1	TNS3
IGHG1	CDH12
IGHG1	FASN
IGHG1	PNMA2
IGHG1	SCAF1
IGHG1	KRT9
IGHG1	SWAP70
IGHG1	NUP214
IGHG1	ARMC2
IGHG1	KRT7
IGHG1	CP
IGHG1	KRT10
IGHG1	CD40LG
LDLR	PCSK9
LDLR	CD36
LDLR	DAB2
LDLR	LDLRAP1
LDLR	APOE
LDLR	AP1M2
LDLR	OMA1
LDLR	LRPAP1
LDLR	DAB1
LDLR	PF4
LDLR	MDH2
LDLR	APOB
LRP2	MAGI1
LRP2	PIP5K1C
LRP2	TG
LRP2	NOS1AP
LRP2	LRPAP1
LRP2	SHBG
LRP2	LRP2BP
LRP2	MDK
LRP2	PLAU
LRP2	SYNJ2BP
LRP2	SCN3A
LRP2	ANKRA2
LRP2	APOB
LRP2	SLC9A3
LRP2	SCGB1A1
LRP2	ANKS1B
LRP2	ANAPC10
LRP2	LCP1
LRP2	OMA1
LRP2	CUBN
LRP2	SERPINE1
LRP2	DNAJC6
LRP2	LDLRAP1
LRP2	MAPK8IP2
LRP2	RBP1
LRP2	ITGB1BP1
LRP8	SCN3A
LRP8	ITGB1BP1
LRP8	ANAPC10
LRP8	SYNJ2BP
LRP8	RELN
LRP8	MAPK8IP2
LRP8	NOS1AP
LRP8	OMA1
MAPK8IP2	DUSP16
MAPK8IP2	FGF12
MAPK8IP2	FGF13
MAPK8IP2	MAP3K12
MET	NCK2
MET	ITGB4
MET	CASP3
MET	SNX2
MET	GLMN
MET	RANBP9
MET	PIK3R1
MET	FZR1
MET	ARHGAP35
MET	SEMA4D
MET	SNAPIN
MET	SMC1A
MET	RND1
MET	YWHAZ
MET	INPPL1
MET	PLCG1
MET	PTPRB
MET	DNAJA3
MET	CNR1
MET	PAK4
MET	PTPRJ
MET	PCBD2
MET	SH3KBP1
MET	GAB2
MET	SPSB1
MET	RANBP10
MET	VAV1
MET	MUC20
MFAP5	MFAP3
MFAP5	MEGF6
NRAS	RASGRP2
NRAS	RAP1GDS1
NRAS	ARHGAP4
NRAS	RASA2
NRAS	BRAP
NRAS	PLCE1
NRAS	RASSF5
NRAS	APBB1IP
NRAS	YWHAB
NRAS	SHOC2
NRAS	MAPK1
NRAS	NF1
NRAS	RASAL1
NRAS	SMURF2
NRAS	IQGAP1
NRAS	AFDN
NRAS	RALGDS
NRAS	RASA3
NRAS	PIK3CA
NRAS	PIK3R1
NRAS	RACGAP1
NRAS	KSR1
NRAS	KSR2
NRAS	ACVR1
NRAS	FN1
PBX2	UBE2E1
PBX2	MLKL
PBX2	HOXB8
PBX2	HOXA10
PBX2	SMYD3
PBX2	PKNOX1
PBX2	CCDC88B
PBX2	HOXA9
PBX2	RPS6KC1
PBX2	ZDHHC7
PBX2	HOXB1
PBX2	CENPBD1
PBX2	MTREX
PBX2	BAIAP2
PBX2	DCTN3
PBX2	ELP1
PBX2	NUP62
PBX2	MCRS1
PBX2	RPL4
PBX2	COPS6
PF4	PROC
PF4	CCL5
PF4	SDC2
PF4	PLPPR4
PF4	FGF13
PF4	SRGN
PIK3CA	ARHGEF1
PIK3CA	DGKZ
PIK3CA	PIK3R3
PIK3CA	GABRB1
PIK3CA	GNA14
PIK3CA	IRS2
PIK3CA	YES1
PIK3CA	ADAP1
