ACTR3	MYO9B
ACTR3	UBC
ACTR3	RPS27A
ACTR3	WASF1
ACTR3	ARPC1B
ACTR3	RAB5A
ACTR3	MYO1C
ACTR3	CYFIP2
ACTR3	NCKAP1
ACTR3	CD44
ACTR3	EPHB6
ACTR3	ARPC2
ACTR3	HSPA8
ACTR3	HCLS1
ACTR3	CLTC
ACTR3	FNBP1
ACTR3	GRB2
ACTR3	CDH1
ACTR3	CDC42
ACTR3	CLTB
ACTR3	EPHB4
ACTR3	ITSN2
ACTR3	EPS15
ACTR3	CFTR
ACTR3	ARPC5
ACTR3	ACTR2
ACTR3	EPHB1
ACTR3	UBA52
ACTR3B	ACTR2
ACTR3B	CDKN2A
ACTR3B	ARPC1B
ACTR3B	ARPC2
ACTR3B	RSRC1
ACTR3B	ARPC5
ACTR3B	CDK4
ACTR3B	ARPC5L
ACTR3B	MYH1
ACTR5	EP400
ACTR5	RUVBL2
ACTR5	ACTL6A
ACTR5	MCRS1
ACTR5	CASTOR3
ACTR5	INO80B
ACTR5	INO80D
ACTR5	INO80E
ACTR5	RUVBL1
ACTR5	ACTR8
ACTR6	VPS72
ACTR6	RUVBL1
ACTR6	FSCN1
ACTR6	ACTL6A
ACTR6	RUVBL2
ACTR6	PSMA1
ACTR6	ZNHIT1
ACTR6	EEF1B2
ACTR6	EIF3M
ACTR8	MCRS1
ACTR8	UCHL5
ACTR8	TRRAP
ACTR8	YY1
ACTR8	BMPR2
ACTR8	EP400
ACTR8	RUVBL1
ACTR8	ACTL6A
ACTR8	RUVBL2
ACTR8	INO80B
ACVR1	SQSTM1
ACVR1	IGSF1
ACVR1	RRAS2
ACVR1	VDR
ACVR1	SMAD5
ACVR1	CHN1
ACVR1	SMAD1
ACVR1	STAT1
ACVR1	UBA52
ACVR1	TGFBR1
ACVR1	BMP2
ACVR1	USP21
ACVR1	NRAS
ACVR1	AP2B1
ACVR1	RXRA
ACVR1	INHBA
ACVR1	FKBP1A
ACVR1	IKBKB
ACVR1	ACVR2A
ACVR1	CREBBP
ACVR1	PAK1
ACVR1	THRB
ACVR1	SMAD9
ACVR1	BMPR2
ACVR1	RPS27A
ACVR1B	ACVR2A
ACVR1B	SMAD2
ACVR1B	BMPR2
ACVR1B	IGSF1
ACVR1B	XIAP
ACVR1B	INHBA
ACVR1B	SMAD7
ACVR1B	ACVR1
ACVR1B	SMAD4
ACVR1C	ACVR2A
ACVR1C	ACVR2B
ACVR1C	INHBA
ACVR1C	INHBB
ACVR2A	DAXX
ACVR2B	BMPR1A
ACVR2B	BMPR1B
ACVR2B	SMAD1
ACVR2B	SMAD5
ACVR2B	IGSF1
ACVR2B	ACVR1B
ACVR2B	SMAD7
ACVR2B	INHBA
ACVR2B	SMAD9
ACVR2B	BMP2
ACVRL1	ACVR2A
ACVRL1	INHBA
ACVRL1	XIAP
ACVRL1	TGFB1
ACVRL1	TGFBR1
ACVRL1	TGFB3
ACVRL1	BMPR2
