prestige	stresscent	gilschmidt
1738	50	504134	0.297969521019663
1739	5	121206	0.271677622593021
1740	1	0	1
1741	21	128471	0.273429408379958
1742	3	2275	0.226692647033183
1743	1	0	0.199750512923363
1744	7	37421	0.272783386514602
1745	8	27625	0.274452930201722
1746	5	98321	0.268002592224471
1747	6	83108	0.276184082811673
1748	21	856359	0.289352408850741
1749	25	266566	0.294540926342441
1750	10	305596	0.272558310520579
1751	22	369507	0.293386340255598
1752	18	411413	0.315054953996713
1753	6	31879	0.263387735174611
1754	2	10542	0.266921529993648
1755	23	235420	0.268604877566777
1756	6	42998	0.289627033530345
1757	18	152636	0.271645074482843
1758	3	8426	0.24167785507953
1759	16	313008	0.258199508291032
1760	2	61	0.233116684974976
1761	14	617505	0.256003818590767
1762	15	109100	0.267534131924448
1763	46	227232	0.285440823467167
1764	4	7063	0.256639233259502
1765	4	16865	0.2716369374553
1766	12	441808	0.287352443723716
1767	3	1646	0.277737237944102
1768	24	488497	0.311270073756324
1769	16	169625	0.291228284307722
1770	10	438007	0.265080963424045
1771	20	557065	0.285402753802588
1772	21	463272	0.306397447298197
1773	15	28360	0.250681476056784
1774	6	23737	0.280425799027026
1775	9	101010	0.275614636187668
1776	1	0	0.2237835143822
1777	3	73102	0.266064817236533
1778	19	329497	0.268112442096313
1779	7	110373	0.268964941035593
1780	7	33587	0.278097446716981
1781	4	100616	0.260853487006893
1782	13	138410	0.261813220344876
1783	24	699643	0.30310456661608
1784	3	25481	0.248666399307177
1785	14	69996	0.264665829715244
1786	10	120642	0.273021975786515
1787	62	1695018	0.320992949846827
1788	5	88466	0.257039836561973
1789	7	30871	0.27620471598866
1790	4	6472	0.238933787844436
1791	28	226980	0.28393518276343
1792	20	1381759	0.293896066909593
1793	7	44801	0.267272875218664
1794	70	449187	0.304033640796708
1795	3	5370	0.238502815992741
1796	1	0	0.220269626219833
1797	17	225372	0.306918217061001
1798	31	400601	0.316087194062272
1799	3	14906	0.263924778992503
1800	19	76467	0.25207871992931
1801	12	113282	0.279717877630712
1802	25	443421	0.298465298483585
1803	2	20336	0.257844966376622
1804	5	22632	0.234901164176151
1805	35	912687	0.297331926789978
1806	1	0	0.220985103427438
1807	2	0	0.24993243361056
1808	2	682	0.229697389757806
1809	3	5510	0.240722916775635
1810	1	0	0.259715029671073
1811	2	108	0.234244099201987
1812	18	16818	0.282694576671122
1813	8	130484	0.259560571451804
1814	50	127555	0.2959253834574
1815	8	37003	0.281515870109774
1816	17	480924	0.29644673443646
1817	28	4156	0.236474661877442
1818	1	0	0.233742218967408
1819	51	3140598	0.336074930399333
1820	35	745710	0.316215061637963
1821	1	0	1
1822	4	1153	0.243675495341541
1823	2	1386	0.234702388217579
1824	2	1397	0.229264383649225
1825	40	1594825	0.324572660749865
1826	150	8099847	0.348556840043454
1827	2	4635	0.199796622746112
1828	16	401187	0.264141282046794
1829	6	73743	0.262045852150193
1830	19	193030	0.295904750280415
1831	12	224401	0.298896560943409
1832	25	841900	0.31697674553769
1833	15	183400	0.286827896055264
1834	16	360733	0.278363207848726
1835	29	139644	0.259557084154285
1836	11	34709	0.264933189191685
1837	9	159343	0.257969927871047
1838	5	3640	0.247549446972722
1839	10	56162	0.226401167082238
1840	4	9797	0.246917955513695
1841	2	1	0.174210223981375
1842	4	6041	0.245823815917175
1843	53	915361	0.316991857160273
1844	5	59973	0.231464141863262
1845	14	255868	0.280746339790629
1846	10	160841	0.267923692118109
1847	24	170998	0.261404770622989
1848	17	58539	0.244349415587047
1849	4	46920	0.255696645800986
1850	1	0	0.239605673833055
1851	38	793528	0.308422404724101
1852	4	1218	0.214606061310575
1853	10	124257	0.296409536596261
1854	6	20291	0.26874073686595
1855	11	144729	0.277380952380934
1856	20	654554	0.297322917938059
1857	4	1355	0.236552544855359
1858	49	563888	0.286574776377027
1859	22	593137	0.282283366172034
1860	12	133314	0.277508093436307
1861	2	3289	0.248740213771325
1862	4	10129	0.234242646161354
1863	16	266820	0.291066996797477
1864	18	342516	0.299813720190852
1865	21	816955	0.305642737993506
1866	2	0	0.192920398559383
1867	13	267456	0.292025422398891
1868	3	47580	0.274013676018418
1869	17	194152	0.28129965766361
1870	4	22936	0.216351550588103
1871	11	281382	0.254189842664747
1872	20	41689	0.286892120451235
1873	23	660191	0.290692257618273
1874	9	23229	0.243016250806427
1875	4	43480	0.277255845582447
1876	8	143096	0.286305963859954
1877	18	197655	0.294182025306132
1878	7	116073	0.274400911347067
1879	34	784371	0.310175934159804
1880	3	960	0.240212899513513
1881	8	132001	0.289681813162203
1882	1	0	0.232429977971901
1883	2	97	0.212972456161774
1884	77	870984	0.301903483228981
1885	13	447146	0.291413692292472
1886	7	19455	0.271241274490981
1887	4	6078	0.243813243593532
1888	27	319240	0.287226901013039
1889	1	0	0.204738220199606
1890	45	524314	0.308854539008304
1891	1	0	0.230432773622081
1892	15	7196	0.24531655943226
1893	1	0	0.214812925862002
1894	11	77126	0.260110983243519
1895	26	646871	0.305651165629176
1896	43	1000680	0.311118085706131
1897	1	0	0.222363748379864
1898	16	205429	0.281522263488556
1899	14	79379	0.276585993850715
