gene	spl	degree	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	triangles	pagerank	load_centrality	harmonic_centrality	markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	lobby	mnc	dmnc	geokpath	laplacian	leverage	lincent	semilocal	topocoefficient	clusterrank	ego_size	coreness	hub_score	constraint	eccentricity	local_scan	subgraph_centrality	transitivity	zi	pc	gc	prestige	stresscent	gilschmidt
ABCA1	3.62875460049863	16	0.0019	19.3125	38911.772729	0.000228	0.016667	2	0.000249	85489.003347	2304.002381	4.2170196407566e-05	2304.00238095238	710.609375	2.24324324324324	325	9	2	0	3082	890	0.142012520904965	2196.14752167512	132665	0.0677463503649635	5.41666666666667	17	6	0.00132943138394571	0.0651236077907258	8	18	40505430843541608	0.0166666666666667	-0.128851476622915	0.84375	0.843785520876253	16	338172	0.281215962523159
ABCA2	5.00059361272706	2	0.000237	8	1645.629608	1e-06	0	0	6.5e-05	5148.942481	1636.631746	1.26593410888705e-05	1636.63174603175	272.0703125	0	18	2	1	0	118	38	-0.466666666666667	1593.66688034188	2018	0.5	0	3	2	7.95459058173669e-06	0.5	9	2	1461069764416.12	0	-0.577350269189626	0.5	0.500509520649457	2	16326	0.199759763948726
ABCA7	4.66223435830464	1	0.000119	31	0	5e-06	0	0	3.5e-05	0	1761.154762	1.00185496067557e-05	1761.15476190476	344.5703125	0	32	1	1	0	284	64	-0.9375	1709.32643239114	6118	1	NA	2	1	2.69301929740086e-05	1	8	1	16595941547588.7	NA	-0.264130812838746	0	8.00549878504642e-05	1	0	0.214958472098724
ABCB4	4.57105544342871	1	0.000119	12	0	1.5e-05	0	0	3.1e-05	0	1793.342857	9.62168076623918e-06	1793.34285714286	363.0859375	0	13	1	1	0	310	26	-0.846153846153846	1743.42239364189	5973	1	NA	2	1	8.76985063314934e-05	1	8	1	175984325010701	NA	-0.569208985595448	0	3.39695223727787e-07	1	0	0.218887203361762
ABCB6	6.26914401044758	1	0.000119	3	0	0	0	0	5e-05	0	1291.963095	5.93559954068122e-06	1291.9630952381	110.623046875	0	4	1	1	0	6	8	-0.5	1271.19115614052	52	1	NA	2	1	4.42014271604708e-08	1	10	1	45355246.9600103	NA	-0.577350269189626	0	0.000124446842542425	1	0	0.157691089373624
ABCC2	4.4404606434762	2	0.000237	17.5	0	9e-06	1	1	4.4e-05	0	1853.175	1.65249493813275e-05	1853.175	401.51171875	0	37	2	2	0	487	76	-0.759259259259259	1794.69678092081	10949	0.546875	37	3	2	5.28481567537259e-05	0.5729	8	3	64104745480644.7	1	-0.552770798392567	0.5	0.500084607484894	2	0	0.226190040278288
ABCC9	4.59123827614864	3	0.000356	9.333333	16382	7e-06	0.333333	1	1e-04	32764	1789.692857	1.00229888289995e-05	1789.69285714286	361.671875	1	31	2	2	0	333	68	-0.125925925925926	1735.75840401324	7859	0.36	10.3333333333333	4	2	4.07731125569838e-05	0.611111111111111	8	4	38245124246623.8	0.333333333333333	0	0.444444444444444	0.445006209402126	3	187038	0.218441701103737
ABCD1	6.63920218449484	1	0.000119	2	0	0	0	0	6.4e-05	0	1218.169913	4.94770658682483e-06	1218.16991341991	85.6943359375	0	3	1	1	0	11	6	-0.333333333333333	1200.33705876042	30	1	NA	2	1	1.06396470994568e-08	1	11	1	2594700.34564832	NA	0	0	0.000246140530973604	1	0	0.148684232078593
ABCD2	5.66662709248486	2	0.000237	5.5	8192	0	0	0	9.6e-05	16384	1435.626984	8.03641822172013e-06	1435.62698412698	169.888671875	0	13	2	1	0	28	28	-0.166666666666667	1406.35342551854	316	0.5	0	3	1	5.85360853265748e-07	0.5	10	2	7850455621.70775	0	0	0.5	0.500912312684706	2	67384	0.175226044687786
ABCD3	4.12133444141042	9	0.001069	12.111111	23747.56749	7.1e-05	0	0	0.000148	53480.221914	2013.440476	3.53540744735937e-05	2013.44047619048	507.4296875	1	118	7	1	4	1190	308	-0.0404504851873273	1933.66506308694	36856	0.132275132275132	0	10	5	0.000415383937756168	0.111111111111111	8	9	3969426501872750	0	0.0310485943391336	0.518518518518519	0.518545396459873	9	195318	0.245751309189598
ABCD4	5.29656891843761	3	0.000356	2	8283.377878	0	0	0	0.000116	16891.007265	1539.749603	1.10138615221611e-05	1539.7496031746	219.74609375	0	9	2	1	0	45	24	0.233333333333333	1504.61186201331	750	0.333333333333333	0	4	2	2.43182735796738e-06	0.333333333333333	9	3	136901679080.239	0	1.15470053837925	0.444444444444444	0.444570826211952	3	84206	0.187934773974707
ABCF3	4.28149115517037	7	0.000831	6.285714	8421.807181	8.2e-05	0	0	0.000129	20514.170969	1929.720238	2.9670946680157e-05	1929.72023809524	451.16796875	0	51	5	1	2	791	144	0.157399910031489	1861.33291739456	14319	0.142857142857143	0	8	4	0.000476641778134605	0.142857142857143	8	7	5195992349891851	0	-0.0392861352108466	0.693877551020408	0.693930506647241	7	68588	0.235532800939241
ABCG5	4.3330167398789	2	0.000237	35	8192	2.9e-05	0	0	7e-05	16384	1906.132143	1.03180154748781e-05	1906.13214285714	436.42578125	0	72	2	1	0	679	146	-0.305164319248826	1839.19908485629	29836	0.5	0	3	1	0.000167920142728988	0.5	8	2	644956790450585	0	0	0.5	0.501975527508928	2	103586	0.232653746229358
ABCG8	5.30559183188888	1	0.000119	2	0	1e-06	0	0	4.8e-05	0	1537.167063	5.72743713350875e-06	1537.16706349206	218.962890625	4.29361996028663	3	1	1	0	70	6	-0.333333333333333	1502.05305556177	681	1	NA	2	1	3.05215333346752e-06	1	9	1	213086962964.262	NA	0	0	0.000246140530973604	1	0	0.187619561026758
ABHD16A	4.05105069452689	9	0.001069	12.666667	30614.038579	0.000626	0	0	0.000203	62591.379582	2050.295238	2.84734070990057e-05	2050.29523809524	532.4140625	2.2	123	3	1	4	1353	318	0.394644530727005	1967.21320555653	67008	0.111111111111111	0	10	3	0.0035887564907886	0.111111111111111	8	9	319422919666759936	0	2.26778683805536	0.518518518518519	0.518646397097393	9	330566	0.250249632380706
ABHD5	5.17072302030155	1	0.000119	2	0	1e-06	0	0	4.9e-05	0	1575.195238	5.71885109372851e-06	1575.19523809524	237.185546875	0	3	1	1	0	62	6	-0.333333333333333	1541.23135030882	858	1	NA	2	1	3.77474530008995e-06	1	9	1	326269978091.027	NA	0	0	0.000246140530973604	1	0	0.192261105589582
ABI1	3.92662946693577	7	0.000831	16	1457.882641	0.000223	0.047619	1	9.8e-05	3679.821176	2112.761905	3.30690991913119e-05	2112.7619047619	575.296875	0	119	7	2	0	1809	280	-0.263846447669977	2029.54734837032	75446	0.166149068322981	5.66666666666667	8	5	0.00130577463671278	0.145458950936258	7	8	38992590238751904	0.0476190476190476	0.0179343597012623	0.448979591836735	0.448982758616263	7	18127	0.25787402718928
ABI2	3.72658197791761	15	0.001781	22.466667	23012.197266	0.000233	0.038095	4	0.000196	49550.09291	2246.009524	4.22031808767312e-05	2246.00952380952	669.3125	1	353	10	3	0.159664183576095	2556	916	0.0162581767534386	2138.49593806748	155783	0.0788968824940048	13.447619047619	16	8	0.00136055562937471	0.0728194702336854	8	19	42387189803984880	0.0380952380952381	0.898649377646327	0.444444444444444	0.444483158925005	15	222111	0.274137620384399
ABI3	3.89861094621869	7	0.000831	20.285714	3837.095058	0.001318	0	0	9.6e-05	8642.848476	2130.716667	3.29095216364746e-05	2130.71666666667	587.9609375	0	149	6	1	2	1896	340	-0.302642885150625	2044.1332906998	87645	0.160714285714286	0	8	5	0.007718266682734	0.142857142857143	8	7	1362798132653668864	0	-0.128851476622915	0.612244897959184	0.612247904600056	7	42385	0.260065503071711
ABL1	2.97221892437374	148	0.017573	20.662162	881939.32318	0.00607	0.01526	166	0.00214	1712957.113292	2914.345238	5.39925547045724e-05	2914.34523809524	1146.1953125	0	3207	31	88	0.167496466099244	6117	28170	0.797549020465782	2681.25620131815	2017093	0.0117498589076315	48.9393270821842	149	13	0.035415256531693	0.00932635866765541	7	314	28727275182739202048	0.015260158117301	4.90756496586165	0.783601168736304	-Inf	148	9554058	0.355711612119503
ABL2	3.57948474415291	12	0.001425	53.916667	8542.936135	0.000407	0.151515	10	0.000168	19354.975845	2347.645238	3.97585941241641e-05	2347.64523809524	743.328125	0	659	9	10	0.106898104475112	3257	1450	-0.280840520421655	2226.37641791045	355564	0.120515695067265	99.8484848484848	13	8	0.00237267032200717	0.111943515494444	7	22	128971398868148208	0.151515151515152	-0.111808242135106	0.611111111111111	0.611206275643321	12	112952	0.286542809483104
ABLIM1	3.5626261427045	7	0.000831	73.428571	8854.65976	0.001232	0.095238	2	9.9e-05	17970.486903	2355.080952	3.37199976497347e-05	2355.08095238095	749.09375	0	521	7	3	0.159664183576095	3336	1084	-0.574855744878477	2236.91179018928	279413	0.164092664092664	49.6190476190476	8	6	0.00718700246698618	0.145112039608743	7	9	1182928142955470336	0.0952380952380952	-0.128851476622915	0.489795918367347	0.489841041198595	7	105353	0.287450378662369
ABR	3.89504926985635	2	0.000237	81	530.946748	0.000112	0	0	4e-05	1084.349259	2136.146429	1.71276266865769e-05	2136.14642857143	593.06640625	0	164	2	1	0	1954	330	-0.861666666666667	2046.00246891002	79433	0.50314465408805	0	3	2	0.000651640508789228	0.5	8	2	9729672252558634	0	-0.585334016474423	0.5	0.500009081590733	2	17597	0.260728234904343
ABRAXAS2	4.37195773477383	1	0.000119	35	0	3.9e-05	0	0	3e-05	0	1885.961905	1.0140294652688e-05	1885.9619047619	423.3671875	0	36	1	1	0	647	72	-0.944444444444444	1822.81735234216	15175	1	NA	2	1	0.00022329780484875	1	8	1	1184103157189203	NA	-0.520166538641961	0	6.98527219289424e-07	1	0	0.230191859485157
ABT1	4.26427638608572	1	0.000119	78	0	9.2e-05	0	0	2.6e-05	0	1944.408333	1.03501609402319e-05	1944.35833333333	463.31640625	0	79	1	1	0	971	158	-0.974683544303797	1868.84706832229	43553	1	NA	2	1	0.000531294849796044	1	8	1	6809424174760185	NA	-0.805029180247805	0	3.50338500165748e-06	1	0	0.237319459701365
ACACA	3.49661640745578	8	0.00095	63.375	19581.664041	0.000735	0.035714	1	0.000118	39433.495755	2397.907143	3.39145187101424e-05	2397.90714285714	780.375	0	515	7	2	0.314253343630457	3792	1086	-0.489067974056483	2279.14060165693	246472	0.142006802721088	18.3928571428571	9	6	0.00427838973678028	0.1533203125	7	9	420318811297927040	0.0357142857142857	-0.299680485449523	0.71875	0.718760810829664	8	196672	0.292677547034904
ACACB	4.44758399620088	2	0.000237	6	0	1.4e-05	1	1	4.8e-05	0	1847.141667	1.43086293995631e-05	1847.14166666667	397.14453125	0	14	2	2	0	470	30	-0.466666666666667	1791.82235331803	9018	0.6	14	3	2	8.11199207072451e-05	0.70703125	8	3	151258455204428	1	-0.577350269189626	0.5	0.500103025998294	2	0	0.225453639285571
ACAD9	4.86097589932328	3	0.000356	22	7725.683551	5e-06	0.333333	1	5.2e-05	14773.97347	1689.612698	1.8160469009315e-05	1689.6126984127	302.923828125	0	69	3	2	0	171	144	-0.485714285714286	1639.44043083236	7169	0.585585585585586	23	4	2	3.16182815547363e-05	0.347439236111111	9	4	22960250302515.8	0.333333333333333	-0.577350269189626	0.444444444444444	0.445239874719212	3	97699	0.20622637598106
ACADM	4.46420515255847	2	0.000237	12.5	47.233916	4.3e-05	0	0	4.7e-05	191.820623	1844.02381	1.4837873573236e-05	1844.02380952381	396.1328125	1	27	2	1	0	470	56	-0.516666666666667	1785.15102920057	10972	0.5	0	3	2	0.000250579094130579	0.5	8	2	1436588714994210	0	-0.577350269189626	0.5	0.500755439868756	2	453	0.225073087943834
ACADVL	4.13629348213226	1	0.000119	56	0	5.1e-05	0	0	2.8e-05	0	1994.475	1.02957954631e-05	1994.475	493.82421875	0	57	1	1	0	1044	114	-0.964912280701754	1926.67190011481	33768	1	NA	2	1	0.000298901619547494	1	8	1	2054553521261126	NA	-0.569208985595448	0	2.47642279260774e-06	1	0	0.24343647015744
ACAN	5.46598599073964	1	0.000119	8	0	0	0	0	3.4e-05	0	1492.494048	9.12120879474249e-06	1491.17857142857	196.48046875	0	9	1	1	0	54	18	-0.777777777777778	1457.97673761946	699	1	NA	2	1	7.56103861373034e-07	1	10	1	13103799413.7318	NA	0	0	-Inf	1	0	0.182006416627448
ACAP1	3.82227234951917	4	0.000475	54.5	3803.528639	0.000238	0	0	6.7e-05	7907.884521	2184.472619	2.45934816792544e-05	2184.47261904762	627.62109375	0	222	4	1	0	2293	456	-0.548172666593719	2084.95881348035	110568	0.259708737864078	0	5	3	0.00138905667730268	0.25	8	4	44153344268445344	0	-0.370006434950477	0.625	0.628087432010122	4	40452	0.266626708049246
ACAP3	0.000118722545411374	1	0.000119	1	0	0	0	0	0.000119	0	1	1.52913150917951e-06	1	1.5	0	2	1	1	0	1	4	0	1	1	NA	NA	2	1	0	1	1	1	1.54308063481524	NA	0	0	0	1	0	1
ACAT1	4.02766235308085	1	0.000119	132	0	0.000293	0	0	2.8e-05	0	2062.72381	1.03917511518117e-05	2062.72380952381	542.328125	1	133	1	1	0	1498	266	-0.984962406015038	1978.63666912307	57149	1	NA	2	1	0.00171315242131908	1	8	1	67182230351546752	NA	-0.520166538641961	0	4.62135167578204e-06	1	0	0.251766606801378
ACAT2	3.68704737029562	4	0.000475	73.75	1145.831193	0.00056	0.333333	2	5.8e-05	2134.002867	2264.497619	2.65072786538026e-05	2264.49761904762	683.9296875	2.75	299	4	3	0	2836	610	-0.845475304126261	2161.42610123648	146738	0.273234200743494	99.6666666666667	5	4	0.00326485063338354	0.260858966520492	8	6	244105548933887648	0.333333333333333	-0.299680485449523	0.375	0.375010615936735	4	20754	0.276394192487181
ACBD3	4.81633622224861	1	0.000119	11	0	5e-06	0	0	2.9e-05	0	1700.338492	9.60862880371205e-06	1700.33849206349	307.98828125	0	12	1	1	0	182	24	-0.833333333333333	1654.63540228752	3414	1	NA	2	1	2.82892098119053e-05	1	9	1	18301513737261.2	NA	-0.569208985595448	0	1.93269844350752e-07	1	0	0.207535517156549
ACE2	5.49602279472872	2	0.000237	5	154.257096	0	0	0	6.3e-05	525.443484	1484.189286	1.34433159230643e-05	1484.18928571429	193.498046875	0	12	2	1	0	36	26	-0.416666666666667	1450.00861901367	748	0.5	0	3	2	7.58187063760227e-07	0.5	9	2	13305327256.4358	0	-0.5	0.5	0.500107177105781	2	1079	0.181153336471913
ACHE	5.46646088092129	1	0.000119	2	0	0	0	0	5e-05	0	1489.897222	5.59820838234746e-06	1489.89722222222	195.369140625	0	3	1	1	0	22	6	-0.333333333333333	1457.85007818608	485	1	NA	2	1	1.75286448277399e-06	1	9	1	70399819271.0814	NA	0	0	0.000246140530973604	1	0	0.181850021020668
ACIN1	3.80814436661522	6	0.000712	34	11663.059595	0.000164	0	0	9.8e-05	24932.065609	2189.221429	3.01769735869166e-05	2189.22142857143	629.9609375	0	210	6	1	1	2285	450	-0.350925702649841	2092.69388327722	102495	0.169230769230769	0	7	4	0.000949659970653128	0.166666666666667	8	6	20951373862573988	0	-0.550005892951851	0.722222222222222	0.722758501825304	6	95527	0.267206325957682
ACKR1	5.00225572836282	8	0.00095	5.375	8600.077162	3e-06	0.035714	1	0.000148	17398.209747	1641.049603	3.07959312425779e-05	1640.9996031746	275.076171875	2.11111111111111	51	5	2	0	147	158	0.241219891219891	1593.13734751032	7197	0.243421052631579	1.82142857142857	9	5	1.50222921726397e-05	0.13330078125	9	9	5167514610882.33	0.0357142857142857	2.8347335475692	0.21875	0.234520852059234	8	211593	0.200292884556911
ACKR2	5.2348331948237	3	0.000356	3	16383	1e-06	0	0	0.000131	32766	1559.704365	8.98224494225102e-06	1559.70436507937	230.419921875	0	12	2	1	0	59	30	0.2	1522.35613362665	1377	0.333333333333333	0	4	1	3.34206977499538e-06	0.333333333333333	9	3	255876393020.114	0	1.15470053837925	0.444444444444444	0.444624687118836	3	173177	0.190370360683456
ACKR4	4.61617001068503	3	0.000356	8.666667	1163.03541	1.4e-05	0	0	6.1e-05	3090.977957	1780.861111	2.066148739979e-05	1780.81111111111	356.619140625	0	29	3	1	0	340	64	-0.466666666666667	1726.3836479605	6717	0.365079365079365	0	4	3	7.95765134953166e-05	0.333333333333333	9	3	155886469865946	0	0.188982236504614	0	0.000165977356222369	3	10939	0.217357635922272
ACLY	3.69049032411255	5	0.000594	58.2	3999.02961	0.001051	0.2	2	7.1e-05	8937.987994	2264.439286	2.91025224860733e-05	2264.43928571429	684.07421875	1	296	5	3	0	2843	612	-0.674154574670959	2159.40965095705	165288	0.213284132841328	59.2	6	4	0.00613587291902555	0.20507054544214	8	7	861640356442305280	0.2	-0.189437458853304	0.32	0.320017177908305	5	45749	0.27638707258808
ACOT13	3.84126795678499	2	0.000237	120	183.844808	0.000444	0	0	3.9e-05	257.348308	2171.395238	1.75159051496543e-05	2171.39523809524	618.125	1	242	2	1	0	2151	486	-0.966892808683854	2074.64840055633	103371	0.545871559633027	0	3	2	0.00259316396621761	0.5	8	2	154008667937807008	0	-0.409923512045742	0	1.53894798460286e-05	2	7795	0.265030542914084
ACOT7	4.11456725632198	1	0.000119	97	0	7.2e-05	0	0	3.2e-05	0	2012.183333	1.03298407415215e-05	2012.18333333333	506.9296875	0	98	1	1	0	1158	196	-0.979591836734694	1936.84534148945	32466	1	NA	2	1	0.000421764125387092	1	8	1	4090665359342728	NA	-0.520166538641961	0	3.41768723410851e-06	1	0	0.245597868098771
ACOX1	4.64786893030987	2	0.000237	6.5	6952.793463	5e-05	0	0	6.6e-05	13429.197487	1768.085714	1.21398679440691e-05	1768.08571428571	349.234375	0	15	2	1	0	322	32	-0.346153846153846	1714.60954302792	3894	0.5	0	3	2	0.000291318398103145	0.5	8	2	1941069187688189	0	0	0.5	0.500745788214632	2	60058	0.215804432355155
ACOX3	4.37195773477383	1	0.000119	35	0	3.9e-05	0	0	3e-05	0	1885.961905	1.01402946526878e-05	1885.9619047619	423.3671875	0	36	1	1	0	647	72	-0.944444444444444	1822.81735234216	15175	1	NA	2	1	0.00022329780484875	1	8	1	1184103157189203	NA	-0.520166538641961	0	6.98527219289424e-07	1	0	0.230191859485157
ACP1	3.37077050931972	12	0.001425	68.333333	30690.936375	0.001071	0.121212	8	0.000139	62751.273919	2497.6	4.04530992739655e-05	2497.6	853.1953125	3.18997186388491	832	12	7	0.232722044477656	4416	1796	-0.537179098791214	2364.23108622147	452152	0.104326676907322	100.848484848485	13	11	0.00625568502660055	0.0874986097345781	7	20	896104863709070464	0.121212121212121	-0.206513397002969	0.680555555555556	0.68062402918159	12	381647	0.304845599902335
ACP5	3.803751632435	8	0.00095	22.25	13034.382938	0.000405	0	0	0.000114	26945.244253	2188.990476	3.43649411272403e-05	2188.99047619048	629.40625	1	186	7	1	4	2342	428	-0.203389599924652	2095.11061518774	108401	0.139802631578947	0	9	6	0.00236318410808428	0.125	8	8	127936446502244048	0	-0.409923512045742	0.8125	0.812516136227128	8	127606	0.267178136969406
ACP6	4.21512525228541	6	0.000712	6.166667	14605.178716	4.4e-05	0	0	0.000118	30178.601725	1955.663095	2.81979488405293e-05	1955.6630952381	467.12109375	0	43	5	1	1	861	116	0.0270487682252388	1890.63905475439	17466	0.172222222222222	0	7	4	0.000259410375399177	0.166666666666667	8	6	1540965243187070	0	-0.539319371630006	0.777777777777778	0.777858062129029	6	131970	0.238699267086297
ACPP	4.58126558233409	1	0.000119	19	0	4.4e-05	0	0	3.6e-05	0	1790.210714	9.63999424057527e-06	1790.21071428571	361.330078125	0	20	1	1	0	287	40	-0.9	1739.53687674925	5515	1	NA	2	1	0.000259329010285872	1	9	1	1538390114019870	NA	-0.333333333333333	0	0.000322708599747368	1	0	0.218504908371265
ACSL6	5.17523447702719	1	0.000119	5	0	1e-06	0	0	3.7e-05	0	1575.174603	8.40551045453474e-06	1575.1746031746	237.658203125	0	6	1	1	0	51	12	-0.666666666666667	1539.88779793994	1010	1	NA	2	1	4.33074994485482e-06	1	9	1	430070879276.252	NA	0	0	-Inf	1	0	0.192258586985818
ACTA1	3.63492817286003	23	0.002731	13.565217	49563.705009	0.000392	0	0	0.000328	105581.322345	2305.085714	4.46389377270848e-05	2305.08571428571	711.0859375	0	335	11	1	39	3105	1176	0.398719553332037	2192.41757846948	167895	0.0485143528621789	0	24	9	0.00229216815602455	0.0434782608695652	7	23	120207028125261440	0	-0.214726960547705	0.75992438563327	0.759982968061853	23	466178	0.281348189220745
ACTA2	3.52748426926273	21	0.002493	24.47619	41861.552639	0.000682	0.147619	31	0.000287	88684.776988	2380.752381	4.39499263618981e-05	2380.75238095238	766.3984375	2.38775510204082	535	13	13	0.165537292508192	3628	1490	0.222304582429697	2259.19658723748	276259	0.0610006027727547	78.9761904761905	22	8	0.00397317289045018	0.0847329840767587	7	52	362063401754062208	0.147619047619048	1.72378321474267	0.653061224489796	0.654191828132545	21	417734	0.290583715483
ACTC1	3.95488543274368	7	0.000831	20.571429	16002.678943	0.000154	0.047619	1	0.00012	31092.605353	2100.895238	3.06972739355551e-05	2100.89523809524	567.2890625	0	151	6	2	0	1675	344	-0.122442694811116	2015.04710014409	69664	0.152747252747253	7.19047619047619	8	5	0.00090007684460449	0.147783446712018	8	8	18526962552145960	0.0476190476190476	-0.128851476622915	0.612244897959184	0.632661451437531	7	177340	0.256425636286477
ACTG2	4.00866674581503	9	0.001069	18.555556	446.922217	0.000269	0.527778	19	0.000119	1138.103734	2067.302381	3.56508907860442e-05	2067.30238095238	543.1015625	4.40430513954262	176	8	9	0.101970606068083	1440	424	-0.199918376642515	1988.01270546424	79965	0.197399527186761	92.8888888888889	10	7	0.00157176358677568	0.197547216098942	8	28	56547607373715856	0.527777777777778	0.215472901842834	0.444444444444444	0.444799576907242	9	9625	0.252325446228764
ACTL6A	3.51383117654043	36	0.004275	22.777778	48386.820816	0.000868	0.14127	89	0.00039	100679.817592	2403.542857	4.89261450252132e-05	2403.45952380952	781.7265625	0	856	16	32	0.193081242841779	3685	2972	0.361395478491227	2267.9747609555	418766	0.0482269503546099	120.926984126984	37	12	0.00504777065236312	0.0538450296915995	7	125	587584783318794368	0.141269841269841	2.43222410906652	0.577160493827161	0.578540257237103	36	584097	0.293355245186055
ACTL6B	3.97851121928054	4	0.000475	25.25	42.89815	0.000164	0.333333	2	5.3e-05	110.365168	2081.895238	2.6141907043797e-05	2081.89523809524	554.2734375	0	105	4	3	0	1671	222	-0.724539827988104	2003.08104801408	72127	0.384615384615385	35	5	4	0.000953270025506317	0.26985707491082	8	6	21035805070150068	0.333333333333333	-0.189437458853304	0	3.64464002622356e-06	4	1080	0.254106583436482
ACTN2	4.09545292651074	3	0.000356	20.666667	469.399192	5.3e-05	0	0	5.5e-05	1282.210824	2019.021429	2.15120304158878e-05	2019.02142857143	510.96875	0	65	3	1	0	1250	136	-0.615686274509804	1945.88500115955	30316	0.333333333333333	0	4	3	0.000308279981708868	0.333333333333333	8	3	2173676036709557	0	-0.824355532398261	0.666666666666667	0.666819045488684	3	4203	0.246432494638267
ACTR1A	3.57889113142586	15	0.001781	35.8	10040.558777	0.000798	0.228571	24	0.000172	20170.316971	2347.407143	4.2902968874743e-05	2347.40714285714	743.0078125	1	552	14	15	0.141211787238757	3328	1314	-0.267526549978284	2226.74569580362	260360	0.0873170731707317	126.171428571429	16	10	0.00465218437480509	0.0866583069570197	7	39	496283908625535168	0.228571428571429	0.898649377646327	0.435555555555556	0.435630187316527	15	135125	0.286513748670448
