ABHD16A	BYSL	C1D	CAPZA1	CRX	DDX56	DGKD	DHX37	EIF1AX	EIF4G1	EIF5B	ETHE1	EXOSC4	EXOSC7	GART	GSPT1	GTF2IRD1	HEATR1	IPO13	MAD2L1BP	MCC	MPP6	MPZL1	NUP153	PAFAH1B2	PAFAH1B3	PINX1	RPL10L	RPS6	SKIV2L	SRP19	SRP54	TBL3	TSR1	UBE2V2	UPF1	UPF3A	UTP3	IFITM1	RIOK1	MTHFD1	BANF1	RTCA	HIST1H2BC	IGSF21	BMS1	EIF4E2	RPL27A	MTHFD1L	DUSP3	TKT	UCHL1	TRMT112	UBA2	CRYZ	RAB7A	APRT	PFKM	CLIC4	ECH1	GCLM	CUTA	SAR1A	NUP155	RAB2A	PDCD5	KCTD12	LIN7A	SNUPN	CHMP7	COTL1	SRP72	if_health
communitycent	0.126907633049567	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.520497820938872	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	1.17648146742104	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	1.07152408398389	0.126907633049567	1.45199459894355	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	1.68218522398184	0.126907633049567	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	0.126907633049567	-0.463477648784388	0.126907633049567	0.126907633049567	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	0.126907633049567	0.126907633049567	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	1.22333744216977	-0.463477648784388	1
diffusion_degree	-0.453062008305271	1.31213047336337	-0.255043620938596	0.0504704624271308	-0.0702264593963662	-0.321049750060821	-0.471920902340192	0.223972287548408	0.380501108038255	0.282434859056664	0.557774711966517	-0.3021908560259	-0.305962634832884	-0.251271842131612	-0.296533187815423	0.0674434670585601	-0.243728284517643	-0.192809270623355	-0.141890256729068	-0.0966289110452562	1.21217833497829	-0.226755279886214	-0.255043620938596	-0.224869390482722	-0.272016625570025	-0.138118477922083	-0.236184726903675	2.2890211843723	0.650183292737632	-0.413458330831936	0.0466986836201465	1.44791451041481	-0.0796559064138269	-0.217325832868753	-0.266358957359549	0.0731011352690365	0.0429269048131622	0.0372692366026858	-0.447404340094794	0.318266757723015	-0.264473067956057	-0.298419077218915	-0.473806791743684	-0.128689030904623	-0.392713547393522	0.401245891476669	-0.300304966622407	3.23573766492536	-0.428545446059873	-0.322935639464313	-0.000448551467157007	0.0712152458655443	-0.247500063324627	-0.190923381219863	-0.194695160026848	-0.24938595272812	-0.281446072587486	-0.324821528867805	-0.239956505710659	-0.400257105007491	-0.487008017568129	-0.281446072587486	-0.160749150763989	0.518171034493182	-0.213554054061769	-0.198466938833832	-0.0211933349055706	-0.31162030304336	-0.453062008305271	-0.456833787112255	-0.160749150763989	-0.436089003673842	1
dmnc	-0.214905655225139	-0.137826123860131	-0.127143723936473	-0.214905655225139	1.53421093839464	3.28332753201443	-0.214905655225139	-0.0996817061487222	-0.13216721417235	-0.0811367958737757	-0.102719306206787	-0.214905655225139	0.0643656176745642	-0.125726415657563	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.0792196586594759	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	3.28332753201443	5.03244412563421	-0.109660455233001	-0.13216721417235	-0.214905655225139	-0.0421713591969668	-0.118390980162149	-0.106340995052126	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.118390980162149	-0.214905655225139	-0.102719306206787	-0.214905655225139	0.334760082719393	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.0957525889711294	-0.214905655225139	-0.113403518220217	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.172265877120548	-0.214905655225139	-0.214905655225139	1.53421093839464	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	1
geokpath	-0.740538242970768	1.03159283217342	-0.206933006398034	1.21507814159141	0.908021093177626	-0.577648223385407	-0.954916487137708	-0.481224820987176	0.439946324254175	0.519519034971162	-0.0655744261831517	0.216206584708766	-0.421311250564974	-0.425991998254209	0.354756716310107	0.0636142100397208	0.470839259003123	-0.612285756285742	0.813469989855089	0.496115296524989	2.22986424061745	0.634665428126331	0.45960546454896	0.401564193202452	0.00931753684460051	0.496115296524989	0.555092717409344	0.845299074141884	0.449307819632644	-0.659093233178087	0.147867668445942	1.06342191646021	-0.450331886238228	-0.15076403412722	0.368798959377811	0.630920829974943	0.413734137194462	-0.720879102675983	-0.802324112468663	0.911765691329014	-0.00285240714740922	0.16659065920288	-0.964277982516177	0.539178175265947	-0.252804333752532	-0.644114840572537	-0.127360295681047	1.51932674139165	-0.684369270699954	0.0814010512588119	0.838746027376956	1.12052703826887	0.316374585258384	0.429648679337859	0.406244940891687	0.293906996350059	0.177824453657043	0.111357836469913	0.173143705967808	-0.134849491983822	-1.03823379600608	0.177824453657043	0.626240082285709	1.17763216007753	0.512965988206234	0.404372641815993	0.876192008890832	-0.491522465903492	-0.829472449066224	-0.90623671116967	0.40530879135384	-0.665646279943016	1
lincent	-0.147101356813627	0.710230858866393	0.150804685050415	0.779151416493832	0.65561041833166	-0.0713957948270392	-0.496966231052637	0.0224212501396257	0.487743798866931	0.523922436275688	0.282623066722093	0.359529049159783	0.0181065017673917	0.0544606010479625	0.438143619433438	0.328198658842361	0.487447142649272	-0.0620899029210954	0.596917267256824	0.503073238158565	1.17217629618193	0.561131009105071	0.520459637254233	0.452560918403042	0.322260719600008	0.515950670951825	0.535855731036609	0.636727726039796	0.492495481948145	-0.13791754714184	0.372466754011093	0.710556799215344	0.0504439035084702	0.23028333453671	0.427570590387784	0.552421369458269	0.488485606018376	-0.178317408238599	-0.318365437575917	0.682201994172589	0.301533459342013	0.392013567326732	-0.783861019309953	0.517602944145363	0.186546018973349	-0.0969106020301162	0.241821702145028	0.872413207283366	-0.118190822515585	0.34931598533446	0.62584695869737	0.726417715405805	0.421509603092933	0.473841992546605	0.465012131386156	0.407143287524613	0.351690222146097	0.385762866774695	0.413740525343331	0.242752728323202	-4.13266281217124	0.351690222146097	0.566801978948891	0.764111069614429	0.508305439346091	0.451976639329276	0.66454819666004	0.0887305841200586	-0.296091764266597	-0.377889915158674	0.466334453152422	-0.0596703029724545	1
semilocal	-0.384112086641873	1.55815313745686	-0.303738862280488	0.140351867771408	0.00709676865553775	-0.352309138425005	-0.401468430773069	-0.192681820488974	0.525034423533513	0.477811031107775	0.858649274448061	-0.239642119010461	-0.343595625387194	-0.326313889975114	-0.199160998727995	0.21807451921683	-0.179428955909157	-0.311545290364836	-0.111660678303686	-0.0902361955933222	1.0200593480935	-0.190050881446462	-0.14950300599426	-0.191166085458512	-0.262342803495177	-0.195728997648659	-0.144174372739501	2.93169572960777	0.894877697740916	-0.376541265038944	0.242459790043692	1.9103455594313	-0.277818222549712	-0.160827824201131	-0.24633726985745	0.153483002335824	0.0855301663199074	-0.245669718160096	-0.386947217968281	0.380599796874314	-0.22583165242462	-0.237121129659278	-0.404543095355587	-0.122596745816215	-0.345586500155184	-0.137388906074635	-0.240341084905337	3.99870643588323	-0.379784780933145	-0.251940777340531	-0.0146968308757154	0.0490818436443953	-0.201674134529797	-0.181015372884045	-0.187160775274389	-0.216937507751055	-0.229597429352633	-0.290022638287214	-0.231655059290359	-0.339770946838826	-0.406965915339512	-0.229597429352633	-0.16914473299522	0.338002145033768	-0.184659419796658	-0.18915165004238	-0.000112789675882223	-0.328183034727704	-0.392719576763046	-0.392240510250827	-0.160607924818473	-0.366967788343954	1
coreness	-0.300790433838746	1.33445325892742	0.0625970534426247	0.0625970534426247	-0.300790433838746	-0.119096690198061	-0.664177921120116	1.33445325892742	1.15275951528674	0.60767828436468	0.971065771646051	-0.482484177479431	0.0625970534426247	0.24429079708331	-0.119096690198061	0.24429079708331	-0.664177921120116	0.425984540723995	-0.300790433838746	-0.119096690198061	1.15275951528674	0.24429079708331	-0.664177921120116	0.0625970534426247	0.0625970534426247	0.24429079708331	0.0625970534426247	3.33308443897496	1.15275951528674	-0.482484177479431	0.425984540723995	1.51614700256811	0.789372028005366	0.0625970534426247	0.0625970534426247	0.24429079708331	0.24429079708331	1.33445325892742	-0.300790433838746	0.789372028005366	-0.300790433838746	-0.300790433838746	-0.664177921120116	-0.119096690198061	-0.119096690198061	1.51614700256811	-0.119096690198061	3.87816566989701	-0.482484177479431	-0.300790433838746	-0.482484177479431	-0.119096690198061	-0.482484177479431	-0.300790433838746	-0.482484177479431	-0.482484177479431	-0.664177921120116	-0.482484177479431	-0.482484177479431	-0.482484177479431	-0.664177921120116	-0.664177921120116	-0.482484177479431	0.971065771646051	-0.119096690198061	-0.300790433838746	0.0625970534426247	-0.300790433838746	-0.482484177479431	-0.664177921120116	-0.300790433838746	-0.482484177479431	1
hub_score	-0.140062207322974	2.59033899188542	-0.137147006501072	0.015788703111214	-0.123256661538911	-0.136613665895009	-0.141816553135297	-0.0537706788363194	1.10553193892827	0.909487271972992	1.8886831507773	-0.112455207808473	-0.135005510140569	-0.1348266490228	-0.08512159551392	0.755148917754461	-0.133464392588555	-0.112137942746452	-0.130236716582298	0.088352575065865	0.0770341101343198	-0.127590173677464	-0.131813444757494	-0.127983010655404	-0.129637082148582	-0.124126978512307	0.0751378513223584	4.89764747092713	1.75095305007096	-0.138350374658331	0.832032080415419	2.89591423537599	-0.100261595272799	0.188237869319943	-0.12941666646215	0.474042241489246	0.105148166850758	-0.0701780058434979	-0.141615109839949	0.691326122145157	-0.125999708428761	-0.106916162354959	-0.141793008741261	-0.052685471907175	-0.138690499050267	-0.0225741687941629	-0.0216998402720513	6.06089088306659	-0.140636576559939	-0.135167181007259	-0.073623725798785	-0.0716437627269303	-0.0904351442831827	-0.118499060589239	-0.119165371874211	-0.0958257623589055	-0.096106557601383	-0.129955910344018	-0.130307601015049	-0.138507446559651	-0.141895056461185	-0.096106557601383	-0.0944981702099904	-0.0391706616203895	-0.0937156739886951	-0.0905521055912656	-0.0507926894474748	-0.140475373503457	-0.141237703269699	-0.141244920340322	-0.111412664614961	-0.12260510473327	1
eccentricity	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.624173220984621	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.624173220984621	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562	0.415385918927497	0.935165488883556	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-4.78240978063309	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	-0.104393651028562	0.415385918927497	1
subgraph_centrality	-0.0893271260708857	0.563745378593322	-0.0893254454458694	-0.0871522061604283	-0.0892970033405583	-0.0893226743318354	-0.089327419662758	-0.0886480309685279	0.0468032769915264	0.00737712791870627	0.271388461461822	-0.0892515906978492	-0.0893219295104091	-0.0893230463107288	-0.0890454408846341	-0.0189305801457725	-0.089321201631817	-0.0892499549096142	-0.0893155144564934	-0.0846895710577981	-0.0851335361008372	-0.0893095160579421	-0.0893185282082346	-0.0893104802864717	-0.0893142744144791	-0.0892997848203296	-0.0852066670423565	2.1324871964871	0.224114629138034	-0.0893263200939903	-0.0063464181211657	0.71799440153114	-0.0891757812531553	-0.0797927979956824	-0.0893137915856589	-0.0561380945319727	-0.0839866694139063	-0.0888774635128182	-0.0893274133455027	-0.0285914191513479	-0.0893053158844955	-0.0892203821230497	-0.0893274181446021	-0.0886311882466026	-0.0893265216516657	-0.0880818767647966	-0.088063557771418	3.27655777665131	-0.0893272816437816	-0.0893234601533462	-0.0889195708346399	-0.0888955736875366	-0.089095746681213	-0.0892794823406945	-0.0892821719211296	-0.0891417404272079	-0.0891439970209123	-0.0893149499707261	-0.0893156704903118	-0.0893264158050529	-0.0893274202022177	-0.0891439970209123	-0.0891308817238488	-0.0884027933697282	-0.0891243416742789	-0.0890967977245864	-0.0886013265673444	-0.0893272438478351	-0.0893273823959635	-0.089327383220547	-0.0892460778360336	-0.0892948674582793	1
