GSPT1	RPS6	CRYZ	GCLM	DDX56	RTCA	EIF4G1	SKIV2L	UPF3A	PDCD5	EIF1AX
cluster_coefficient_n	1.87323544246151	-0.590894368992731	-0.590894368992731	-0.590894368992731	0.0544372257182012	-0.590894368992731	-0.193388337885639	-0.590894368992731	0.0735098371217144	-0.0271593886636208	1.85867413151633
harmonic_centrality_n	1.35825922598898	0.183482353451673	-1.0157991923435	0.199978411676904	0.460918317234663	0.151628942786182	1.12192141434196	-4.57653895858481	0.706183796976297	0.721927151887872	0.988364825608667
markovcent_n	1.867682358627	0.301274186453013	-1.24163828798973	-1.02366612720392	1.36978261446894	-0.25741737135596	1.55590897657445	-1.64405117796102	1.43634418699673	0.485521793561284	1.62283323135485
closeness_latora_n	1.3582915881931	0.183508854699074	-1.01577867560934	0.200004995344196	0.460946203232338	0.151655284103544	1.1219525970819	-4.57653620852208	0.706212906763565	0.721956340339305	0.988395342719593
closeness_residual_n	1.88511503663524	0.112293580896927	-1.45215846631732	0.139908340654289	0.522075861388226	0.0690362223626034	1.53236866912923	-2.52256189933392	0.891079770129266	0.920635442019888	1.31982918206143
communitycent_n	0.5256668530274	-0.51642647910199	-0.51642647910199	0.0625142609698936	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	0.889572461072585	0.0625142609698936	-0.51642647910199
diffusion_degree_n	5.1553521861773	-0.274035316420352	-0.506702315446777	-0.313794866886893	0.575641002809061	-0.312322290943688	1.235355025365	-0.509647467333188	0.630126312707654	0.101471549096979	2.07914104082159
dmnc_n	-0.0167220093687776	0.35898235213825	-0.123265764231294	-0.123265764231294	-0.0617136753914318	-0.123265764231294	-0.0297588937534472	-0.123265764231294	-0.0168257008966415	0.0282823187973247	-0.0103748971591553
geokpath_n	2.17326764898043	-0.134089515442393	-1.13068076695371	-0.0624869181930464	0.370051220292803	-0.172813369056836	1.73050056803039	-1.15625312311419	0.895380479703827	0.974289464427596	1.56464557236099
lincent_n	1.24757315113047	0.191443813757311	-0.975549823812754	0.20724710898612	0.423285118474364	0.158142196016656	1.03829408412392	-4.72436708341654	0.664659319141967	0.704196082432056	0.944337337628347
semilocal_n	5.93966046757019	-0.207902420270291	-0.428270597660888	-0.296956189037106	0.559451925757714	-0.246559835872509	1.25285537915052	-0.43002923129135	0.670617550396037	0.00107994018121489	2.47189978876767
coreness_n	5.64883280652722	-0.0481408617765611	-0.718373058047594	-0.718373058047594	1.2923235307655	-0.383256959912077	1.45988157983326	-0.718373058047594	0.957207432629988	0.119417187291197	2.96790402144308
hub_score_n	8.89392910567395	0.0815226811796529	-0.176895077371747	-0.14982239195702	1.31046448245325	0.0569496047065295	1.31382116610096	-0.177124716349312	0.981425465399193	-0.0824644125050783	3.90001953107031
eccentricity_n	-0.576962892462901	0.186549824460118	0.950062541383136	0.186549824460118	0.186549824460118	0.186549824460118	-0.576962892462901	-5.15803919400101	0.186549824460118	0.186549824460118	-0.576962892462901
subgraph_centrality_n	7.39180172623858	-0.0881412568691399	-0.0942277749548295	-0.0941599128266676	0.107135800484229	-0.0892429103138217	0.107969313531477	-0.0942277797594032	0.0279474869776427	-0.0934121296573818	1.41832793985859
pc_n	0.0411975479043843	0.859136999262311	-1.09655939070115	0.649598100337655	1.57506157058822	1.23165059735059	0.992122820802056	-1.09655939070115	1.35835590282279	0.649598100337655	-0.187844778017688
gilschmidt_n	0.367298429151976	-0.135861159453876	-0.64951615553569	-0.128795860395652	-0.0170347091053083	-0.149504047640362	0.266074410319654	5.95148501751928	0.0880130500496577	0.094755964577907	0.208871821922432
