KCNB1	ARHGAP32	EIF2AK1	ATG16L1	MEGF10	CDK14	CDK17
pc	1.43155194347157	0.00971467322653026	-1.0058833769485	-1.0058833769485	-1.0058833769485	-1.0058833769485	-1.0058833769485
gilschmidt	-0.0286635805061256	-0.056844162053856	-0.432107681155623	-0.44484968768413	5.30506371721646	-0.121179111669347	-0.647221241766548
spl_n	0.688974412491277	-0.802219762978337	-0.417639394261733	-0.30961120080201	-0.149729474481631	-0.58481302364065	-0.321629337324413
degree_centrality_n	-0.540244776893258	0.729076276117087	-0.349900086551353	-0.286273631071896	-0.159555396209448	0.158042205091372	-0.41352654203081
average_neighbor_degree_n	-0.958240386285857	0.995069940515231	1.12549282206417	0.563157833959225	-0.552672854988119	0.570437251280972	2.15977671199472
betweenness_n	-0.259264592921767	0.56598587521885	-0.243170528279747	-0.21078735918321	0.271417264305502	0.043954326287774	-0.1594574964708
eigenvector_n	-0.177237033601932	-0.0995004298191664	-0.13231012350206	-0.104720153814172	-0.119260813514546	-0.0789011619103041	-0.140232918851623
cluster_coefficient_n	-0.590894368992731	-0.0271593886636208	0.113777527435848	-0.168092076740168	-0.590894368992731	0.0497145241137402	-0.590894368992731
harmonic_centrality_n	-0.496878728104024	1.29487774619026	0.666362208816191	0.537043367530893	0.34094347466881	0.931947919658357	0.560724571783567
markovcent_n	-1.12899220124758	1.45826503260053	0.105113812091688	0.283845814732804	-0.0372030281057735	1.02092790016226	-0.234569827743706
closeness_latora_n	-0.496855620960508	1.29490979291482	0.666391118473849	0.537071632483852	0.34097076214396	0.931978155709664	0.560752954897514
closeness_residual_n	-0.832296468590473	1.8043269712073	0.834908619975633	0.6386843249983	0.344818697851754	1.24338414774355	0.677060577771753
communitycent_n	-0.51642647910199	1.07566055609569	0.0625142609698936	-0.51642647910199	-0.51642647910199	-0.51642647910199	0.0625142609698936
diffusion_degree_n	-0.502284587617162	1.36494170836706	-0.134140601815856	-0.153284089077524	-0.325575474432535	0.353282035385072	-0.103216507008547
dmnc_n	-0.123265764231294	-0.0292024742603003	-0.123265764231294	-0.123265764231294	0.841230468507795	-0.0506753613834342	-0.123265764231294
geokpath_n	-0.937061498881496	2.10239569047853	0.961868605721077	0.612623284443651	0.253149020702033	1.47477700642558	0.630889253129709
lincent_n	-0.456860455372221	1.21786649077587	0.671789119096608	0.535991112653673	0.34709768292773	0.896324776750271	0.550759954048372
semilocal_n	-0.418222922031105	1.20481935857317	-0.0730405432796472	-0.149275104156255	-0.241019094513657	0.323808958247851	-0.121445946614251
coreness_n	-0.718373058047594	1.12476548169775	-0.215698910844319	-0.0481408617765611	-0.383256959912077	0.622091334494471	-0.383256959912077
hub_score_n	-0.17666728557433	-0.0990816513708634	-0.131739543482123	-0.104125659029846	-0.119802944425127	-0.0787770381547252	-0.139867252327484
eccentricity_n	0.186549824460118	-0.576962892462901	0.186549824460118	0.186549824460118	0.186549824460118	-0.576962892462901	-0.576962892462901
subgraph_centrality_n	-0.0942277607147608	-0.0936730454022413	-0.0940404044884893	-0.0937430576418449	-0.0939062189603169	-0.0933438586185321	-0.0941006198297284
pc_n	-1.09655939070115	1.26332692371864	-1.09655939070115	0.859136999262311	1.46922304511097	1.03763309834628	0.455580601333342
gilschmidt_n	-0.427261347688322	0.340151998473272	0.0709573732490599	0.015569821564562	-0.0684202052142712	0.184708333817867	0.0257125348540751
