spl	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	harmonic_centrality	markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	dmnc	geokpath	lincent	semilocal	coreness	hub_score	eccentricity	subgraph_centrality	pc	gilschmidt
ABCA2	5.00059361272706	0.000237	8	1645.629608	1e-06	0	1636.631746	1.26593410888705e-05	1636.63174603175	272.0703125	0	18	0	118	1593.66688034188	2018	2	7.95459058173669e-06	9	1461069764416.12	0.5	0.199759763948726
ABCA7	4.66223435830464	0.000119	31	0	5e-06	0	1761.154762	1.00185496067557e-05	1761.15476190476	344.5703125	0	32	0	284	1709.32643239114	6118	1	2.69301929740086e-05	8	16595941547588.7	0	0.214958472098724
ABCB4	4.57105544342871	0.000119	12	0	1.5e-05	0	1793.342857	9.62168076623918e-06	1793.34285714286	363.0859375	0	13	0	310	1743.42239364189	5973	1	8.76985063314934e-05	8	175984325010701	0	0.218887203361762
ABCB6	6.26914401044758	0.000119	3	0	0	0	1291.963095	5.93559954068122e-06	1291.9630952381	110.623046875	0	4	0	6	1271.19115614052	52	1	4.42014271604708e-08	10	45355246.9600103	0	0.157691089373624
ABCC2	4.4404606434762	0.000237	17.5	0	9e-06	1	1853.175	1.65249493813275e-05	1853.175	401.51171875	0	37	0	487	1794.69678092081	10949	2	5.28481567537259e-05	8	64104745480644.7	0.5	0.226190040278288
ABCC9	4.59123827614864	0.000356	9.333333	16382	7e-06	0.333333	1789.692857	1.00229888289995e-05	1789.69285714286	361.671875	1	31	0	333	1735.75840401324	7859	2	4.07731125569838e-05	8	38245124246623.8	0.444444444444444	0.218441701103737
ABCD1	6.63920218449484	0.000119	2	0	0	0	1218.169913	4.94770658682483e-06	1218.16991341991	85.6943359375	0	3	0	11	1200.33705876042	30	1	1.06396470994568e-08	11	2594700.34564832	0	0.148684232078593
ABCD2	5.66662709248486	0.000237	5.5	8192	0	0	1435.626984	8.03641822172013e-06	1435.62698412698	169.888671875	0	13	0	28	1406.35342551854	316	1	5.85360853265748e-07	10	7850455621.70775	0.5	0.175226044687786
ABCD3	4.12133444141042	0.001069	12.111111	23747.56749	7.1e-05	0	2013.440476	3.53540744735937e-05	2013.44047619048	507.4296875	1	118	4	1190	1933.66506308694	36856	5	0.000415383937756168	8	3969426501872750	0.518518518518519	0.245751309189598
ABCD4	5.29656891843761	0.000356	2	8283.377878	0	0	1539.749603	1.10138615221611e-05	1539.7496031746	219.74609375	0	9	0	45	1504.61186201331	750	2	2.43182735796738e-06	9	136901679080.239	0.444444444444444	0.187934773974707
