CHAF1B	DNMT3A	HERC2	HIST1H2AA	HIST1H2BA	HIST1H2BH	HIST1H3B	HIST1H3C	HIST1H3H	HIST1H3I	HIST1H3J	HSF2	NCAPD2	NCAPH	SETD7	SMC4	STX11	TADA2B	TAF12	TAF6L	H2AFJ	DNMT3L	HIST3H2A	NCAPG	NCAPH2	SLC38A2	if_health
communitycent	2.05143406065334	0.126907633049567	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	1.0852141774757	-0.463477648784388	0.126907633049567	-0.463477648784388	0.126907633049567	1.09428592617508	2.15438117154631	-0.463477648784388	0.599215858516731	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	0.126907633049567	2.66409913370587	0.126907633049567	-0.463477648784388	1
diffusion_degree	0.293750195477617	0.825571007262401	0.273005412039203	-0.339908644095742	0.124020149163324	-0.134346699115099	-0.313506192446852	0.295636084881109	-0.371968763955109	0.257918296811266	-0.4700350129367	-0.304076745429392	-0.36442520634114	-0.362539316937648	-0.321049750060821	0.670928076176045	-0.41723010963892	-0.24938595272812	0.295636084881109	0.110818923338879	0.00143733793633513	-0.307848524236376	-0.215439943465261	-0.313506192446852	-0.124917252097638	-0.434203114270349	1
dmnc	-0.140114755879571	-0.0738859140702973	-0.0421713591969668	0.0643656176745642	-0.095907877060657	-0.095907877060657	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.0421713591969668	-0.214905655225139	-0.214905655225139	-0.095907877060657	-0.095907877060657	1.53421093839464	-0.10280615835901	-0.214905655225139	0.130562936831204	-0.119227183346157	-0.106340995052126	-0.095907877060657	-0.214905655225139	5.03244412563421	-0.0393817926478076	-0.095907877060657	-0.214905655225139	1
geokpath	1.19729130037232	1.6419623308496	0.89491499964777	-0.364206128756313	1.04001817801404	0.184377500421971	-0.338930091234447	1.49217840479409	-0.40446055888373	1.57643186320031	-0.935257346842923	0.0720395558803429	-0.586073569226029	-0.586073569226029	-0.156380931354301	1.48843380664271	-0.422247400102821	-0.436289643170525	0.668366811488819	0.90989339225332	0.88274505565576	-0.0889781646293242	0.395011146437524	-0.308037156485499	0.386585800596902	-0.704964560532586	1
lincent	0.752974008734418	0.8988335199318	0.633568765299094	0.067782834127118	0.661352307213345	0.324882510847907	0.0900932217669179	0.894264476117356	0.0829182916739088	0.928557875243121	-0.452513622242398	0.311392559111488	-0.116734288945119	-0.116622204149842	0.20503337258301	0.871891109739461	0.0925729985088898	-0.0109034999053436	0.54222493667897	0.646071091771675	0.626633752280063	0.23028333453671	0.42627045042788	0.0628841118997937	0.437708146000923	-0.149418285943366	1
semilocal	0.268741693045976	0.677825226733705	0.184115771694978	-0.306605407804418	0.113638019553189	-0.150033120577453	-0.303762422928629	0.322723064713748	-0.332427878167935	0.301412458469404	-0.39638325754911	-0.290356414135891	-0.335306204015937	-0.335211961423369	-0.287788303488424	0.488527199237647	-0.36144281635468	-0.265704122630088	0.270956393971314	0.081249981907463	0.022128462170067	-0.242061012219696	-0.198312815394887	-0.293969046850982	-0.120990694967876	-0.383271756858146	1
coreness	0.425984540723995	0.971065771646051	0.60767828436468	0.0625970534426247	0.60767828436468	0.425984540723995	0.0625970534426247	0.425984540723995	-0.300790433838746	0.425984540723995	-0.664177921120116	-0.119096690198061	0.0625970534426247	0.0625970534426247	0.0625970534426247	0.971065771646051	-0.300790433838746	0.425984540723995	0.971065771646051	0.789372028005366	0.425984540723995	-0.482484177479431	0.24429079708331	0.0625970534426247	0.0625970534426247	-0.482484177479431	1
hub_score	-0.0933907973933665	-0.104094388226648	-0.0761659523328712	-0.139264306589373	-0.11267775023642	-0.13512411404978	-0.139455751709848	-0.0426719417724324	-0.140219529717602	-0.034679078278292	-0.1416213663583	-0.1327225898761	-0.137759674089702	-0.137758158877856	-0.134099695517524	-0.0395460248610687	-0.139933120500862	-0.138538062763106	-0.0985487545940341	-0.125104788442194	-0.128233869901116	-0.137774448688353	-0.127730464361495	-0.137024565729036	-0.122443484783694	-0.141385460384176	1
eccentricity	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	1
subgraph_centrality	-0.0891215906369095	-0.0892022805929144	-0.0889494576320263	-0.089326813939515	-0.0892525096382183	-0.0893234071271685	-0.0893268993058617	-0.0884661153385087	-0.0893271744550859	-0.0883217663871145	-0.0893274136464382	-0.0893200595504252	-0.089325923987949	-0.0893259228912731	-0.0893221036764146	-0.0884108929715938	-0.0893270833774512	-0.089326430130812	-0.0891622171642543	-0.0893027056388949	-0.0893110763277253	-0.0893259340158313	-0.0893098631086181	-0.0893253446596225	-0.0892943185509151	-0.0893273974512414	1
