DCAF4	POLD3	REV1	CUL4A	SF3B1	TAF1A	TUBA8	GTF2E2	ELAVL2
subgraph_centrality	-0.0893274108122337	-0.0886166151726518	-0.0892684375570303	-0.0891388934341676	-0.0749936654171683	-0.0893274197995697	-0.0893270775023104	-0.0892775205948708	-0.0891122766120975
pc	-1.0058833769485	-1.0058833769485	0.635654695987465	1.251001178996	-0.00829038915884459	-1.0058833769485	0.82219311336655	0.00971467322653026	-0.11049897352888
gilschmidt	-0.395124652480765	-0.00484012105179571	-0.0890876839581468	0.000107496516127095	0.196586165729081	-0.510397298778146	-0.353605138540186	-0.139570404771013	-0.128894822919379
spl_n	0.00623622982584514	0.353816942282502	-0.550108966491718	-0.824365542637585	-0.258567879392291	0.000699784911030574	-0.358088852617068	-0.322979689742655	-0.0773505848636132
degree_centrality_n	-0.223181851688905	-0.477152997510267	0.221668660570829	1.36427147871873	-0.223181851688905	-0.223181851688905	-0.223181851688905	0.221668660570829	0.0307892941324573
average_neighbor_degree_n	-0.187835374268625	-0.375887000546113	1.18358817744304	0.853395263612073	0.928341924134495	-0.673129886649803	0.46124599145477	0.632032332125626	0.0463192041152022
betweenness_n	-0.254492709393927	-0.259264592921767	-0.209967811210297	0.305826471978288	-0.237664783099189	-0.244659964980409	0.127968488894617	-0.250317713057175	0.0366221822195837
eigenvector_n	-0.11963365094276	-0.162137117759236	0.472898231847456	0.763245379069655	0.00890205243425836	-0.164280932971471	-0.104440525743011	0.0343482069099118	0.029128482914906
cluster_coefficient_n	1.66404978034663	3.6371285535329	1.19788488500065	0.181971309153264	1.10031480001752	1.10031480001752	-0.590894368992731	1.3604988746239	-0.0271593886636208
harmonic_centrality_n	0.171797530803131	-0.181145879785189	0.891572142682525	1.35152073873988	0.478293908123894	0.162067531928383	0.611919425952638	0.596611700978853	0.276789992243473
markovcent_n	0.460334966057507	-0.560439349808973	1.14440967958328	1.65836777588657	0.487417951881892	0.341326355311832	0.275425473787572	1.16223943668997	0.809280270792421
closeness_latora_n	0.171823973526744	-0.18112119845753	0.891602176500699	1.35155306776244	0.478321880709445	0.162093924999814	0.611948064290555	0.596640263377693	0.276816959615018
closeness_residual_n	0.0991876197594731	-0.397455282933133	1.18112122386474	1.8889199930945	0.550440082266352	0.0796824136678079	0.756119117536394	0.734596131504212	0.251693349358936
communitycent_n	-0.51642647910199	0.0625142609698936	6.45219780751092	0.0625142609698936	-0.51642647910199	-0.51642647910199	-0.51642647910199	0.0625142609698936	0.782278424302504
diffusion_degree_n	-0.263727284817916	-0.444854125832158	0.747932388164072	2.07914104082159	0.00722668873184511	-0.381533360274333	-0.106161658894957	0.457834927352643	-0.00308134287059145
dmnc_n	-0.0990689632820077	-0.123265764231294	-0.0624343594035027	-0.00134980411126008	-0.0756412724187647	-0.123265764231294	0.35898235213825	-0.0624343594035027	-0.0904569425773752
geokpath_n	-0.0588337244558348	-0.573934041402666	1.34545394812829	2.18276595269718	0.470879367439842	-0.0982882168177198	0.821585966212153	0.739023787751172	0.0631829463670315
