ACTG2	ACTN2	CAMK2A	DES	GRIN2A	LMOD1	MORF4L2	MPDU1	MYL1	MYOZ2	RGS3	SEMA3F	SHBG	TCAP	TNNT1	TNNT2	TNNT3	TTN	MYL5	RAVER1	MYL4	TNNC2	ITPKA	GRIN3A	MRFAP1	ING3	GLS2	OBSCN	if_health
semilocal	0.591777812944813	0.0367831853143259	-0.291181036820857	-0.36840498788061	0.291246038796176	-0.314309739746818	-0.354995052313181	-0.397934333551785	-0.260084908048246	-0.406899160169776	-0.216207127658656	-0.402053520201927	-0.253350489454354	-0.400702709708458	-0.278214826793434	-0.334049636115036	-0.346968724846175	-0.183131904442125	-0.395539000990692	-0.371200851460115	-0.334328437118048	-0.33882066736377	-0.217169187457783	-0.368503157247868	-0.391121379464087	-0.391663274371351	-0.398633299446661	-0.383845065962932	1
coreness	0.60767828436468	0.60767828436468	0.0625970534426247	-0.300790433838746	0.24429079708331	-0.119096690198061	-0.482484177479431	-0.664177921120116	-0.119096690198061	-0.664177921120116	-0.300790433838746	-0.664177921120116	-0.119096690198061	-0.482484177479431	-0.119096690198061	-0.119096690198061	-0.119096690198061	-0.119096690198061	-0.664177921120116	-0.482484177479431	-0.119096690198061	-0.300790433838746	-0.482484177479431	-0.482484177479431	-0.664177921120116	-0.482484177479431	-0.482484177479431	-0.482484177479431	1
hub_score	0.0728954885830307	-0.127718411788221	-0.139402068235487	-0.140578717572393	-0.123379301403807	-0.134318012026247	-0.140585534983952	-0.141656095429132	-0.132702786951667	-0.141894938581135	-0.136058079955217	-0.141817752154253	-0.129527837072976	-0.141699929708975	-0.137566603821216	-0.140093661102268	-0.134450018791469	-0.126187990686927	-0.141147711371171	-0.139147230655978	-0.136826656804943	-0.139053349836236	-0.131096337059017	-0.141033543122277	-0.14164801513257	-0.141646137484749	-0.141659541614722	-0.14144144609092	1
eccentricity	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	-0.104393651028562	1.45494505883962	-0.104393651028562	0.415385918927497	-0.104393651028562	0.935165488883556	-0.104393651028562	0.415385918927497	0.415385918927497	-0.104393651028562	0.415385918927497	0.415385918927497	0.415385918927497	0.415385918927497	-0.624173220984621	-0.104393651028562	0.415385918927497	0.415385918927497	0.415385918927497	0.415385918927497	1
subgraph_centrality	-0.0852913407151617	-0.0893098322471825	-0.0893268763702654	-0.0893272685666013	-0.0892974256855321	-0.0893223974890424	-0.0893272699504668	-0.0893274152065428	-0.0893200278400576	-0.0893274202022165	-0.0893244334388681	-0.0893274196793892	-0.0893140394871887	-0.0893274168712524	-0.0893257797306605	-0.0893271362029583	-0.0893225710942462	-0.0893058365116368	-0.0893273713122899	-0.0893267591164501	-0.0893251727682116	-0.089326713682006	-0.089317211495137	-0.0893273552459369	-0.0893274148576366	-0.0893274147784371	-0.0893274153494107	-0.0893274021996087	1
pc	0.675946994141346	2.1315766202704	1.55342370949257	1.43155194347157	1.16495745530062	-1.0058833769485	-1.0058833769485	-1.0058833769485	1.68026983331034	-1.0058833769485	0.619073503331543	-1.0058833769485	1.22843233343656	-1.0058833769485	1.04156229220436	0.164085576853133	1.05070267465593	1.22843233343656	-1.0058833769485	0.82219311336655	0.365173990787788	0.365173990787788	-1.0058833769485	-1.0058833769485	-1.0058833769485	-1.0058833769485	0.82219311336655	-1.0058833769485	1
gilschmidt	0.179691262160936	0.104124347233651	-0.130861009166927	-0.285260307880829	0.0915623916196845	-0.208662261035353	-0.309672371518581	-0.442572194918347	-0.107245591735707	-0.822085802262361	-0.0531346180397045	-0.513697223522983	-0.0640719545822473	-0.529888566794792	-0.103567787025243	-0.211120182973911	-0.239943459631058	-0.0171206525472097	-0.402305128344051	-0.241549922307734	-0.227490442385562	-0.23147577103201	-0.06167379744305	-0.260832047913674	-0.409835114806175	-0.433254216219213	-0.435965915038861	-0.340425108988458	1
spl_n	-0.0448070915838734	0.0539036701899419	-0.611820072005586	-4.6041369965514	-0.343370011258181	0.258752132037944	-0.194021033800115	0.0879325511297583	-0.11840129837831	0.277792101135217	-0.576440838647528	0.540165576000515	-0.499740821291126	0.0597101855884032	0.675740958792466	0.706258923444837	0.742853473979315	-0.495959834520034	0.216756171830475	0.697886738451703	0.706258923444837	1.31472772310671	0.170979224851925	-0.192535646140039	-0.0206357832972562	-0.0892336861441814	0.13127886375547	-0.169579655029852	0
degree_centrality_n	-0.0323024852505337	-0.41352654203081	0.856329187076001	-0.540244776893258	-0.159555396209448	-0.349900086551353	-0.0323024852505337	-0.349900086551353	-0.159555396209448	-0.349900086551353	-0.0323024852505337	-0.41352654203081	0.602358041254639	-0.349900086551353	-0.477152997510267	-0.540244776893258	-0.286273631071896	0.729076276117087	-0.349900086551353	-0.540244776893258	-0.540244776893258	-0.540244776893258	-0.540244776893258	-0.286273631071896	-0.41352654203081	-0.0323024852505337	-0.286273631071896	-0.349900086551353	0
average_neighbor_degree_n	-0.501254727133047	-0.424416437225396	-0.304675299860219	-1.14022581932953	0.5808364084843	-0.485078260372315	-0.262651624029727	-0.448681173763581	-0.521475346981049	-0.566971705241966	0.96271697059668	-0.776254953242187	-0.613425889234079	-0.184802295850259	-0.75805640993782	-0.485078260372315	-1.02375514218158	-0.566538397925889	-0.439581902111397	-0.594269520198517	-0.485078260372315	-0.994637472894591	1.04359937719451	0.453966574133023	0.303525294949285	-0.307136944018828	-0.266695740719911	0.443047448150403	0
