GRIA2	GYS1	WT1	RASGRF1	HNRNPUL1	LIPE	KHDRBS3	PPP1CB	GRIK2	GRIA1	HAUS2	TAF15	TK1	SF1	USP8	DDX17	LASP1	CEP72	STOM
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	1.72768838000727	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388
diffusion_degree	-0.458719676515747	-0.481350349357653	-0.487008017568129	-0.458719676515747	-0.15320559315002	-0.334250975885266	-0.471920902340192	-0.094743021641764	-0.381398210972569	-0.445518450691302	-0.379512321569077	-0.17960804479891	0.00709500614681156	0.19945572530301	-0.0287368925195391	-0.102286579255733	-0.343680422902727	-0.405914773217967	-0.44363256128781
dmnc	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	3.28332753201443	-0.147062656942307	-0.214905655225139	1.53421093839464	-0.214905655225139	-0.214905655225139	-0.214905655225139
geokpath	-0.922151253313067	-1.03168074924115	-1.03823379600608	-0.674071625783638	0.307949239417762	0.0608057614261801	-0.925895851464455	0.952020121456431	-0.401652110270189	-0.877216075496416	-0.469054876995166	0.37816045475628	0.947339373767196	0.614070138293699	0.992274551583847	0.665558362875279	-0.669390878094403	-0.599179662755886	-0.671263177170097
lincent	-0.466859918008994	-1.4816576624026	-4.13266281217124	-0.114042527022696	0.426992658917316	0.362194877814138	-0.427016435491287	0.662470384294019	0.114897287566359	-0.377203881479934	0.0402542512586672	0.466334453152422	0.650518045596556	0.582352143818881	0.732988576813838	0.601584661690138	-0.0590937839793545	-0.0824840887702806	-0.0918106090601099
semilocal	-0.399885940572872	-0.406867745972254	-0.406965915339512	-0.37649021696797	-0.106528383783443	-0.262562702877835	-0.399371533088441	-0.00705532732836072	-0.346560340278382	-0.397035102147703	-0.342386178782577	-0.145917860702002	-0.0516124397393751	0.220454144679161	0.114957415849135	-0.0598822272371804	-0.365911485952259	-0.350769842746401	-0.385651382320477
coreness	-0.664177921120116	-0.664177921120116	-0.664177921120116	-0.664177921120116	0.24429079708331	-0.664177921120116	-0.482484177479431	0.0625970534426247	-0.300790433838746	-0.482484177479431	-0.119096690198061	-0.119096690198061	0.24429079708331	0.789372028005366	-0.482484177479431	0.0625970534426247	-0.119096690198061	-0.300790433838746	-0.482484177479431
hub_score	-0.141798096397346	-0.14189485615269	-0.141895056461185	-0.140914801568327	-0.104019385601496	-0.136561917173175	-0.140200056903272	-0.129843610569557	-0.140739219115302	-0.141666497318477	-0.138559004678258	-0.105358228932907	-0.11548642798481	-0.0468556314575264	-0.0433861053463438	-0.106471308003158	-0.141110474394441	-0.139024939629507	-0.136278746297684
eccentricity	0.415385918927497	1.45494505883962	-4.78240978063309	0.415385918927497	-0.104393651028562	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	-0.104393651028562	0.415385918927497	0.415385918927497	0.415385918927497
subgraph_centrality	-0.0893274193794099	-0.0893274202022142	-0.0893274202022177	-0.0893273361092812	-0.0892008957378476	-0.0893249317440525	-0.0893271688601787	-0.089314706342559	-0.0893273032297277	-0.0893274156319185	-0.0893264465387662	-0.0892104246887525	-0.0892663830353779	-0.0885314298156613	-0.088478474837588	-0.0892168500386174	-0.089327366337461	-0.0893266988999247	-0.0893246607175561
pc	-1.0058833769485	-1.0058833769485	-1.0058833769485	-1.0058833769485	1.50772179723469	0.82219311336655	0.82219311336655	-1.0058833769485	0.619073503331543	0.82219311336655	0.619073503331543	1.04156229220436	0.348247356618203	0.934116163794001	0.82219311336655	0.749070053753948	1.62654676910517	0.619073503331543	1.27921223594531
