genename	p_value	fdr
5608	NAB2	4.55404174592117e-39	4.19260331957068e-38
544	ARMC6	4.71498592569021e-39	4.33684917016696e-38
6515	PIK3C2B	4.82471907988149e-39	4.43377300809706e-38
8373	SNX15	4.85346860862594e-39	4.45616752306423e-38
9458	TXK	5.26524452778496e-39	4.82987669803034e-38
1617	CHRM3	5.27392417224407e-39	4.83348023461612e-38
8092	SIGLEC5	5.5829979851135e-39	5.11213667889826e-38
3531	GRAP	5.61525691201404e-39	5.13705113002867e-38
6211	PAFAH1B3	5.83621749462282e-39	5.33439717635202e-38
3680	HAUS6	6.24553278154491e-39	5.7033936253731e-38
6163	OSTF1	6.59226810782844e-39	6.01463170053262e-38
9292	TRIM22	6.69074128230107e-39	6.09900636781799e-38
8687	SULT1E1	6.79393784433539e-39	6.18753175384279e-38
1371	CD8B	6.96066076204208e-39	6.33370321397621e-38
370	AOAH	7.0310809714678e-39	6.39206315663467e-38
3829	HIVEP2	7.20781675253246e-39	6.54688569852792e-38
9828	WHRN	7.81192262271038e-39	7.08926751479328e-38
6919	PRKG1	8.20190239017831e-39	7.43653770189697e-38
8413	SOX10	8.23836757507146e-39	7.46294865015156e-38
3000	FBXW8	8.30741374156342e-39	7.51880071111429e-38
4259	IRAK3	9.06798122939277e-39	8.19987315969891e-38
5974	NR3C2	9.22803409440468e-39	8.33719279239599e-38
4801	LMNB2	9.42028090908393e-39	8.50332898741001e-38
143	ADCY5	9.64946029662322e-39	8.70247868772589e-38
8028	SGPP1	9.79026405244789e-39	8.82164359659454e-38
5166	MEFV	1.0493587990093e-38	9.44701509939963e-38
5594	MZT1	1.07522174488672e-38	9.67129160984313e-38
5566	MYO1F	1.12667223393273e-38	1.01251207030015e-37
5611	NACC1	1.15307267081347e-38	1.03532288439412e-37
491	ARHGAP9	1.41002900990273e-38	1.26492284988893e-37
9258	TRAF7	1.52809050408612e-38	1.36962684564476e-37
7253	RALYL	1.57331778769079e-38	1.4089226984312e-37
194	AGAP1	1.57755917018615e-38	1.41147840266523e-37
2109	CYP2C19	1.62597306024447e-38	1.45351704234332e-37
5269	MMAA	1.64087964811209e-38	1.46555475506974e-37
7786	SAMSN1	1.69172919730613e-38	1.50964571264871e-37
3599	GSTP1	1.76908939284035e-38	1.57729591528176e-37
2410	DPM2	1.80145653320028e-38	1.60474757550319e-37
3395	GLRX	1.84399854741754e-38	1.64120710611362e-37
992	C2orf88	1.9212022713252e-38	1.7084257610307e-37
3011	FCHSD2	1.92808614432099e-38	1.71304981189322e-37
9776	WASF2	1.98024599853457e-38	1.75785711545307e-37
2776	ERG	2.09864841465094e-38	1.86133830185214e-37
7340	RBM42	2.13544900210641e-38	1.89232776118715e-37
7407	RFC5	2.14203185349776e-38	1.89650914235271e-37
7359	RCBTB2	2.34961023197036e-38	2.0784856425943e-37
1696	CLGN	2.42001448523773e-38	2.13890593903766e-37
952	C10orf88	2.56748858262494e-38	2.26727963116697e-37
5680	NCSTN	2.62231930686661e-38	2.31369074663955e-37
7916	SELL	2.6649116088239e-38	2.34923273800395e-37
1384	CDC25B	2.67969209901545e-38	2.36021711889906e-37
3142	FOXO1	2.76547325433623e-38	2.43366430937392e-37
4576	KLHL12	2.83168856986251e-38	2.48978114271489e-37
860	BLZF1	3.306979431667e-38	2.90517286341523e-37
6353	PDGFB	3.35893181821818e-38	2.94826690135751e-37
5636	NAT9	3.38757771282304e-38	2.97084724763351e-37
4942	MAFF	3.89965784857868e-38	3.41698701925848e-37
3921	HOXD8	4.36579126049704e-38	3.82213377736974e-37
9551	UBXN8	4.59943825561457e-38	4.0232231620264e-37
4469	KCTD7	5.07150556093005e-38	4.43233900956541e-37
9831	WIPF2	5.21905969782762e-38	4.55738148549359e-37
327	ANK2	6.19252395923191e-38	5.40279127249282e-37
1068	CAD	6.31378553831353e-38	5.50386806180493e-37
3748	HEXIM1	6.45374028533979e-38	5.62105307557891e-37
1948	CRTC2	6.56169208296217e-38	5.71018764413808e-37
9669	UTP3	6.58775486315285e-38	5.72796839511572e-37
7364	RCN2	7.5048453263698e-38	6.51979432153373e-37
7300	RASL12	7.82798333701934e-38	6.79471625319947e-37
7238	RAG1	8.09729306891663e-38	7.02248613726248e-37
7385	RELN	8.14531674783522e-38	7.05811816658668e-37
8675	STXBP4	8.15579115568295e-38	7.06117986610746e-37
3209	G6PD	8.24920287027759e-38	7.13598136048757e-37
1487	CEBPD	8.38113831938582e-38	7.24395243187018e-37
7217	RAD18	8.48434458964236e-38	7.32693017915379e-37
5844	NKX3-1	9.16299441542843e-38	7.90628856557705e-37
6570	PKN3	1.01183664603912e-37	8.7232323730135e-37
4564	KLF2	1.10318382039191e-37	9.50270025812612e-37
8657	STX10	1.13004398588812e-37	9.7258354216919e-37
5271	MME	1.18040985527121e-37	1.01507265069095e-36
7048	PTGDS	1.20305096054083e-37	1.03366870114712e-36
6077	NUP85	1.21267114503502e-37	1.04105515261108e-36
9554	UCHL5	1.32902410368411e-37	1.13997994998132e-36
6440	PFN4	1.43138744235949e-37	1.22674847945435e-36
5807	NFYA	1.47253714454328e-37	1.26095289321876e-36
6977	PRSS8	1.59849718444408e-37	1.3676628980109e-36
8883	TCOF1	1.60561203168242e-37	1.37259589901725e-36
8352	SNRPA	1.65717572076629e-37	1.41472043538728e-36
4617	KNSTRN	1.65766908383135e-37	1.41472043538728e-36
10118	ZNF618	1.70711395436719e-37	1.4556974231163e-36
6022	NT5DC2	1.71449731370171e-37	1.46076894240264e-36
8124	SIX5	1.76822718081473e-37	1.50528662011951e-36
4307	ITGB1BP1	1.87287307787542e-37	1.59303827936678e-36
7114	PUF60	1.92778511767531e-37	1.6383757729416e-36
7731	RUNX3	1.94077113134203e-37	1.64803545234912e-36
1989	CSPG4	2.04236168476434e-37	1.73285616506318e-36
191	AFM	2.20778710158552e-37	1.87165151536913e-36
2590	EID2B	2.22534145096623e-37	1.88496241304575e-36
6225	PALB2	2.3324248141825e-37	1.974023097727e-36
59	ACADM	2.39689488464075e-37	2.02690038748548e-36
5259	MLLT10	2.45032518920932e-37	2.07036197257694e-36
9251	TRAF2	2.76288429977584e-37	2.33251634702237e-36
2210	DDX3X	2.76660018282854e-37	2.33371672138596e-36
744	BACH2	3.01894893366896e-37	2.54447120979406e-36
1014	C8A	3.06018986371578e-37	2.57709532148846e-36
5432	MSH5	3.12227315717491e-37	2.62720304614891e-36
7436	RGS18	3.23131983895401e-37	2.71671212575861e-36
2200	DDX19A	3.32284211350321e-37	2.79135200831282e-36
313	ANAPC11	3.33512793133421e-37	2.79936109285997e-36
7323	RBFOX2	3.65193683686653e-37	3.06274966541164e-36
5017	MAPK10	3.74555589884539e-37	3.13867711358766e-36
6965	PRR5	3.75741236184011e-37	3.14602106641971e-36
6292	PCDH18	3.76659577298393e-37	3.15111667751361e-36
2128	DACT1	4.05646986282298e-37	3.39083549009845e-36
3677	HAUS2	4.14056245796732e-37	3.45828751107566e-36
2388	DOCK3	4.54312224576842e-37	3.79140136228074e-36
2085	CXCR6	4.76083215409069e-37	3.96983159865283e-36
4392	KCNA3	4.84931111958118e-37	4.04029828169528e-36
1376	CDAN1	5.55505288350174e-37	4.62451333746835e-36
5032	MAPK9	5.61074573876348e-37	4.66705775964357e-36
3146	FOXP2	5.93342923624379e-37	4.93143591669184e-36
10027	ZNF107	6.32748368807407e-37	5.2546523721451e-36
9691	VARS	6.92908991718384e-37	5.74956213111837e-36
6179	OXT	7.29526340935759e-37	6.04846900272166e-36
2110	CYP2C9	7.43857066768491e-37	6.16226216631585e-36
9274	TRAT1	7.54200715447332e-37	6.24286727277926e-36
6075	NUP62	7.80207349459739e-37	6.45288566345848e-36
5069	MAU2	7.82248339524774e-37	6.46451044515478e-36
5137	MED12	7.90862850411213e-37	6.53039592307895e-36
9586	UNC45A	9.23941634555185e-37	7.6230804933738e-36
6386	PDXK	9.86500417903238e-37	8.13263269961883e-36
3185	FXN	9.91936071168154e-37	8.17082239027824e-36
9443	TUFT1	1.02756756778593e-36	8.45747966592742e-36
5617	NAGPA	1.042224622304e-36	8.5711811501201e-36
3278	GATA6	1.17414101028209e-36	9.64825242132444e-36
9752	VPS52	1.19816345091955e-36	9.83770523503197e-36
9516	UBE2O	1.21213707047216e-36	9.94441162734944e-36
3618	GTF3C3	1.37795626102709e-36	1.12956881897088e-35
6943	PROS1	1.42390020994309e-36	1.16629121060797e-35
7102	PTPRN2	1.43813506257607e-36	1.17700305644299e-35
4636	KRT19	1.46328169366057e-36	1.19662095414864e-35
9285	TRIB1	1.56486634462795e-36	1.27866548786347e-35
9158	TNFSF4	1.59808550005801e-36	1.30476113901205e-35
8278	SMAD6	1.60461440945639e-36	1.30904108960705e-35
5610	NABP2	1.83348710544023e-36	1.49455643618938e-35
5081	MBL2	1.88790013152935e-36	1.53767878607271e-35
8406	SORL1	2.09614951951465e-36	1.7059303249618e-35
8707	SUV39H2	2.14430373019629e-36	1.74372516764883e-35
1983	CSNK1G1	2.14637627797005e-36	1.74401644375314e-35
10163	ZSCAN9	2.22344875314906e-36	1.80519905552956e-35
6343	PDE4B	2.26492643763218e-36	1.83740802631836e-35
5758	NELFCD	2.269366157641e-36	1.83954278260413e-35
4064	IFT52	2.63155507381232e-36	2.13143389855834e-35
3239	GADD45A	2.87579568938538e-36	2.32740410088444e-35
5105	MCM4	2.91781915542253e-36	2.35953690525543e-35
6713	POLM	3.0452776996799e-36	2.46065210793039e-35
8196	SLC27A5	3.19440420782571e-36	2.57910111160404e-35
1559	CFHR3	3.27871568211081e-36	2.64507332546497e-35
9800	WDR37	3.33509709848004e-36	2.68842652795859e-35
2028	CTPS2	3.37932884557964e-36	2.72192496801913e-35
4132	IL18	3.39194523578798e-36	2.72992554459424e-35
2662	ELOVL1	3.42993423398683e-36	2.75831786263621e-35
1623	CHRNA4	3.63101212860172e-36	2.91771614409678e-35
3850	HMGA1	3.63774524649587e-36	2.92081944692995e-35
4800	LMNB1	3.84039124421198e-36	3.08109622455588e-35
9228	TPD52L1	3.96146970860712e-36	3.17573139051696e-35
3919	HOXD3	4.09275204374667e-36	3.27839106622322e-35
2627	EIF4E3	4.18148875447534e-36	3.34683596375119e-35
1660	CIZ1	4.19255621010602e-36	3.3530561576579e-35
7586	RPH3AL	4.19814272932862e-36	3.354886566022e-35
7368	RCOR3	4.22282785651335e-36	3.37196450426297e-35
7344	RBM7	4.65117537648315e-36	3.71109075333044e-35
8230	SLC50A1	4.7995630524558e-36	3.82648549628784e-35
2711	ENTPD6	4.81365072169569e-36	3.83471172997731e-35
3592	GSN	4.88670845230276e-36	3.88986581261941e-35
3656	HAAO	4.97269005114645e-36	3.95521312668591e-35
2805	ESYT1	4.9923837552547e-36	3.96777499548485e-35
10122	ZNF646	5.23375570272626e-36	4.15636196438987e-35
7058	PTGS1	5.47593887567942e-36	4.34529845415653e-35
1423	CDH23	5.74560037449722e-36	4.55572818470461e-35
3125	FOSL1	6.19671729236478e-36	4.90959540617032e-35
6101	OCRL	6.26936444662307e-36	4.96328751093358e-35
7295	RASGRP2	6.42016964551079e-36	5.07872362393322e-35
3371	GJB2	6.90530987840493e-36	5.45825309969024e-35
4604	KLRC3	6.92801400682505e-36	5.47194770896205e-35
9170	TNN	7.91599493715578e-36	6.24743339764823e-35
7489	RIPK4	7.97081105955929e-36	6.28581867510827e-35
8423	SOX6	8.72553330237415e-36	6.87566617235106e-35
6202	PACS2	8.9424959859608e-36	7.04117737346589e-35
4766	LIG3	9.81398993992621e-36	7.72140136572849e-35
1735	CNBP	1.03583531357517e-35	8.14339462519334e-35
4985	MAP2K2	1.0376731740376e-35	8.15154378338574e-35
2918	FAM219A	1.07943685042437e-35	8.47307953654866e-35
6847	PPP4R1	1.08061297368422e-35	8.47577161240525e-35
5801	NFKBIL1	1.11061336584193e-35	8.70436808221106e-35
3295	GCGR	1.17894508193204e-35	9.2328008610428e-35
4320	ITIH4	1.19482701612955e-35	9.34998095006611e-35
3037	FGD1	1.21031591296912e-35	9.46390759618357e-35
5292	MMS19	1.25902795479823e-35	9.83724376663775e-35
9695	VAT1	1.28839323041776e-35	1.00569860037e-34
6071	NUP43	1.28912904244813e-35	1.00569860037e-34
6321	PCSK9	1.35451279924051e-35	1.0558972189022e-34
773	BBOX1	1.35627487643547e-35	1.05600826702325e-34
2080	CXCR1	1.35673135259942e-35	1.05600826702325e-34
8224	SLC4A1AP	1.37762776096947e-35	1.0714531507907e-34
8474	SPINK1	1.3939085259901e-35	1.08328735178741e-34
835	BHLHE40	1.43699337809291e-35	1.1159185981175e-34
2748	EPPK1	1.43821465650048e-35	1.11601508013573e-34
379	AP1S1	1.44279642656316e-35	1.1187170767856e-34
902	BRCA2	1.49440919907052e-35	1.1578541342075e-34
1764	CNP	1.59770714005348e-35	1.23694632692268e-34
9085	TMEM115	1.71267839249567e-35	1.32494884310711e-34
7861	SCTR	1.72473810316889e-35	1.33326449266999e-34
3423	GNAL	1.76808050159885e-35	1.36573143073387e-34
6829	PPP2CB	1.78886267893157e-35	1.3807359660676e-34
3411	GMFG	1.80089612240842e-35	1.3889701480865e-34
7524	RNF144A	1.86703209314454e-35	1.43888768814844e-34
10132	ZNF707	2.05164447134574e-35	1.57996814587435e-34
4671	L3MBTL1	2.08165454901497e-35	1.60186624259677e-34
2307	DLGAP2	2.16843180359411e-35	1.6673814616752e-34
3823	HIST2H2BE	2.35024895424061e-35	1.80582194950829e-34
7093	PTPRD	2.36040396586321e-35	1.81225581469633e-34
3649	H1F0	2.59549475554906e-35	1.99124948327305e-34
5836	NKIRAS1	2.71384554146469e-35	2.08047857523137e-34
5149	MED22	2.84352040685196e-35	2.17824797431514e-34
4109	IL10RA	2.84704528918805e-35	2.17930712768323e-34
4710	LBR	2.92347992722138e-35	2.23613242854309e-34
6463	PHF19	2.96641274755684e-35	2.2672664824114e-34
3740	HERPUD1	2.97983638778472e-35	2.2758164844545e-34
3148	FOXP4	3.16524293404338e-35	2.41560512888397e-34
8147	SLC12A9	3.71848356715939e-35	2.83569215357664e-34
6109	OGDHL	3.9740650399636e-35	3.02832686528462e-34
5320	MPDU1	4.0636951283124e-35	3.09430917217979e-34
9699	VBP1	4.23256858422981e-35	3.22048767444801e-34
9380	TSNAXIP1	5.28903878940693e-35	4.02132971634056e-34
8136	SLA	5.85243801766515e-35	4.44636683746882e-34
8475	SPINK5	5.96719295918287e-35	4.53016820699756e-34
1966	CSF1R	6.13857475836074e-35	4.65680246210319e-34
710	ATXN7L3	6.17730536531301e-35	4.6826920626922e-34
3569	GRK5	6.19433753011435e-35	4.6921069019995e-34
9356	TRPV4	6.32793316750056e-35	4.7897369131684e-34
6349	PDE6D	6.36968046636755e-35	4.81775162708974e-34
5641	NBEA	6.60168526600509e-35	4.98952037229344e-34
6980	PRUNE2	6.85949587734551e-35	5.1805235011311e-34
6426	PF4	7.31150361303834e-35	5.51779868363791e-34
177	ADRB1	7.33470285365113e-35	5.53120327132639e-34
5741	NEDD4L	7.91235788722673e-35	5.96240124346352e-34
2896	FAM124A	8.20769549813321e-35	6.18037648427159e-34
6932	PRMT3	8.31856840598449e-35	6.25923050252072e-34
1676	CLCN7	8.93290600187641e-35	6.71651535529111e-34
8519	SREBF2	8.94185841527941e-35	6.71828106784619e-34
7159	RAB17	9.66369420248511e-35	7.25173348022406e-34
5297	MNS1	9.6661266088507e-35	7.25173348022406e-34
6519	PIK3CD	9.91929970995612e-35	7.4361854052604e-34
6605	PLCG1	1.05415442629064e-34	7.89684313597549e-34
6305	PCIF1	1.14653933943384e-34	8.5825935982785e-34
957	C11orf68	1.17134433221889e-34	8.76182786151673e-34
435	APOL1	1.24344621198802e-34	9.29432646183255e-34
3475	GP6	1.33107290699756e-34	9.94200050138483e-34
270	ALB	1.35156762243743e-34	1.00876723573411e-33
3953	HSF2	1.3771706631155e-34	1.02689918903324e-33
3816	HIST1H4E	1.37788006785646e-34	1.02689918903324e-33
9926	YY1	1.38209988672768e-34	1.02929005473504e-33
9616	URM1	1.43320214216373e-34	1.06656659782236e-33
1753	CNNM4	1.46445907496325e-34	1.08903086035096e-33
2056	CUL9	1.49712507150856e-34	1.11250937563598e-33
8872	TCF3	1.56219005646527e-34	1.16001163827892e-33
1003	C6	1.59602265337274e-34	1.18426976314813e-33
6799	PPM1G	1.60414561295582e-34	1.18942954231776e-33
5179	MEP1A	1.69848761774208e-34	1.25846427787984e-33
2224	DEAF1	1.7332048058578e-34	1.28325272852922e-33
9446	TULP3	1.76159899894733e-34	1.30332702663936e-33
4943	MAFG	1.78174920970598e-34	1.31727723185603e-33
5326	MPIG6B	1.81202787380453e-34	1.33868987365385e-33
8137	SLA2	1.90536706575966e-34	1.40662548330718e-33
953	C11orf1	2.03207151171394e-34	1.49907639511718e-33
1443	CDK19	2.05378003609032e-34	1.51399306573527e-33
9369	TSEN54	2.10073347308722e-34	1.5474845490019e-33
926	BSN	2.15454891407065e-34	1.5859787339248e-33
7932	SEMA6A	2.27666023161395e-34	1.67465397948002e-33
6888	PRICKLE2	2.50777019283571e-34	1.8433198100952e-33
4905	LUM	2.58207382441457e-34	1.89656584951404e-33
6918	PRKDC	2.73194699963176e-34	2.00520179128816e-33
3332	GFRA1	2.77303152688249e-34	2.03388967000545e-33
9263	TRAM2	2.7785681353334e-34	2.03648225077425e-33
1258	CCL25	2.86445102492413e-34	2.0979165065913e-33
3326	GFER	3.07334371104275e-34	2.24928960952791e-33
6469	PHGDH	3.14284385533339e-34	2.29850111720392e-33
9301	TRIM32	3.14533834467988e-34	2.29867291526066e-33
7324	RBL1	3.27454529367076e-34	2.39138185732323e-33
6381	PDRG1	3.38896770465778e-34	2.47316846911647e-33
396	AP4M1	3.54900985493478e-34	2.58810589636211e-33
7755	S100A12	3.56013561710208e-34	2.59435957254868e-33
7615	RPL38	3.75282725234204e-34	2.7328211623533e-33
6110	OGG1	3.83335405990272e-34	2.78946429552149e-33
4122	IL16	3.83786831279902e-34	2.79075299114399e-33
2081	CXCR2	3.86876167140699e-34	2.81120803451595e-33
5932	NPM1	3.98069383664572e-34	2.89047811564575e-33
8765	TAB1	4.03930929375589e-34	2.9309481772738e-33
6196	PA2G4	4.14659404484179e-34	3.0066501224644e-33
5735	NECTIN1	4.40185979818922e-34	3.18946721702129e-33
7289	RASD1	4.45068881229559e-34	3.22255212010555e-33
2057	CUTA	4.46004522896879e-34	3.22702988010665e-33
3364	GIT1	4.46412969421868e-34	3.22768950812272e-33
7554	ROBO1	4.50605831291996e-34	3.2556911375948e-33
9452	TWF2	4.5915261120916e-34	3.31508837035542e-33
4341	JAG2	4.65316881706272e-34	3.35721179971483e-33
8140	SLAMF7	4.78721038640328e-34	3.45147351246496e-33
3521	GPRIN1	4.80941984605473e-34	3.46503031826592e-33
1755	CNOT10	4.95427237216003e-34	3.56686573545534e-33
2577	EGR2	6.12151518364141e-34	4.4041141416679e-33
9847	WNT2	6.35681849474838e-34	4.57017063936928e-33
9547	UBXN2B	6.51995220054197e-34	4.68414362543174e-33
9654	USP5	6.53277305980949e-34	4.69004236679195e-33
7929	SEMA4F	7.00895081132599e-34	5.02835378022703e-33
6774	PPCDC	7.10752271159798e-34	5.09547769873758e-33
3894	HOXA10	7.15337641099469e-34	5.12473931190486e-33
1440	CDK16	7.34542648413956e-34	5.25862235208668e-33
9134	TNFRSF10B	7.35672023370433e-34	5.26300386339481e-33
10041	ZNF207	7.43133993264967e-34	5.31265081762791e-33
5976	NR4A2	7.55518360449167e-34	5.39739345565265e-33
8892	TDO2	8.62538184689889e-34	6.15761470375456e-33
3188	FXYD1	8.83775798112684e-34	6.30480448401145e-33
5214	MGMT	9.04350910189365e-34	6.44289865316019e-33
2216	DDX49	9.04399810941979e-34	6.44289865316019e-33
4017	ICK	9.46072647741909e-34	6.73505741461053e-33
8472	SPIN3	9.77333791566122e-34	6.95273892419731e-33
5527	MYD88	9.79239114801999e-34	6.96142523751274e-33
6734	POLR3C	9.9713514835296e-34	7.08044953931992e-33
7457	RHOBTB2	9.97373851356084e-34	7.08044953931992e-33
7568	RORB	1.03642585561681e-33	7.35255246108079e-33
2111	CYP2E1	1.14102810370752e-33	8.08897484252031e-33
1262	CCL5	1.28332269590348e-33	9.0913940009931e-33
9336	TRMT1L	1.31207199905061e-33	9.28859321248564e-33
9139	TNFRSF13B	1.35963588306113e-33	9.61862019358891e-33
9186	TNS2	1.3629025163368e-33	9.6350293945061e-33
7435	RGS17	1.36436650037219e-33	9.63868083908772e-33
3676	HAUS1	1.38951800939536e-33	9.80955358055449e-33
1543	CEPT1	1.4808584604088e-33	1.04471380844235e-32
9145	TNFRSF1B	1.50167885327334e-33	1.05866798159042e-32
1340	CD38	1.50849691211277e-33	1.06168975836662e-32
4778	LIN37	1.50897656669854e-33	1.06168975836662e-32
7334	RBM24	1.5090960292914e-33	1.06168975836662e-32
4175	IL6	1.54871225725783e-33	1.08880786406938e-32
6325	PDAP1	1.55314675047134e-33	1.09117140141885e-32
9304	TRIM37	1.64865107057349e-33	1.15746910565522e-32
7803	SATB1	1.77992596989708e-33	1.24851544216597e-32
9955	ZC3H10	1.78078826952012e-33	1.24851544216597e-32
3741	HES1	1.83542127942065e-33	1.28593255341227e-32
7564	ROPN1L	1.89705793806125e-33	1.32820167955245e-32
2183	DDB1	1.95722774037153e-33	1.36938636883078e-32
1482	CEACAM3	2.03497848918443e-33	1.42280660965452e-32
9115	TMOD1	2.33200802537115e-33	1.62936247541901e-32
6614	PLEKHA4	2.34541675899009e-33	1.63760636164764e-32
1483	CEACAM6	2.37678824281112e-33	1.65837220810134e-32
3450	GNMT	2.39256430064244e-33	1.66823554697982e-32
7318	RBBP7	2.45419461012532e-33	1.71003573758938e-32
7844	SCN3A	2.52474846469338e-33	1.75799220611402e-32
1693	CLEC4F	2.55425241747288e-33	1.77731941470257e-32
8017	SGCD	2.62982511338228e-33	1.82865419538195e-32
8023	SGK1	2.70203529964159e-33	1.87758231579603e-32
7943	SEPSECS	2.79502263172508e-33	1.940871346931e-32
4864	LRRC8D	2.82358694248128e-33	1.95936902904926e-32
3708	HDAC6	2.84559714059817e-33	1.97329650383811e-32
470	ARFRP1	2.8916739119224e-33	2.00388274563941e-32
972	C1orf216	2.94612959319309e-33	2.04022984013297e-32
1970	CSF3	2.95807943442565e-33	2.04711170655865e-32
10096	ZNF473	3.08045080525472e-33	2.13034847327371e-32
6730	POLR2K	3.21844319493442e-33	2.22426784117309e-32
2706	ENPEP	3.26066320019668e-33	2.25191627532932e-32
3002	FCER1A	3.32146130554634e-33	2.29234910863792e-32
5466	MTIF2	3.37776380206852e-33	2.32962651921648e-32
3858	HMGXB4	3.39297408619623e-33	2.33853152973403e-32
2555	EFCAB7	3.4126307430634e-33	2.35048697015464e-32
3317	GEM	3.47391837437876e-33	2.39108062398885e-32
1863	COTL1	3.56247207742018e-33	2.45037379605108e-32
2262	DHRS1	3.57157334724409e-33	2.45497403118339e-32
3701	HDAC1	3.69226172272731e-33	2.536217319737e-32
8001	SF3B3	3.75803211524176e-33	2.57965321918721e-32
4945	MAGEA1	3.91052038547886e-33	2.68251678229781e-32
8201	SLC2A3	3.92363486133907e-33	2.68969928870636e-32
979	C1QC	4.10797121610884e-33	2.8141677563283e-32
570	ASB10	4.13927393876652e-33	2.83370348445974e-32
2741	EPM2A	4.1620547268587e-33	2.84738283364718e-32
2470	DUSP16	4.56666173309092e-33	3.1220866808289e-32
8482	SPOCK1	4.68823214874087e-33	3.20304806240032e-32
486	ARHGAP33	4.81186863502205e-33	3.2853113841664e-32
3446	GNGT2	4.85819056852221e-33	3.3147131223056e-32
5193	METTL3	4.86708483449697e-33	3.31855589955346e-32
6809	PPP1R12B	5.04061388898722e-33	3.43457234378211e-32
5339	MPZL1	5.5870613518188e-33	3.80436245863806e-32
2571	EGFL6	5.93292724834483e-33	4.0371684881212e-32
8076	SHKBP1	6.01352758681963e-33	4.08927915379119e-32
8089	SIGLEC10	6.02126486137072e-33	4.09180543986134e-32
1833	COMMD7	6.0334132737107e-33	4.09732398087176e-32
5009	MAP4K2	6.43608547930813e-33	4.36786508212152e-32
6685	PNP	6.5530071525469e-33	4.4442494508573e-32
8400	SORBS1	6.64219617838905e-33	4.50173629065635e-32
3416	GNA12	6.94153563183305e-33	4.70148082440996e-32
1771	CNTFR	6.95564346471524e-33	4.70790159458072e-32
5501	MUS81	7.37895483278018e-33	4.99109757406069e-32
391	AP3M2	7.38817655366119e-33	4.99401462328208e-32
4223	INTS1	7.39581714923427e-33	4.99585975160426e-32
8963	TGFBR3	7.61565647020087e-33	5.14094713147667e-32
10110	ZNF581	7.6309247095442e-33	5.1478380020022e-32
3284	GBF1	7.72724894064188e-33	5.20936404725977e-32
1644	CIB1	8.03826167842302e-33	5.41362653895352e-32
9859	WNT9A	8.0408824342463e-33	5.41362653895352e-32
10103	ZNF518A	8.08376864016546e-33	5.43890068627005e-32
8038	SH2D2A	8.66332695539903e-33	5.82498513663413e-32
4839	LRG1	8.7753441660517e-33	5.89640529730805e-32
1067	CACYBP	8.83281232068991e-33	5.93110229296228e-32
2740	EPHX2	1.12404138810991e-32	7.5427922435634e-32
6089	NXN	1.14616176139325e-32	7.68615926081315e-32
2174	DCTD	1.166678894165e-32	7.8185931425168e-32
6313	PCOLCE	1.19078348808367e-32	7.97487848866039e-32
7819	SCARF1	1.20506401675646e-32	8.06520805425226e-32
2564	EFNA5	1.2083794840551e-32	8.08208053339415e-32
3089	FKBPL	1.21059784332968e-32	8.09159780564579e-32
9745	VPS37C	1.30471935008082e-32	8.71497698514263e-32
517	ARID3A	1.3491948275826e-32	9.00614106364682e-32
4233	INTS7	1.42303805213276e-32	9.49283023235841e-32
6694	POGZ	1.56060863300235e-32	1.04037166602443e-31
8285	SMARCAL1	1.59042490794251e-32	1.05955419702024e-31
9747	VPS39	1.65348957585948e-32	1.10084747743576e-31
7157	RAB14	1.65658598666136e-32	1.10218765482708e-31
4281	ISG20L2	1.72077997898892e-32	1.14414998210813e-31
7735	RUVBL2	1.79120119222921e-32	1.19019527946099e-31
5664	NCKAP5	2.02053193358892e-32	1.3417017859269e-31
3194	FZD1	2.24781253436056e-32	1.49165015734181e-31
2385	DOCK10	2.33167703721763e-32	1.54629403517698e-31
7342	RBM4B	2.36312964791899e-32	1.5661314598228e-31
8478	SPINT2	2.36657997967445e-32	1.56739701388204e-31
5521	MYC	2.38486084166418e-32	1.57847686026348e-31
7245	RALBP1	2.45361913616874e-32	1.62293026477533e-31
9300	TRIM31	2.62179027526049e-32	1.73303914686322e-31
8012	SFTPD	2.68865343362482e-32	1.77608255716008e-31
10139	ZNF821	2.84536960993649e-32	1.87838708902556e-31
372	AOC3	2.86650627327945e-32	1.8911133799009e-31
3679	HAUS4	2.97407807149091e-32	1.96080986528043e-31
5213	MGME1	3.33608830062686e-32	2.19805869703867e-31
75	ACLY	3.4978807693291e-32	2.30316770656213e-31
7010	PSMC4	3.69051787017561e-32	2.42843714704375e-31
925	BSG	3.69674164236917e-32	2.43096009876028e-31
8139	SLAMF6	3.83046324289278e-32	2.5172676078778e-31
5822	NIF3L1	4.2022322889605e-32	2.75980045678471e-31
8341	SNF8	4.23667801073991e-32	2.78033783389803e-31
2746	EPO	4.23896980278761e-32	2.78033783389803e-31
1556	CFD	4.31724890387592e-32	2.82985651411919e-31
2883	FADS1	4.40948763097023e-32	2.88845574178108e-31
5265	MLST8	4.75007673274499e-32	3.10955795381048e-31
8783	TAF10	4.99040619583279e-32	3.26478470933807e-31
8053	SH3GL2	5.0381742312994e-32	3.29391686728848e-31
2090	CYB5R1	5.148969171998e-32	3.36419161122259e-31
7143	QSOX1	5.35492781726017e-32	3.49651352278483e-31
1375	CDA	5.67108879689928e-32	3.70057641634743e-31
2937	FANCA	5.70668713887124e-32	3.72141847844469e-31
