SVIL	HAP1	PTCD3	NAP1L5	LUC7L2	MRPS21	MRPL32	MRPL4	MRPL55
diffusion_degree_n	0.425438256602128	-0.334410930091766	0.861320735790874	-0.381533360274333	0.849540128245232	1.2059035065009	0.934949532951135	1.61086189088233	0.76707587542574
dmnc_n	-0.123265764231294	-0.123265764231294	-0.0325446284807555	-0.123265764231294	0.0242596338728878	-0.0109564890876745	-0.0265510156044651	0.00141128015731955	-0.01310438510564
geokpath_n	1.85178660010581	0.196889837148975	0.0251897315000312	-0.185964866510797	2.16449998401113	-0.323324951029952	-0.517674857849608	-0.204961473944298	-0.814314189311187
lincent_n	1.06963946747526	0.362525675842992	0.258982413954146	0.154011175637316	1.2462939204307	0.076552583348921	-0.0278225380671897	0.140668867513553	-0.351377364395399
semilocal_n	0.426116366197998	-0.305145335070629	-0.0506940480466106	-0.355943595260417	0.590956325576324	0.0189543485732498	-0.0650209880717833	0.0995262528951309	-0.122217236396699
coreness_n	0.286975236358955	-0.383256959912077	2.13011377610429	-0.215698910844319	0.789649383562229	2.96790402144308	2.46522987423981	3.47057816864636	2.13011377610429
hub_score_n	-0.0511806976194995	-0.165461750873788	-0.145269135372534	-0.172371546113743	-0.0307457157042845	-0.142525700057105	-0.14894410434562	-0.137189598090884	-0.156005067881246
eccentricity_n	-0.576962892462901	0.186549824460118	0.186549824460118	0.186549824460118	-0.576962892462901	0.186549824460118	0.186549824460118	0.186549824460118	0.950062541383136
subgraph_centrality_n	-0.0927823329064086	-0.0942154015159523	-0.0940383948016989	-0.094225717413601	-0.0922748476606308	-0.0939478623490635	-0.0940314236907417	-0.0938188026599785	-0.0940840440279339
pc_n	0.899049170486053	0.213058727577955	-0.528810641251857	1.08613747309735	1.72057469484145	-1.09655939070115	-1.09655939070115	-0.885110632020665	-1.09655939070115
gilschmidt_n	0.255441625308771	-0.068454451189974	-0.0973828535014443	-0.157612077614269	0.346623306987265	-0.177061430027599	-0.223387968896768	-0.142978417923531	-0.361529543179112
