TFAP2A	SERPINB8	LDLRAP1	MAP3K2	SORL1	ACAN	FGF13	STYXL1	DPP4	GPC3	ZNF8	ECM1	SRPRB	SDC4	MATN2
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	0.126907633049567
diffusion_degree	-0.487008017568129	-0.283331961990978	-0.487008017568129	-0.400257105007491	-0.471920902340192	-0.243728284517643	-0.387055879183046	-0.466263234129716	-0.473806791743684	-0.487008017568129	-0.447404340094794	-0.381398210972569	-0.17017859778145	-0.168292708377958	-0.39082765799003
dmnc	-0.214905655225139	1.53421093839464	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.0421713591969668	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	1.53421093839464	-0.214905655225139
geokpath	-1.03823379600608	0.199355893027522	-1.03823379600608	-0.409141306572965	-0.911853608396751	-0.589818167377417	-0.356716932453538	-0.998915515416513	-1.02325540340053	-1.03823379600608	-0.858493084739477	-0.543946840022918	0.531688978963172	0.472711558078817	-0.781728822636032
lincent	-4.13266281217124	0.425692848247471	-4.13266281217124	0.121301059679293	-0.319174195712615	-0.119422449547125	0.140882498299296	-0.702822129261172	-0.996536567732788	-4.13266281217124	-0.336680278291327	0.0120092493666388	0.501729720265247	0.517302443527726	-0.27531537424011
semilocal	-0.406965915339512	-0.252973519084084	-0.406965915339512	-0.348064294984773	-0.397510241885231	-0.348531581172921	-0.344137520294457	-0.402155616343875	-0.405516935478785	-0.406965915339512	-0.395955239107866	-0.365762268514027	-0.149444104373905	-0.182358329828133	-0.371962645750036
coreness	-0.664177921120116	-0.300790433838746	-0.664177921120116	-0.300790433838746	-0.664177921120116	0.0625970534426247	-0.300790433838746	-0.664177921120116	-0.482484177479431	-0.664177921120116	-0.664177921120116	-0.482484177479431	-0.119096690198061	0.0625970534426247	-0.119096690198061
hub_score	-0.141895056461185	-0.131167023922108	-0.141895056461185	-0.140010523432447	-0.141685986046198	-0.141541972217642	-0.140406708945463	-0.141792587300599	-0.141890965781338	-0.141895056461185	-0.141777455373328	-0.141192413885529	-0.0834160704412748	-0.107796405121871	-0.141486436351379
eccentricity	-4.78240978063309	-0.104393651028562	-4.78240978063309	-0.104393651028562	0.415385918927497	0.415385918927497	0.415385918927497	0.415385918927497	0.935165488883556	-4.78240978063309	0.415385918927497	0.415385918927497	-0.104393651028562	0.415385918927497	0.415385918927497
subgraph_centrality	-0.0893274202022177	-0.0893172453578774	-0.0893274202022177	-0.0893271094663346	-0.0893274163774602	-0.0893274092944541	-0.0893272263981898	-0.0893274192831442	-0.0893274202007534	-0.0893274202022177	-0.0893274189921693	-0.0893273769944355	-0.08902823261318	-0.0892257014541746	-0.0893274055926656
pc	-1.0058833769485	0.82219311336655	-1.0058833769485	1.27921223594531	-1.0058833769485	1.71757751678617	0.619073503331543	-1.0058833769485	1.43155194347157	-1.0058833769485	0.82219311336655	-1.0058833769485	-1.0058833769485	1.43155194347157	-1.0058833769485
gilschmidt	5.30506371721646	-0.087031472253314	5.30506371721646	-0.215233019028914	-0.404064785601384	-0.299876962166717	-0.207139393426144	-0.553867112120944	-0.670870324179732	5.30506371721646	-0.407267119724469	-0.259900741779443	-0.0454158807238801	-0.0429821329245282	-0.376064220581105
spl_n	-0.765220106718389	1.35240255557579	-0.00497169524559572	-0.46530683462584	-0.0164496908006944	1.61275050181372	-0.333242368121324	0.217701418523248	0.190829405400147	0.499384932969475	-0.251546046817411	1.18212311563491	-0.364300473740998	-0.184028425905093	-0.15715641278198
degree_centrality_n	0.0944157496119145	-0.540244776893258	-0.41352654203081	-0.0323024852505337	-0.349900086551353	-0.540244776893258	0.158042205091372	-0.349900086551353	-0.159555396209448	-0.41352654203081	-0.223181851688905	-0.540244776893258	-0.0323024852505337	-0.286273631071896	-0.286273631071896
average_neighbor_degree_n	1.24543778311435	-0.958240386285857	-0.339489913937379	0.873746294221394	-0.257596469067727	-0.885446213068389	-0.236364847344994	-0.339489913937379	-0.760656217437195	-0.69132842995417	0.139738405209982	-0.849049126459655	0.105363358747796	0.00264270018472124	0.242863471802366
betweenness_n	0.640181130610881	-0.259264592921767	-0.24403574394632	-0.186895228572723	-0.228263560501874	-0.259264592921767	0.237555142816942	-0.24996727246529	-0.0387154627385286	-0.249467474322256	0.115592253829161	-0.259264592921767	-0.12152318414118	-0.194646869228579	-0.18657893451968
eigenvector_n	-0.0280088529589972	-0.177609871030147	-0.166424748183705	-0.124760165580712	-0.163535258115042	-0.1777030803872	0.294868359874935	0.0299673671283891	-0.174533962247375	-0.164187723614417	-0.146943992559487	-0.177609871030147	-0.0769437654121769	-0.170059913108799	-0.166238329469598
cluster_coefficient_n	-0.36027685868357	-0.590894368992731	-0.590894368992731	0.34866534089676	-0.590894368992731	-0.590894368992731	-0.526831365670622	-0.590894368992731	-0.188225921897235	-0.590894368992731	-0.309024764816714	-0.590894368992731	-0.590894368992731	-0.590894368992731	0.254710215512395
