gene	gene.y
HIST1H4C	KMT5A
HK2	IGFBP4
HK3	GRN
HLA-DMB	HLA-DRA
HLA-DMB	CD74
HLA-G	LILRB2
HNRNPH1	ELAVL2
HNRNPH1	NFKB2
HNRNPH1	KHSRP
HSF1	HSP90AA2P
HSF1	HSBP1
HSF1	HSF2
HSF2	NCAPG
HTR1A	GABRB2
HTR1A	S1PR1
HTR1A	HEXIM1
HTR1A	GNG7
HTR1A	GNGT1
HUS1	RRAD
HUS1	RFC4
ICAM1	ITGAM
INCENP	SPC25
INCENP	NUF2
INTS7	INTS9
IPO13	EIF1AX
ISG15	MX1
ITGB3	FGA
KANSL3	KANSL2
KIF20A	RACGAP1
KIF23	RACGAP1
KIF2A	NUF2
KIF2C	CENPP
KIF5B	KTN1
KIF5B	BCAR3
KLHL12	UBXN1
KLRC3	KLRD1
LAMA2	LAMB2
LAMA4	UBR1
LAMA4	ATF7IP
LAMC1	LAMA2
LAMC1	LAMB2
LAPTM5	USP13
LAPTM5	EPN2
LAPTM5	UBAC1
LBP	CD14
LGALS1	VPREB1
LMNB1	PLEC
LMNB1	PRPH2
LMOD1	ACTG2
LNX1	UNC13D
LRP1	FURIN
LRP2	LDLRAP1
LRP6	FZD5
LUC7L2	ATF7IP
LUC7L2	NAP1L5
LUC7L2	PTCD3
MAD2L2	ADAM15
MAD2L2	ADAM17
MAD2L2	CDH1
MAD2L2	REV1
MAGT1	DDOST
MAP2	METAP2
MAP2K7	MAPK8IP3
MAP3K7	CAD
MAP3K7	HIST1H4D
MAP3K7	SMAD6
MAP3K7	CDC37
MAPK15	CLIC3
MAPRE1	KIF2A
MAPRE1	TUBGCP2
MAT2A	MAT2B
MCC	DRG1
MCC	NFKBIB
MCC	UCHL1
MCC	APRT
MCC	GCLM
MCC	RAB2A
MCC	DDOST
MCC	MRM3
MCC	TKT
MCC	PFKM
MCC	DUSP3
MCC	CLIC4
MCC	ECH1
MCC	CYCS
MCC	UBA2
MCC	SEPT2
MCC	CUTA
MCC	SAR1A
MCC	MTHFD1
MCC	GANAB
MCC	PAFAH1B2
MCC	TRMT112
MCC	RAB7A
MCC	PDCD5
MCC	GSPT1
MCM10	MCM8
MED1	VDR
MED1	ESRRG
MED1	MED12
MED1	MAP3K7
MED12	CDK19
MED24	MED29
MED29	TMLHE
MED29	HSPA1L
MED29	CDK19
MIS18A	CENPW
MMP1	CCL2
MMP1	CCL13
MMP3	CCL2
MMP9	THBS2
MORF4L2	MPDU1
MORF4L2	ING3
MORF4L2	MRFAP1
MPZL1	EXOSC4
MRPL32	MRPS5
MRPL32	MRPL41
MRPL4	MRPL55
MRPL4	MRPS5
MRPL55	MRPL41
MRPS5	MRPL41
MSH2	NBN
MSH2	MSH3
MSH2	CHEK1
MTIF2	MRPS5
MXI1	SIN3B
NAPA	BET1L
NAPG	STX8
NBN	RAD1
NBN	TIMELESS
NBN	XRCC1
NCAPD2	NCAPG
NCAPD2	NCAPH
NCAPH	NCAPG
NCKAP1	WASF2
NCOR1	C1D
NCOR1	DDX20
NCOR1	MYBL2
NCOR1	SIN3B
NCOR1	CBFA2T2
NEU1	GLB1
NFE2	CREBZF
NFE2	YAP1
NFKB2	MATR3
NFKB2	HSPA1L
NFKB2	CAD
NFKB2	COMMD2
NFKB2	FBXW7
NFKB2	TUBGCP2
NFKB2	DDX3X
NFKBIB	CD3EAP
NFKBIB	POLR1E
NFKBIB	FBXW11
NFKBIB	SRPRB
NFKBIB	ZNRD1
NFYB	CNTN2
NFYB	YBX3
NIPSNAP3A	GOLM1
NKX2-1	HSP90AA2P
NKX2-1	HIPK2
NLGN4X	DLGAP2
NONO	MED29
NONO	ZNRD1
NONO	PSPC1
NPFFR1	GNG7
NPY1R	GNG7
NR5A2	CENPT
NTRK1	ARHGAP32
NUAK1	MARK2
NUAK1	SIK2
NUF2	SKA2
NUF2	KIF2C
NUF2	CENPP
NUF2	CENPN
NUF2	CENPI
ORC1	ORC6
ORC1	MCM10
ORC2	MCM8
ORC2	ORC3
ORC2	ORC5
ORC3	PTPRJ
ORC3	CLSPN
ORC3	MCM10
ORC3	SEPSECS
ORC3	SLA
ORC5	DBF4
ORC5	ORC3
ORC5	CLSPN
ORC6	MCM8
ORC6	MCM10
ORC6	ORC3
PAFAH1B2	SLA
PAFAH1B2	PINX1
PAFAH1B2	PAFAH1B3
PAFAH1B3	ECH1
PAFAH1B3	IGSF21
PAFAH1B3	CHMP7
PAK3	PLXNA4
PAPOLA	AQR
PAPOLA	THOC2
PAPOLA	PCF11
PAPOLA	FIP1L1
PAPOLA	PRPF8
PDCD6	SEC31A
PDCD6	ANXA11
PEA15	FADD
PEA15	LUC7L2
PF4	FGF13
PICALM	CLTB
PIK3CG	PIK3R5
PINX1	TSR1
PLK1	SKA1
PLK1	SPC25
PLK1	NCAPH2
PLK1	CDCA8
PLK1	KIF23
PLK1	NUF2
PLK1	CDC25C
PLK1	AURKB
PLK1	CENPK
PLK1	TUBGCP2
PLK1	KIF20A
PLK1	KIF2C
PLK1	GTSE1
PLK1	CDCA5
POLR1E	HNRNPUL1
POLR1E	CD3EAP
POLR1E	MRM3
POLR1E	UBTF
POLR1E	RB1CC1
POLR2H	POLR2J
POLR2H	MED29
POLR2H	GTF2E2
POLR2J	MED29
POLR2J	TXNL4A
POLR2J	GTF2H5
PPFIA1	ERC1
PPFIA2	PPFIA1
PPP1CB	RYR2
PPP3R1	PPP2R2C
PPP3R1	GRIK2
PPWD1	PCF11
PPWD1	FIP1L1
PRKACA	LRP1
PRKACA	RYR2
PRKACA	ITPKA
PRKACA	PRKAR2B
PRKACA	PKIA
PRKACA	MAP2
PRKACA	MGMT
PRKACA	WT1
PRKCG	AFAP1
PRKCG	TOP2A
PRLR	SOCS3
PRLR	SOCS2
PROS1	TYRO3
PRPF8	CWC27
PRPF8	SYF2
PTCD3	MRPS21
PTCD3	MRPS5
QARS	HSP90AA2P
RAB11FIP5	RAB11FIP4
RAB5B	EPN2
RAB6B	TMF1
RAD51	TOP3A
RAD51	RAD54L
RAD51	RFC4
RAD51	CHEK1
RAD51	RAD9B
RAD51	DMC1
RBBP5	CUL4A
RBBP5	CUL4B
RBPJ	SUFU
REG1A	REG3A
REST	SIN3B
RFC2	RFC4
RFC2	DSCC1
RFC4	REV1
RFC4	DTL
RFC4	DSCC1
RFC4	TOP3A
RFC4	TIPIN
RIPK1	SQSTM1
RIPK1	CAD
RIPK1	HSPA1L
RNF111	UBE2U
ROR2	FZD5
RPS6KA2	SHANK1
RSPO4	LGR4
RUNX1	YAP1
RUNX1	NCOR1
SCNN1A	SCNN1B
SCNN1B	SCNN1G
SDC4	CCL5
SEL1L	SYVN1
SELPLG	VCAN
SEMA3A	PLXNA4
SEMA3F	SHBG
SEMG2	TGM1
SEPT1	AURKB
SEPT5	SEPT2
SERINC3	HACD3
SETD7	HIST1H3B
SETD7	HIST1H3H
SF1	HNRNPUL1
SF1	TAF15
SF3B1	PCF11
SF3B3	ELAVL2
SF3B3	PRPF8
SF3B3	PAPOLA
SGCB	SGCE
SH2D1A	SLAMF6
SH2D1A	SLAMF7
SH2D1A	CD244
SH2D1A	SLAMF1
SH3GL1	SH3D19
SH3GL3	SH3D19
SHANK2	DLGAP2
SHBG	MPDU1
SIN3B	SAP30L
SKA1	SPC25
SKA1	CENPM
SKA1	NUF2
SKA1	KIF2A
SKA1	CENPI
SKA1	SKA3
SKA1	CENPN
SKA1	KIF2C
SLA	SEPSECS
SLC9A3R2	DDX20
SLC9A3R2	RDX
SMAD6	RNF111
SMAD6	STRAP
SMC4	NCAPH
SMC4	NCAPH2
SMC4	NCAPG
SMC4	HIST1H2BA
SNCA	MAP1B
SNRPN	AQR
SNRPN	TXNL4A
SNRPN	PRPF8
SNRPN	SYF2
SOCS3	LEPROT
SORBS2	DLGAP2
SPC25	NUF2
SPC25	CENPI
SPC25	CENPN
SPDL1	KIF2C
SPDL1	CENPI
SPDL1	SKA1
SPDL1	NUF2
SPDL1	INCENP
SPDL1	CENPP
SPDL1	KIF2A
SPDL1	SPC25
SPDL1	SKA3
SPDL1	CENPM
SPNS1	SLA
SPTA1	SPTB
SRP19	SRP72
SRP54	SRP72
SRP54	SRP19
SRPRB	CDK5RAP3
SSTR3	GNAT3
SSTR3	GNG7
STAT5B	CTLA4
STAT5B	EPOR
STRAP	SRFBP1
STX11	SLC38A2
STX11	TAF6L
STYXL1	DDOST
SUB1	HSF1
SVIL	LUC7L2
SYT1	STON2
SYT1	CPLX1
SYT1	UNC13B
TAAR5	GNG7
TADA2B	HIST1H2BH
TAF12	TAF6L
TAF15	ZNF384
TAF1A	CD3EAP
TAF1A	UBTF
TAL1	CBFA2T2
TBCB	TUBA8
TBL3	UTP3
TEAD3	YAP1
TFAP2A	LDLRAP1
TGFBR1	YAP1
TGFBR1	WDR61
TGFBR1	SMAD6
TGFBR1	CDK14
TGFBR1	UBXN1
TGFBR1	ARHGAP31
TGFBR1	ATG16L1
TGFBR1	TTC1
TGFBR1	RHPN2
TGFBR1	STRAP
TGFBR1	SQSTM1
TGFBR1	KATNB1
TGFBR1	KLHL1
TGFBR1	FBXO3
TGFBR1	RHOBTB1
TGFBR1	RNF138
TGFBR1	SCRIB
TGFBR1	SRFBP1
TGFBR1	EIF2AK1
TGFBR1	OXSR1
TGFBR1	STX8
TGFBR1	CDC42EP4
TGFBR1	CDK17
THOC2	FIP1L1
THOC5	PAPOLA
THOC5	PCF11
TIMELESS	TOP3A
TIMELESS	TIPIN
TIMELESS	RMI1
TJP1	PTPN14
TK1	CCDC90B
TK1	PAK3
TMBIM4	DDOST
TNFRSF8	TNFSF8
TNNT3	MYL1
TNNT3	TCAP
TOMM34	HSP90AA2P
TP53BP2	YAP1
TP73	NFYB
TP73	MDM4
TPX2	AURKA
TPX2	PLK4
TRADD	HIPK2
TRADD	SLC25A3
TRADD	EEF1A2
TRADD	DAPK1
TRADD	HSPA1L
TRADD	FADD
TRIM4	UBE2U
TRIM41	UBE2U
TSR1	RIOK1
TTF2	MYBL2
TTF2	KIF4A
TTN	OBSCN
TXNL4A	PRPF8
TXNL4A	SF3B3
TXNRD1	GLRX2
UBE2E2	HERC2
UBE2E2	HERC4
UBE2E2	HECTD2
UBE2E2	TRIM11
UBE2E2	FBXW11
UBE2E2	TRIM4
UBE2E2	RNF111
UBR5	UBXN1
UBR5	PAIP1
UBTF	CD3EAP
UBXN1	NGLY1
UBXN1	UBR2
UPF1	RPL27A
UPF1	GSPT1
UPF1	EXOSC4
UPF1	TRMT112
UPF3A	GSPT1
USP12	WDR48
USP7	ARNT2
USP8	RASGRF1
VCAN	FBLN1
VCAN	CCL5
VCAN	SELP
VCAN	SELENOP
VCAN	CCL2
VPS11	STX8
VPS36	VPS25
VPS4B	VTA1
VTA1	KLHL12
XAB2	PPWD1
XAB2	AQR
XAB2	FIP1L1
XRCC1	OGG1
ZWILCH	SPC25
