Gene1	Gene2
407	ACTR1A	HSP90AA1
408	ACTR1A	RAB11A
409	ACTR1A	DYNC1I2
410	ACTR1A	TUBG1
411	ACTR1A	CKAP5
412	ACTR1A	CSNK1D
413	ACTR1A	PPP2R1A
414	ACTR1A	YWHAG
415	ACTR1A	CETN2
416	ACTR1A	IQCB1
417	ACTR1A	SPTBN1
418	ACTR1A	PAFAH1B1
419	ACTR1B	DCTN1
420	ACTR1B	ACTA1
421	ACTR1B	CHD3
422	ACTR2	RAB5A
423	ACTR2	CDC42
424	ACTR2	DNM1
425	ACTR2	AMPH
426	ACTR2	BMP2
427	ACTR2	MYH9
428	ACTR2	EPHB3
429	ACTR2	CD44
430	ACTR2	RAC1
431	ACTR2	WASF1
432	ACTR2	RPS27A
433	ACTR2	EPHB6
434	ACTR2	DNM2
435	ACTR2	WASL
436	ACTR2	EPHB2
437	ACTR2	UBA52
438	ACTR2	CFTR
439	ACTR2	CLTC
440	ACTR2	UBC
441	ACTR2	EPHB1
442	ACTR2	BAK1
443	ACTR2	EPS15
444	ACTR2	ARPC1B
445	ACTR2	WIPF1
446	ACTR2	NCKAP1
447	ACTR2	GRB2
448	ACTR2	HSPA8
449	ACTR3	HIP1R
450	ACTR3	WASF3
451	ACTR3	ITSN1
452	ACTR3	DNM2
453	ACTR3	CTTN
454	ACTR3	DNM1
455	ACTR3	SYNJ2
456	ACTR3	EPHB3
457	ACTR3	MYH9
458	ACTR3	RAB5B
459	ACTR3	NCKIPSD
460	ACTR3	RAC1
461	ACTR3	EPHB2
462	ACTR3	WAS
463	ACTR3	CYFIP1
464	ACTR3	WASF2
465	ACTR3	WASL
466	ACTR3	MYO10
467	ACTR3	ABI2
468	ACTR3	MYO5A
469	ACTR3	TRIP10
470	ACTR3	CLTCL1
471	ACTR3	WIPF1
472	ACTR3	MYO9B
473	ACTR3	UBC
474	ACTR3	RPS27A
475	ACTR3	WASF1
476	ACTR3	ARPC1B
477	ACTR3	RAB5A
478	ACTR3	MYO1C
479	ACTR3	CYFIP2
480	ACTR3	NCKAP1
481	ACTR3	CD44
482	ACTR3	EPHB6
483	ACTR3	ARPC2
484	ACTR3	HSPA8
485	ACTR3	HCLS1
486	ACTR3	CLTC
487	ACTR3	FNBP1
488	ACTR3	GRB2
489	ACTR3	CDH1
490	ACTR3	CDC42
491	ACTR3	CLTB
492	ACTR3	EPHB4
493	ACTR3	ITSN2
494	ACTR3	EPS15
495	ACTR3	CFTR
496	ACTR3	ARPC5
497	ACTR3	ACTR2
498	ACTR3	EPHB1
499	ACTR3	UBA52
500	ACTR3B	ACTR2
501	ACTR3B	CDKN2A
502	ACTR3B	ARPC1B
503	ACTR3B	ARPC2
504	ACTR3B	RSRC1
505	ACTR3B	ARPC5
506	ACTR3B	CDK4
507	ACTR3B	ARPC5L
508	ACTR3B	MYH1
509	ACTR5	EP400
510	ACTR5	RUVBL2
511	ACTR5	ACTL6A
512	ACTR5	MCRS1
513	ACTR5	CASTOR3
514	ACTR5	INO80B
515	ACTR5	INO80D
516	ACTR5	INO80E
517	ACTR5	RUVBL1
518	ACTR5	ACTR8
519	ACTR6	VPS72
520	ACTR6	RUVBL1
521	ACTR6	FSCN1
522	ACTR6	ACTL6A
523	ACTR6	RUVBL2
524	ACTR6	PSMA1
525	ACTR6	ZNHIT1
526	ACTR6	EEF1B2
527	ACTR6	EIF3M
528	ACTR8	MCRS1
529	ACTR8	UCHL5
530	ACTR8	TRRAP
531	ACTR8	YY1
532	ACTR8	BMPR2
533	ACTR8	EP400
534	ACTR8	RUVBL1
535	ACTR8	ACTL6A
536	ACTR8	RUVBL2
537	ACTR8	INO80B
538	ACVR1	SQSTM1
539	ACVR1	IGSF1
540	ACVR1	RRAS2
541	ACVR1	VDR
542	ACVR1	SMAD5
543	ACVR1	CHN1
544	ACVR1	SMAD1
545	ACVR1	STAT1
546	ACVR1	UBA52
547	ACVR1	TGFBR1
548	ACVR1	BMP2
549	ACVR1	USP21
550	ACVR1	NRAS
551	ACVR1	AP2B1
552	ACVR1	RXRA
553	ACVR1	INHBA
554	ACVR1	FKBP1A
555	ACVR1	IKBKB
556	ACVR1	ACVR2A
557	ACVR1	CREBBP
558	ACVR1	PAK1
559	ACVR1	THRB
560	ACVR1	SMAD9
561	ACVR1	BMPR2
562	ACVR1	RPS27A
563	ACVR1B	ACVR2A
564	ACVR1B	SMAD2
565	ACVR1B	BMPR2
566	ACVR1B	IGSF1
567	ACVR1B	XIAP
568	ACVR1B	INHBA
569	ACVR1B	SMAD7
570	ACVR1B	ACVR1
571	ACVR1B	SMAD4
572	ACVR1C	ACVR2A
573	ACVR1C	ACVR2B
574	ACVR1C	INHBA
575	ACVR1C	INHBB
576	ACVR2A	DAXX
577	ACVR2B	BMPR1A
578	ACVR2B	BMPR1B
579	ACVR2B	SMAD1
580	ACVR2B	SMAD5
581	ACVR2B	IGSF1
582	ACVR2B	ACVR1B
583	ACVR2B	SMAD7
584	ACVR2B	INHBA
585	ACVR2B	SMAD9
586	ACVR2B	BMP2
587	ACVRL1	ACVR2A
588	ACVRL1	INHBA
589	ACVRL1	XIAP
590	ACVRL1	TGFB1
591	ACVRL1	TGFBR1
592	ACVRL1	TGFB3
593	ACVRL1	BMPR2
594	ACVRL1	ACVR2B
595	ACVRL1	FKBP1A
596	ADA	GRB2
597	ADAM10	EFNA1
598	ADAM10	TGFA
599	ADAM10	AXL
600	ADAM12	GRB2
601	ADAM12	IGFBP5
602	ADAM12	ACTN2
603	ADAM12	EGF
604	ADAM12	PIK3R1
605	ADAM12	SRC
606	ADAM12	YES1
607	ADAM15	SH3GL2
608	ADAM15	FYN
609	ADAM15	MAD2L2
610	ADAM15	GRB2
611	ADAM15	LCK
612	ADAM15	ABL1
613	ADAM15	SRC
614	ADAM15	HCK
615	ADAM17	ERBB4
616	ADAM17	DLG1
617	ADAM17	MAPK1
618	ADAM17	MAD2L1
619	ADAM17	FHL2
620	ADAM17	TGFA
621	ADAM17	MAD2L2
622	ADAM17	NOTCH1
623	ADAM17	TNF
624	ADAM17	PTPN3
625	ADAM19	SH3GL2
626	ADAM19	NRG1
627	ADAM19	UBC
628	ADAM19	COPB1
629	ADAM2	CD9
630	ADAM22	DLG4
631	ADAM22	YWHAZ
632	ADAM22	YWHAB
633	ADAM22	ABI2
634	ADAM22	LLGL1
635	ADAM22	YWHAQ
636	ADAM22	YWHAH
637	ADAM23	DLG4
638	ADAM23	PRNP
639	ADAM28	TLN1
640	ADAM33	UBQLN4
641	ADAM9	ITGA3
642	ADAM9	SNX9
643	ADAM9	ITGAV
644	ADAM9	SH3GLB1
645	ADAM9	PRKCD
646	ADAM9	ITGA6
647	ADAM9	MAD2L2
648	ADAM9	SH3GL2
649	ADAM9	TNF
650	ADAMTS1	VEGFA
651	ADAMTS13	VWF
652	ADAMTS4	BCAN
653	ADAMTS4	FURIN
654	ADAMTS4	FN1
655	ADAMTS4	SERPINA3
656	ADAMTS4	ACAN
657	ADAMTS4	SERPINA1
658	ADAMTS5	MMP13
659	ADAMTS5	ACAN
660	ADAP1	ANP32A
661	ADAP1	PRKCE
662	ADAP1	AP3B2
663	ADAP1	PIK3CA
664	ADAP1	PSME3
665	ADAP1	CSNK1A1
666	ADAP1	RPS9
667	ADAP1	PRKCA
668	ADAP1	PRKD1
669	ADAP1	PURA
670	ADAP1	SUB1
671	ADAP1	NCL
672	ADAP1	PRKCI
673	ADAP1	IFRD1
674	ADAP1	SF3A3
675	ADAR	XPO1
676	ADAR	HDLBP
677	ADARB2	SUMO1
678	ADAT3	ADAT2
679	ADCK1	RAB1A
680	ADCY1	GNAI3
681	ADCY1	GNAS
682	ADCY1	GNAI1
683	ADCY1	ADCY2
684	ADCY1	GNAI2
685	ADCY1	GNAZ
686	ADCY10	SSTR5
687	ADCY10	PTGIR
688	ADCY10P1	RECQL5
689	ADCY2	GNAI2
690	ADCY2	GNAS
691	ADCY3	CAMK2G
692	ADCY3	GNAI1
693	ADCY3	GNAI3
694	ADCY3	GNAI2
695	ADCY3	STOML3
696	ADCY3	GNAZ
697	ADCY4	GNAI1
698	ADCY4	GNAI3
699	ADCY4	GNAZ
700	ADCY4	GNAI2
701	ADCY5	RGS2
702	ADCY5	PRKCA
703	ADCY5	GNAI2
704	ADCY5	ADCY2
705	ADCY5	GNB2
706	ADCY5	PRKACA
707	ADCY5	GNAS
708	ADCY6	GNAS
709	ADCY6	RAF1
710	ADCY6	GNB2
711	ADCY6	GNAI2
712	ADCY7	GNAZ
713	ADCY7	GNAI2
714	ADCY7	GNAI3
715	ADCY7	PRKCD
716	ADCY7	GNAI1
717	ADCY8	PPP2CA
718	ADCY8	GNAI1
719	ADCY8	CFTR
720	ADCY8	GNAZ
721	ADCY8	GNAI2
722	ADCY8	CALM1
723	ADCY8	GNAI3
724	ADCY9	GNAI3
725	ADCY9	GNAI2
726	ADCY9	GNAI1
727	ADCY9	GNAZ
728	ADCYAP1	CASP2
729	ADCYAP1	MME
730	ADCYAP1R1	CALM1
731	ADCYAP1R1	ADCYAP1
732	ADD1	SPTA1
733	ADD1	PRKACA
734	ADD1	SPTAN1
735	ADD1	HSPH1
736	ADD1	ROCK1
737	ADD1	PRKCD
738	ADD2	PRKCD
739	ADD2	ADD1
740	ADD2	SPTAN1
741	ADD2	FYN
742	ADD2	PRKACA
743	ADD3	PRKCA
744	ADGRA2	DLGAP5
745	ADGRA2	DLG1
746	ADGRA3	DLG1
747	ADGRB2	TLN1
748	ADGRB2	STARD13
749	ADGRB2	ARHGAP1
750	ADGRE5	CD55
751	ADGRL1	DLG4
752	ADGRL2	SHANK2
753	ADH5	CHD3
754	ADI1	OSTF1
755	ADI1	MMP14
756	ADIPOR1	APPL1
757	ADIPOR1	ADIPOR2
758	ADIPOR2	ADIPOQ
759	ADM	EDN1
760	ADM	MME
761	ADNP	PLCG1
762	ADORA1	GNB2
763	ADORA1	ADA
764	ADORA1	GNG11
765	ADORA1	GNAS
766	ADORA1	GNAI2
767	ADORA2B	SLC9A3R2
768	ADORA2B	GNG2
769	ADORA2B	GNG12
770	ADORA2B	DCC
771	ADORA2B	GNB1
772	ADORA2B	GNG13
773	ADORA2B	GNGT2
774	ADORA2B	GNG11
775	ADORA2B	GNGT1
776	ADORA2B	GNG4
777	ADORA2B	ADA
778	ADORA2B	GNG5
779	ADORA2B	GNG3
780	ADORA2B	GNB2
781	ADPGK	UBQLN4
782	ADPGK	TADA3
783	ADPGK	GDF9
784	ADPRHL2	FRA10AC1
785	ADRA1A	GNB2
786	ADRA1A	ADRA1B
787	ADRA1A	GNA13
788	ADRA1A	GNG11
789	ADRA1A	GNA15
790	ADRA1A	CXCR1
791	ADRA1A	RGS2
792	ADRA1A	GNAQ
793	ADRA1A	PPP1R9B
794	ADRA1B	GNB2
795	ADRA1B	ARRB1
796	ADRA1B	PRKCA
797	ADRA1B	GNG11
798	ADRA1B	ALB
799	ADRA1B	GNA13
800	ADRA1B	GNA15
801	ADRA1B	AP2M1
802	ADRA1B	GNAQ
803	ADRA1B	STAT1
804	ADRA1D	GNG12
805	ADRA1D	GNA13
806	ADRA1D	SNTA1
807	ADRA1D	GNG13
808	ADRA1D	GNAQ
809	ADRA1D	GNGT1
810	ADRA1D	GNA12
811	ADRA1D	SNTB2
812	ADRA1D	GNG3
813	ADRA1D	GNA14
814	ADRA1D	GNG4
815	ADRA1D	GNA11
816	ADRA1D	GNG2
817	ADRA1D	GNG5
818	ADRA1D	PPP1R9B
819	ADRA1D	ADRA1A
820	ADRA1D	GNG11
821	ADRA1D	GNB2
822	ADRA1D	GNGT2
823	ADRA1D	GNB1
824	ADRA1D	SNTB1
825	ADRA1D	GNA15
826	ADRA2A	GNB2
827	ADRA2A	GNAI2
828	ADRA2A	GNG11
829	ADRA2A	EIF2B1
830	ADRA2A	YWHAZ
831	ADRA2A	ADRB1
832	ADRA2A	PRKCD
833	ADRA2B	YWHAZ
834	ADRA2B	EIF2B1
835	ADRA2B	GNAI2
836	ADRA2B	GNB2
837	ADRA2B	GNG11
838	ADRA2C	EIF2B1
839	ADRA2C	GNG11
840	ADRA2C	GNAI2
841	ADRA2C	YWHAZ
842	ADRA2C	GNB2
843	ADRB1	GRB2
844	ADRB2	SRC
845	ADRB2	AP2B1
846	ADRB2	PRKCD
847	ADRB2	CSK
848	ADRB2	GRB2
849	ADRB2	ARRB1
850	ADRB2	GNG11
851	ADRB2	SLC9A3R2
852	ADRB2	EIF2B1
853	ADRB2	ADRA1B
854	ADRB2	ARRB2
855	ADRB2	GNB2
856	ADRB2	GNA15
857	ADRB2	SLC9A3R1
858	ADRB2	GPRASP1
859	ADRB2	INSR
860	ADRB3	ADRB2
861	ADRB3	GNAS
862	ADRB3	SRC
863	ADRB3	GNB2
864	ADRB3	GNG11
865	ADRM1	PSMD2
866	ADRM1	PSMA5
867	ADRM1	PSMB2
868	ADRM1	PSMB7
869	ADRM1	PSMD7
870	ADRM1	UBQLN1
871	ADRM1	PSMD11
872	ADRM1	PSMC6
873	ADRM1	PSMD6
874	ADRM1	PSMD13
875	ADRM1	PSMC4
876	ADRM1	PSMA6
877	ADRM1	PSMD10
878	ADRM1	PSMB3
879	ADRM1	PSMD4
880	ADRM1	PSMB5
881	ADRM1	PSMD1
882	ADRM1	UCHL5
883	ADRM1	PSMA3
884	ADRM1	PSMC3
885	ADRM1	PSMA1
886	ADRM1	PSMA7
887	ADRM1	PSMB6
888	ADRM1	PSMB4
889	ADRM1	PSMA4
890	ADRM1	PSMB1
891	ADRM1	PSMB10
892	ADRM1	PSMC2
893	ADSS	ACTA1
894	ADSS	IKBKE
895	AEBP1	TCF3
896	AEBP2	SUZ12
897	AEBP2	RBBP4
898	AEBP2	HDAC2
899	AEBP2	LDOC1
900	AEBP2	EED
901	AES	RELA
902	AES	CTNNB1
903	AFAP1	SRC
904	AFAP1	PRKCD
905	AFAP1	PRKCB
906	AFAP1	ACTC1
907	AFAP1	PRKCG
908	AFAP1	PRKCE
909	AFAP1	PRKCA
910	AFAP1	ACTA1
911	AFAP1L2	RASA1
912	AFAP1L2	SRC
913	AFDN	YWHAQ
914	AFDN	EPHB3
915	AFDN	SORBS2
916	AFDN	ARRB2
917	AFDN	RIN1
918	AFDN	YWHAB
919	AFDN	HRAS
920	AFDN	TJP1
921	AFDN	EPHB6
922	AFDN	JAG1
923	AFDN	RALGDS
924	AFDN	RRAS2
925	AFDN	YWHAH
926	AFDN	RIT1
927	AFDN	SMAD2
928	AFDN	EPHB2
929	AFDN	NRXN1
930	AFDN	SORBS1
931	AFDN	RAP1A
932	AFDN	CTNNA1
933	AFDN	LMO2
934	AFDN	YWHAG
935	AFDN	NRAS
936	AFDN	EPHA7
937	AFF1	MLLT1
938	AFF1	SIAH1
939	AFF1	CCNT1
940	AFF1	CTR9
941	AFF1	SIAH2
942	AFF1	MLLT3
943	AFF1	CCNT2
944	AFF1	SMAD9
945	AFF1	CDK9
946	AFF2	NCK1
947	AFF2	PLCG1
948	AFF2	CRK
949	AFF4	TRAF2
950	AFF4	CCNT1
951	AFF4	SIAH1
952	AFF4	CTR9
953	AFF4	CDK9
954	AFF4	CCNT2
955	AFF4	MLLT1
956	AFM	IFRD1
957	AFM	PCSK4
958	AFM	ID3
959	AFM	SUB1
960	AFM	GTF2A2
961	AFTPH	AP1G2
962	AFTPH	AP1G1
963	AFTPH	GGA2
964	AFTPH	GGA1
965	AFTPH	GGA3
966	AGAP1	GUCY1B1
967	AGAP2	HOMER1
968	AGAP2	EPB41L1
969	AGAP2	PIK3R1
970	AGAP2	PLCG1
971	AGER	S100P
972	AGER	HMGB1
973	AGER	S100A12
974	AGER	NCK1
975	AGER	S100A1
976	AGER	S100B
977	AGFG1	SYNJ2
978	AGFG1	DNM3
979	AGFG1	RNF216
980	AGFG1	AAK1
981	AGFG1	EPS15
982	AGFG1	GAK
983	AGFG1	CLTCL1
984	AGFG1	PKIA
985	AGFG1	DNM1
986	AGFG1	EPS15L1
987	AGFG1	OCRL
988	AGFG1	DNM2
989	AGFG1	VAMP7
990	AGFG1	CLTC
991	AGFG1	XPO1
992	AGFG1	HIP1R
993	AGFG1	AP2B1
994	AGFG1	CLTB
995	AGFG2	EPS15L1
996	AGFG2	EPS15
997	AGGF1	BLOC1S6
998	AGK	PDLIM1
999	AGK	HCK
1000	AGK	SNX4
1001	AGL	PRKAB1
1002	AGL	SMAD3
1003	AGO1	DCP2
1004	AGO1	DICER1
1005	AGO2	DCP2
1006	AGO2	DDX20
1007	AGO2	XRN1
1008	AGO2	DICER1
1009	AGO2	AGO1
1010	AGO2	GEMIN4
1011	AGO3	DICER1
1012	AGO4	DICER1
1013	AGPAT4	CRK
1014	AGR3	DAG1
1015	AGRN	ATN1
1016	AGRN	LRP4
1017	AGRN	DAG1
1018	AGRN	GFI1B
1019	AGRP	MC5R
1020	AGRP	MC4R
1021	AGRP	GHRL
1022	AGT	EWSR1
1023	AGT	F2
1024	AGT	PLPPR3
1025	AGTPBP1	PPFIA4
1026	AGTPBP1	CYCS
1027	AGTPBP1	ENO1
1028	AGTPBP1	PPFIA1
1029	AGTR1	RAF1
